LIB	Chr	Human Pos	Sign	Viral Sign	Viral Pos	Read Count	Split Reads	Uniquely Mapped Reads	Multiply Mapped Reads	Rank1 Hits
/cromwell_root	2	126294660	+	+	3177	1	1	0	0	1	1	1e-40	6e-25
/cromwell_root	2	129670127	+	?	0	1	1	0	0	1	1	1e-40	4e-12
/cromwell_root	2	148914924	+	-	1656	182	182	0	185	0	185	0	-5.20589e+10
/cromwell_root	2	151399824	+	-	6769	1	1	0	0	1	1	1e-40	6e-15
/cromwell_root	2	205157525	+	-	7691	177	177	1	179	0	179	-0	-56.4836
/cromwell_root	2	233646079	+	?	0	1	1	0	1	1	0	8.40779e-85	8.40779e-45
/cromwell_root	2	237555059	+	?	0	1	1	0	1	1	0	8.40779e-85	8.40779e-45
/cromwell_root	20	12004743	+	+	3649	1	1	0	0	1	1	1e-40	1e-16
/cromwell_root	20	29715259	+	+	4077	1	1	0	0	1	1	1e-40	5e-21
/cromwell_root	20	51020884	+	+	3304	180	180	1	182	0	182	0	-1.95504e-34
/cromwell_root	5	81947825	+	+	2085	1	1	0	1	0	1	1e-40	8e-14
/cromwell_root	5	166953181	+	-	4179	180	180	2	182	0	182	0	7e-29
/cromwell_root	1	27156008	+	-	6101	1	1	0	0	1	1	1e-40	2e-10
/cromwell_root	1	30143888	+	+	3966	1	1	0	1	0	1	1e-40	6e-10
/cromwell_root	1	40259182	+	-	5999	1	1	0	0	1	1	1e-40	3e-13
/cromwell_root	1	172563462	+	-	5137	1	1	0	1	0	1	1e-40	5e-06
/cromwell_root	X	4062459	+	+	2084	1	1	0	1	0	1	1e-40	2e-05
/cromwell_root	X	32700828	+	-	1171	177	177	1	125	56	181	-0	-6.82347e+15
/cromwell_root	X	54419052	+	+	2089	1	1	0	0	1	1	1e-40	2e-20
/cromwell_root	X	57806457	+	-	6110	169	169	0	0	172	145	0	-4.10672e-20
/cromwell_root	X	67450048	+	+	4608	1	1	1	1	0	1	1e-40	2e-05
/cromwell_root	X	75930920	+	-	5706	4	4	0	0	6	4	9e-68	5e-11
/cromwell_root	X	87694127	+	+	49	1	1	0	0	1	1	1e-40	5e-16
/cromwell_root	X	121993532	+	+	6532	180	180	2	183	0	183	0	7e-29
/cromwell_root	9	67443200	+	-	7273	1	1	0	0	1	1	1e-40	8e-24
/cromwell_root	9	82686304	+	+	3596	183	183	1	42	145	183	0	7e-29
/cromwell_root	6	30631755	+	+	783	174	174	0	12	166	156	0	-1.34569e-15
/cromwell_root	6	56800876	+	+	1035	1	1	0	0	1	1	1e-40	4e-17
/cromwell_root	6	84503540	+	-	4838	1	1	0	0	1	1	1e-40	2e-09
/cromwell_root	6	129519370	+	+	2338	1	1	0	0	1	1	1e-40	6e-20
/cromwell_root	15	27896788	+	?	0	1	1	0	1	1	0	1e-40	3e-08
/cromwell_root	15	29311500	+	-	6161	1	1	0	0	1	1	1e-40	6e-15
/cromwell_root	Y	10621987	+	+	3634	2	2	2	0	2	2	1e-46	2e-09
/cromwell_root	12	4724001	+	+	386	1	1	0	0	1	1	1e-40	1e-17
/cromwell_root	12	89727766	+	-	5132	1	1	0	1	0	1	1e-40	5e-11
/cromwell_root	12	106936023	+	+	3173	1	1	0	0	1	1	1e-40	6e-20
