Chromosome 1	Position 1	Strand 1	Chromosome 2	Position 2	Strand 2	#Support reads (pair+softclip)	Confidence
chr12	106468350	+	chrVirus	1628	-	121+20	high
chrVirus	1366	-	chr12	72178681	+	0+48	high
chrVirus	5211	+	chr3	68338446	+	170+40	high
chr3	193533820	+	chrVirus	7288	-	170+38	high
chr4	70597069	+	chrVirus	3949	+	169+52	high
chr4	136629904	+	chrVirus	161	+	167+51	high
chr4	150196842	+	chrVirus	450	+	164+28	high
chrVirus	105	-	chr4	89181754	+	0+48	high
chrVirus	2272	+	chr4	151633413	+	167+52	high
chr4	163913574	+	chrVirus	1946	-	166+32	high
chr21	37392758	+	chrVirus	6158	-	165+28	high
chr21	43810881	+	chrVirus	5447	+	169+36	high
chrVirus	3438	+	chr14	63965406	+	168+37	high
chrVirus	4013	-	chr14	72720109	+	0+49	high
chr17	11230323	+	chrVirus	7654	-	170+36	high
chrVirus	5477	-	chr17	11250305	+	0+46	high
chrVirus	1828	-	chr17	64180138	+	166+54	high
chrVirus	5107	-	chr6	16480408	+	166+30	high
chr10	90222354	+	chrVirus	3154	-	168+35	high
chr10	125565513	+	chrVirus	6369	+	165+27	high
chrVirus	7051	+	chr9	102947972	+	168+38	high
chr20	61147115	+	chrVirus	1666	-	164+27	high
chrVirus	3648	-	chr13	53092639	+	164+52	high
chr13	57840209	+	chrVirus	3113	-	0+45	high
chrVirus	6680	+	chr13	88585729	+	0+48	high
chr13	58520115	+	chrVirus	6276	-	170+38	high
chrVirus	3761	+	chrX	131116489	+	171+36	high
chr2	186197600	+	chrVirus	1328	+	170+40	high
chr4	136629902	+	chrVirus	161	+	167+26	high
chr4	136629903	+	chrVirus	161	+	167+26	high
chr7	117242330	-	chrVirus	210	+	165+26	high
chr7	117242331	-	chrVirus	210	+	165+52	high
chr7	117242332	-	chrVirus	210	+	165+26	high
chr7	117242333	-	chrVirus	210	+	165+26	high
chr4	150196840	+	chrVirus	451	+	164+26	high
chr4	150196841	+	chrVirus	451	+	164+26	high
chr4	150196843	+	chrVirus	451	+	164+26	high
chr16	19007795	-	chrVirus	587	+	168+37	high
chr1	221784191	+	chrVirus	787	+	168+38	high
chr17	64180142	-	chrVirus	1828	+	166+27	high
chr17	64180143	-	chrVirus	1828	+	166+27	high
chrVirus	1667	+	chr20	61147113	-	164+25	high
chrVirus	1667	+	chr20	61147114	-	164+25	high
chrVirus	1667	+	chr20	61147116	-	164+25	high
chrVirus	1947	+	chr4	163913569	-	166+25	high
chrVirus	1947	+	chr4	163913570	-	166+25	high
chr15	66916799	-	chrVirus	2046	+	164+51	high
chr15	66916800	-	chrVirus	2046	+	164+24	high
chr15	66916801	-	chrVirus	2046	+	164+24	high
chrVirus	2272	+	chr4	151633417	+	167+24	high
chrVirus	2272	+	chr4	151633418	+	167+24	high
chrVirus	2427	+	chr16	13818601	+	164+46	high
chrVirus	2427	+	chr16	13818602	+	164+24	high
chrVirus	2519	+	chr5	280977	+	153+51	high
chrVirus	2519	+	chr5	280978	+	153+24	high
chrVirus	2519	+	chr5	280979	+	153+24	high
chr15	88189782	-	chrVirus	2683	+	170+37	high
chr13	53092640	-	chrVirus	3648	+	164+26	high
chr13	53092641	-	chrVirus	3648	+	164+26	high
chr5	123592824	+	chrVirus	3926	+	165+26	high
chr5	123592825	+	chrVirus	3926	+	165+26	high
chr5	123592826	+	chrVirus	3926	+	165+50	high
chr4	70597067	+	chrVirus	3949	+	169+27	high
chr4	70597070	+	chrVirus	3949	+	169+28	high
chr7	111184562	-	chrVirus	4497	+	166+51	high
chr7	111184563	-	chrVirus	4497	+	166+25	high
chr7	111184564	-	chrVirus	4497	+	166+25	high
chr8	78474568	+	chrVirus	5057	+	165+24	high
chr8	78474569	+	chrVirus	5057	+	165+24	high
chr8	78474570	+	chrVirus	5057	+	165+50	high
chr6	16480412	-	chrVirus	5114	+	166+24	high
chr6	16480413	-	chrVirus	5114	+	166+24	high
chr18	31202738	-	chrVirus	5239	+	172+42	high
chr18	31202747	-	chrVirus	5239	+	172+21	high
chrVirus	5211	+	chr3	68338447	+	170+22	high
chrVirus	5334	+	chr22	33433924	-	161+25	high
chrVirus	5334	+	chr22	33433925	-	161+34	high
chrVirus	5334	+	chr22	33433926	-	161+25	high
chrVirus	5853	+	chr15	34203573	+	0+48	high
chr15	77701173	+	chrVirus	5912	+	0+48	high
chrVirus	6159	+	chr21	37392756	-	165+25	high
chrVirus	6159	+	chr21	37392757	-	165+25	high
chr10	125565511	+	chrVirus	6371	+	165+25	high
chr10	125565512	+	chrVirus	6371	+	165+25	high
chr10	125565514	+	chrVirus	6371	+	165+25	high
chrVirus	6466	+	chr15	30796358	-	167+25	high
chrVirus	6466	+	chr15	30796359	-	167+25	high
chrVirus	6466	+	chr15	30796360	-	167+50	high
chrVirus	6466	+	chr15	30796361	-	167+25	high
chr18	24834375	+	chrVirus	6601	+	165+25	high
chr18	24834376	+	chrVirus	6601	+	165+25	high
chr18	24834380	+	chrVirus	6601	+	165+48	high
chr18	24834381	+	chrVirus	6601	+	165+25	high
chrVirus	7654	+	chr17	11230339	-	0+22	high
chrVirus	1234	-	chr16	24469447	+	161+38	high
chrVirus	2853	+	chrY	20549580	+	169+34	low
chrVirus	3366	+	chr13	89592164	+	160+37	low
chrVirus	2962	+	chr7	62051713	-	57+38	low
