#sample	entry	chrA	coordA	orientA	chrB	coordB	orientB	total	Split Reads	Uniquely Mapped Reads	Multiply Mapped Reads	Rank1 Hits
subset.insertion_seqs.fa	chr4~8659136~HPV35~4831	chr4	8659136	+	HPV35	4831	-	1	1	0	0	1
subset.insertion_seqs.fa	chr4~20600517~HPV35~4533	chr4	20600517	+	HPV35	4533	-	2	2	0	0	2
subset.insertion_seqs.fa	chr4~28638094~HPV35~3680	chr4	28638094	+	HPV35	3680	+	1	1	0	1	0
subset.insertion_seqs.fa	chr4~51581923~HPV35~6253	chr4	51581923	+	HPV35	6253	+	1	1	0	1	0
subset.insertion_seqs.fa	chr4~83545509~HPV35~4901	chr4	83545509	+	HPV35	4901	-	171	171	0	63	109
subset.insertion_seqs.fa	chr4~85983109~HPV35~0	chr4	85983109	+	HPV35	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr4~145412997~HPV35~0	chr4	145412997	+	HPV35	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr21~37646774~HPV35~2235	chr21	37646774	+	HPV35	2235	+	1	1	0	0	1
subset.insertion_seqs.fa	chr21~43032952~HPV35~1751	chr21	43032952	+	HPV35	1751	-	175	175	1	143	34
subset.insertion_seqs.fa	chr1~155883528~HPV35~4544	chr1	155883528	+	HPV35	4544	-	1	1	0	1	0
subset.insertion_seqs.fa	chr10~79625941~HPV35~2233	chr10	79625941	+	HPV35	2233	-	169	169	1	126	46
subset.insertion_seqs.fa	chr10~79938632~HPV35~4333	chr10	79938632	+	HPV35	4333	+	165	165	1	168	0
subset.insertion_seqs.fa	chr15~40235097~HPV35~4271	chr15	40235097	+	HPV35	4271	-	1	1	0	1	0
subset.insertion_seqs.fa	chr15~43408942~HPV35~5655	chr15	43408942	+	HPV35	5655	+	171	171	0	166	6
subset.insertion_seqs.fa	chr15~72301965~HPV35~4735	chr15	72301965	+	HPV35	4735	-	161	161	1	72	92
subset.insertion_seqs.fa	chr9~106465384~HPV35~1627	chr9	106465384	+	HPV35	1627	-	1	1	0	0	1
subset.insertion_seqs.fa	chr20~42501392~HPV35~1536	chr20	42501392	+	HPV35	1536	-	165	165	1	167	1
subset.insertion_seqs.fa	chr20~44049953~HPV35~3417	chr20	44049953	+	HPV35	3417	+	165	165	2	84	83
subset.insertion_seqs.fa	chr2~153499114~HPV35~0	chr2	153499114	+	HPV35	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr8~56863416~HPV35~3077	chr8	56863416	+	HPV35	3077	+	1	1	0	1	0
subset.insertion_seqs.fa	chr8~96750949~HPV35~3647	chr8	96750949	+	HPV35	3647	+	1	1	0	0	1
subset.insertion_seqs.fa	chr8~107562095~HPV35~4763	chr8	107562095	+	HPV35	4763	-	1	1	0	0	1
subset.insertion_seqs.fa	chr19~16068439~HPV35~2018	chr19	16068439	+	HPV35	2018	+	1	1	1	1	0
subset.insertion_seqs.fa	chr19~23390969~HPV35~3417	chr19	23390969	+	HPV35	3417	+	1	1	1	1	0
subset.insertion_seqs.fa	chr19~41191342~HPV35~2560	chr19	41191342	+	HPV35	2560	+	1	1	0	0	1
subset.insertion_seqs.fa	chr19~50945416~HPV35~6247	chr19	50945416	+	HPV35	6247	-	120	120	1	86	34
subset.insertion_seqs.fa	chrX~71002780~HPV35~0	chrX	71002780	+	HPV35	0	?	1	1	0	1	1
subset.insertion_seqs.fa	chrX~115098918~HPV35~557	chrX	115098918	+	HPV35	557	+	172	172	0	108	65
subset.insertion_seqs.fa	chrX~135978543~HPV35~0	chrX	135978543	+	HPV35	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr5~6955856~HPV35~3035	chr5	6955856	+	HPV35	3035	+	1	1	0	0	1
subset.insertion_seqs.fa	chr5~54848858~HPV35~4461	chr5	54848858	+	HPV35	4461	-	152	152	1	154	0
subset.insertion_seqs.fa	chr5~118336265~HPV35~2896	chr5	118336265	+	HPV35	2896	+	2	2	1	3	0
subset.insertion_seqs.fa	chr22~20841139~HPV35~7377	chr22	20841139	+	HPV35	7377	-	132	132	0	24	109
subset.insertion_seqs.fa	chr6~153100739~HPV35~3080	chr6	153100739	+	HPV35	3080	-	161	161	0	144	20
subset.insertion_seqs.fa	chr17~39268259~HPV35~0	chr17	39268259	+	HPV35	0	?	1	1	0	1	1
subset.insertion_seqs.fa	chr17~73060664~HPV35~4050	chr17	73060664	+	HPV35	4050	-	148	148	1	126	24
subset.insertion_seqs.fa	chr12~38334962~HPV35~0	chr12	38334962	+	HPV35	0	?	1	1	0	2	0
subset.insertion_seqs.fa	chr12~38927136~HPV35~5174	chr12	38927136	+	HPV35	5174	+	1	1	0	1	0
subset.insertion_seqs.fa	chr12~55809473~HPV35~7231	chr12	55809473	+	HPV35	7231	-	1	1	0	0	1
subset.insertion_seqs.fa	chr18~62716179~HPV35~6508	chr18	62716179	+	HPV35	6508	-	143	143	1	144	0
subset.insertion_seqs.fa	chr14~37564204~HPV35~3357	chr14	37564204	+	HPV35	3357	-	167	167	1	154	16
subset.insertion_seqs.fa	chr3~43852832~HPV35~0	chr3	43852832	+	HPV35	0	?	1	1	0	2	0
subset.insertion_seqs.fa	chr3~46573418~HPV35~3140	chr3	46573418	+	HPV35	3140	-	1	1	0	0	1
subset.insertion_seqs.fa	chr3~88783225~HPV35~2431	chr3	88783225	+	HPV35	2431	+	1	1	0	1	0
subset.insertion_seqs.fa	chr3~96305427~HPV35~0	chr3	96305427	+	HPV35	0	?	1	1	0	2	0
subset.insertion_seqs.fa	chr3~106597172~HPV35~1029	chr3	106597172	+	HPV35	1029	+	1	1	0	0	1
subset.insertion_seqs.fa	chr15~40234959~HPV35~4551	chr15	40234959	-	HPV35	4551	-	152	152	1	155	0
subset.insertion_seqs.fa	chr15~72301828~HPV35~4386	chr15	72301828	-	HPV35	4386	+	1	1	0	0	1
subset.insertion_seqs.fa	chr1~121772860~HPV35~0	chr1	121772860	-	HPV35	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr1~209671320~HPV35~2441	chr1	209671320	-	HPV35	2441	-	152	152	0	153	0
subset.insertion_seqs.fa	chr10~7403499~HPV35~6038	chr10	7403499	-	HPV35	6038	+	1	1	0	0	1
subset.insertion_seqs.fa	chr10~49149296~HPV35~6813	chr10	49149296	-	HPV35	6813	-	162	162	1	164	1
subset.insertion_seqs.fa	chr10~79938488~HPV35~4682	chr10	79938488	-	HPV35	4682	-	1	1	0	1	0
subset.insertion_seqs.fa	chr10~100168805~HPV35~3507	chr10	100168805	-	HPV35	3507	-	1	1	1	0	1
subset.insertion_seqs.fa	chr4~5775495~HPV35~1125	chr4	5775495	-	HPV35	1125	-	174	174	0	156	19
subset.insertion_seqs.fa	chr4~28637957~HPV35~3399	chr4	28637957	-	HPV35	3399	+	154	154	1	155	2
subset.insertion_seqs.fa	chr4~69265814~HPV35~2896	chr4	69265814	-	HPV35	2896	+	4	4	1	2	4
subset.insertion_seqs.fa	chr4~73870793~HPV35~618	chr4	73870793	-	HPV35	618	+	173	173	1	124	51
subset.insertion_seqs.fa	chr4~99191639~HPV35~3246	chr4	99191639	-	HPV35	3246	-	1	1	0	1	0
subset.insertion_seqs.fa	chr4~125920262~HPV35~2611	chr4	125920262	-	HPV35	2611	-	169	169	0	168	3
subset.insertion_seqs.fa	chr20~42501254~HPV35~1187	chr20	42501254	-	HPV35	1187	+	1	1	0	1	0
subset.insertion_seqs.fa	chr2~4013584~HPV35~6011	chr2	4013584	-	HPV35	6011	+	176	176	3	178	1
subset.insertion_seqs.fa	chr2~134911433~HPV35~6943	chr2	134911433	-	HPV35	6943	+	1	1	0	0	1
subset.insertion_seqs.fa	chr2~186571592~HPV35~3076	chr2	186571592	-	HPV35	3076	+	1	1	0	0	1
subset.insertion_seqs.fa	chr2~241264258~HPV35~2332	chr2	241264258	-	HPV35	2332	-	1	1	0	0	1
subset.insertion_seqs.fa	chr8~56863277~HPV35~2797	chr8	56863277	-	HPV35	2797	+	129	129	2	133	0
subset.insertion_seqs.fa	chr8~59404774~HPV35~4107	chr8	59404774	-	HPV35	4107	+	148	148	2	98	52
subset.insertion_seqs.fa	chr13~73417853~HPV35~0	chr13	73417853	-	HPV35	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr13~112277644~HPV35~2990	chr13	112277644	-	HPV35	2990	-	172	172	1	8	166
subset.insertion_seqs.fa	chr16~50200331~HPV35~6081	chr16	50200331	-	HPV35	6081	+	1	1	0	1	0
subset.insertion_seqs.fa	chr16~81984510~HPV35~3853	chr16	81984510	-	HPV35	3853	-	1	1	0	0	1
subset.insertion_seqs.fa	chr11~38631853~HPV35~3815	chr11	38631853	-	HPV35	3815	+	118	118	1	61	59
subset.insertion_seqs.fa	chr11~65510042~HPV35~0	chr11	65510042	-	HPV35	0	?	1	1	0	0	1
