#sample	entry	chrB	orientA	score	coordB	chrA	coordA	end	orientB	virus_brkend_grp	match	total
subset.insertion_seqs.fa	chr14~57711627~-~HPV35~1902~-	HPV35	-	6	1902	chr14	57711627	57711662	-	HPV35:1902	35	1
subset.insertion_seqs.fa	chr19~11291121~-~HPV35~2661~-	HPV35	-	9	2661	chr19	11291121	11291158	-	HPV35:2661	40	2
subset.insertion_seqs.fa	chr20~22208766~-~HPV31~129~-	HPV31	-	10	129	chr20	22208766	22208796	-	HPV31:129	40	6
subset.insertion_seqs.fa	chr7~18058503~-~HPV31~129~+	HPV31	-	4	129	chr7	18058503	18058468	+	HPV31:129	35	2
subset.insertion_seqs.fa	chr6~110073680~-~HPV31~129~+	HPV31	-	4	129	chr6	110073680	110073642	+	HPV31:129	35	2
subset.insertion_seqs.fa	chr5~115447884~-~HPV31~129~+	HPV31	-	4	129	chr5	115447884	115447844	+	HPV31:129	38	3
subset.insertion_seqs.fa	chr5~82068230~-~HPV31~129~+	HPV31	-	4	129	chr5	82068230	82068190	+	HPV31:129	38	3
subset.insertion_seqs.fa	chr2~207400336~-~HPV31~129~+	HPV31	-	4	129	chr2	207400336	207400298	+	HPV31:129	36	3
subset.insertion_seqs.fa	chr2~110627539~-~HPV31~129~+	HPV31	-	4	129	chr2	110627539	110627501	+	HPV31:129	36	3
subset.insertion_seqs.fa	chr17~21555622~-~HPV31~129~+	HPV31	-	4	129	chr17	21555622	21555584	+	HPV31:129	35	3
subset.insertion_seqs.fa	chr16~53685533~-~HPV31~129~+	HPV31	-	4	129	chr16	53685533	53685495	+	HPV31:129	37	3
subset.insertion_seqs.fa	chr14~57957121~-~HPV31~129~+	HPV31	-	4	129	chr14	57957121	57957081	+	HPV31:129	37	3
subset.insertion_seqs.fa	chr1~242868210~-~HPV31~129~+	HPV31	-	4	129	chr1	242868210	242868170	+	HPV31:129	37	3
subset.insertion_seqs.fa	chrX~114689168~-~HPV31~129~-	HPV31	-	4	129	chrX	114689168	114689206	-	HPV31:129	35	2
subset.insertion_seqs.fa	chr9~34869087~-~HPV31~129~-	HPV31	-	4	129	chr9	34869087	34869125	-	HPV31:129	36	2
subset.insertion_seqs.fa	chr8~119016357~-~HPV31~129~-	HPV31	-	4	129	chr8	119016357	119016397	-	HPV31:129	38	3
subset.insertion_seqs.fa	chr7~36254458~-~HPV31~129~-	HPV31	-	4	129	chr7	36254458	36254498	-	HPV31:129	38	3
subset.insertion_seqs.fa	chr7~109209847~-~HPV31~129~-	HPV31	-	4	129	chr7	109209847	109209888	-	HPV31:129	37	3
subset.insertion_seqs.fa	chr6~91194673~-~HPV31~129~-	HPV31	-	4	129	chr6	91194673	91194713	-	HPV31:129	37	3
