sample,genotype,feature,score,position,chr,chr_position,end,strand,match,counts
reads-HPV45,HPV45,left,9,20,chr17,32425059,32425094,-,40,4
reads-HPV45,HPV45,left,6,21,chr17,32425059,32425088,-,29,1
reads-HPV45,HPV45,left,10,731,chr20,34262628,34262596,+,42,10
reads-HPV45,HPV45,left,9,968,chr1,244251007,244250974,+,32,2
reads-HPV45,HPV45,right,7,1129,chr2,152048259,152048286,+,26,1
reads-HPV45,HPV45,right,10,1129,chr18,51241704,51241669,-,43,7
reads-HPV45,HPV45,right,4,1129,chr11,79452056,79452090,+,41,4
reads-HPV45,HPV45,right,1,1129,chr11,79452058,79452097,+,38,1
reads-HPV45,HPV45,left,0,1481,chr4,176355202,176355170,+,32,1
reads-HPV45,HPV45,left,1,1481,chr13,22898689,22898722,-,31,1
reads-HPV45,HPV45,left,9,1485,chr4,176355206,176355170,+,40,4
reads-HPV45,HPV45,left,4,1485,chr13,22898685,22898724,-,37,2
reads-HPV45,HPV45,left,6,1486,chr4,176355206,176355177,+,29,1
reads-HPV45,HPV45,left,9,1610,chr7,149104247,149104280,-,43,11
reads-HPV45,HPV45,right,10,1798,chr2,185528501,185528469,-,42,10
reads-HPV45,HPV45,right,4,1798,chr12,68116712,68116681,-,35,7
reads-HPV45,HPV45,right,4,1798,chr11,21939071,21939106,+,35,3
reads-HPV45,HPV45,right,4,1798,chrX,142912977,142913013,+,34,2
reads-HPV45,HPV45,left,10,2306,chr21,32634162,32634197,-,43,7
reads-HPV45,HPV45,left,7,2308,chr21,32634161,32634190,-,29,1
reads-HPV45,HPV45,left,7,2351,chr12,108484846,108484810,+,35,1
reads-HPV45,HPV45,left,7,2352,chr12,108484846,108484812,+,34,1
reads-HPV45,HPV45,left,10,2352,chr12,108484847,108484808,+,43,5
reads-HPV45,HPV45,left,7,2354,chr12,108484849,108484819,+,30,1
reads-HPV45,HPV45,right,10,2399,chr20,37774799,37774832,+,43,12
reads-HPV45,HPV45,left,10,2528,chr3,39150864,39150830,+,43,11
reads-HPV45,HPV45,left,10,2643,chr5,61268121,61268085,+,40,7
reads-HPV45,HPV45,left,7,2644,chr5,61268121,61268092,+,29,1
reads-HPV45,HPV45,right,7,2738,chr6,153459069,153459039,-,30,1
reads-HPV45,HPV45,left,10,2700,chr11,106090463,106090496,-,43,11
reads-HPV45,HPV45,right,10,2739,chr6,153459068,153459032,-,40,5
reads-HPV45,HPV45,right,1,2739,chr21,32567353,32567312,-,40,1
reads-HPV45,HPV45,left,10,2726,chr11,60452993,60452959,+,43,9
reads-HPV45,HPV45,right,10,2783,chr3,7351914,7351880,-,42,6
reads-HPV45,HPV45,left,9,2925,chr4,176308199,176308163,+,40,6
reads-HPV45,HPV45,left,6,2926,chr4,176308199,176308170,+,29,1
reads-HPV45,HPV45,left,7,2987,chr22,17094168,17094208,-,37,1
reads-HPV45,HPV45,left,9,3072,chr1,172609763,172609799,-,40,5
reads-HPV45,HPV45,left,6,3073,chr1,172609763,172609792,-,29,1
reads-HPV45,HPV45,left,9,3111,chr17,75073895,75073931,-,40,5
reads-HPV45,HPV45,left,6,3112,chr17,75073895,75073924,-,29,1
reads-HPV45,HPV45,right,10,3438,chr6,41195088,41195048,-,43,4
reads-HPV45,HPV45,right,7,3527,chr3,31619114,31619143,+,29,1
reads-HPV45,HPV45,right,10,3528,chr3,31619114,31619150,+,40,6
reads-HPV45,HPV45,right,7,3532,chr3,31619119,31619152,+,33,1
reads-HPV45,HPV45,left,10,3789,chr18,40054308,40054274,+,43,7
reads-HPV45,HPV45,left,9,3893,chr19,21247123,21247156,-,42,8
reads-HPV45,HPV45,left,9,3893,chr19,21373372,21373334,+,41,2
reads-HPV45,HPV45,left,0,3954,chr4,49154805,49154771,+,32,1
reads-HPV45,HPV45,left,4,3954,chr2,89831080,89831045,+,34,4
reads-HPV45,HPV45,left,10,3954,chr10,41901740,41901776,-,40,4
reads-HPV45,HPV45,left,1,3954,chr2,89828565,89828535,+,30,1
reads-HPV45,HPV45,left,0,3954,chr17,21975854,21975884,-,30,1
reads-HPV45,HPV45,left,0,3954,chr4,49643628,49643660,-,31,1
reads-HPV45,HPV45,left,1,3955,chr2,89828565,89828536,+,29,1
reads-HPV45,HPV45,left,0,3955,chr17,21975854,21975883,-,29,1
reads-HPV45,HPV45,left,10,4222,chrX,143988748,143988784,-,43,5
reads-HPV45,HPV45,left,7,4225,chrX,143988745,143988771,-,26,1
reads-HPV45,HPV45,left,0,4352,chr9,133165780,133165749,+,30,1
reads-HPV45,HPV45,left,4,4352,chr6,151044355,151044320,+,37,2
reads-HPV45,HPV45,left,1,4352,chr6,21354036,21354006,+,28,1
reads-HPV45,HPV45,left,4,4352,chr5,91071728,91071692,+,38,4
reads-HPV45,HPV45,left,1,4352,chr5,68198526,68198496,+,29,1
reads-HPV45,HPV45,left,1,4352,chr3,14542209,14542181,+,28,1
reads-HPV45,HPV45,left,4,4352,chr18,68613864,68613828,+,37,4
reads-HPV45,HPV45,left,4,4352,chr18,77050600,77050564,+,36,4
reads-HPV45,HPV45,left,3,4352,chr17,59906748,59906712,+,38,4
reads-HPV45,HPV45,left,4,4352,chr15,71191956,71191920,+,38,4
reads-HPV45,HPV45,left,1,4352,chr15,70272411,70272381,+,29,1
reads-HPV45,HPV45,left,4,4352,chr12,50151706,50151670,+,37,4
reads-HPV45,HPV45,left,1,4352,chr10,102995266,102995236,+,28,1
reads-HPV45,HPV45,left,3,4352,chr7,115976388,115976423,-,35,3
reads-HPV45,HPV45,left,3,4352,chr7,70062476,70062512,-,37,4
reads-HPV45,HPV45,left,4,4352,chr6,89101661,89101691,-,37,3
reads-HPV45,HPV45,left,4,4352,chr3,49441942,49441975,-,38,4
reads-HPV45,HPV45,left,1,4352,chr2,241692011,241692039,-,28,1
reads-HPV45,HPV45,left,1,4352,chr2,74173099,74173129,-,28,1
reads-HPV45,HPV45,left,4,4352,chr15,64725958,64725994,-,35,4
reads-HPV45,HPV45,left,1,4352,chr12,51886725,51886753,-,27,1
reads-HPV45,HPV45,left,4,4352,chr10,46004112,46004147,-,38,5
reads-HPV45,HPV45,left,3,4352,chr1,23460470,23460505,-,39,5
reads-HPV45,HPV45,left,3,4352,chr1,175345071,175345100,-,30,2
reads-HPV45,HPV45,left,3,4352,chr1,182457110,182457146,-,37,4
reads-HPV45,HPV45,left,1,4352,chr15,52588492,52588456,+,33,1
reads-HPV45,HPV45,left,1,4352,chr3,32040800,32040836,-,36,1
reads-HPV45,HPV45,left,1,4352,chr18,44368522,44368558,-,36,1
reads-HPV45,HPV45,left,3,4352,chr8,89879834,89879869,-,38,3
reads-HPV45,HPV45,left,4,4352,chr15,48919354,48919316,+,36,2
reads-HPV45,HPV45,left,0,4352,chr17,73100346,73100375,-,28,1
reads-HPV45,HPV45,left,1,4352,chr21,38310063,38310023,+,36,1
reads-HPV45,HPV45,left,0,4352,chr19,6566203,6566163,+,40,1
reads-HPV45,HPV45,left,0,4353,chr9,133165780,133165751,+,28,1
reads-HPV45,HPV45,left,1,4353,chr6,151044355,151044326,+,29,1
reads-HPV45,HPV45,left,1,4353,chr5,91071728,91071699,+,28,1
