chrom	lend	rend	gene	strand
chr3	23757	24501	AY269186.1	+
chr3	53348	54346	AY269186.2	-
chr3	195758	197341	CHL1-AS2	-
chr3	196596	409417	CHL1	+
chr3	282689	282792	RNU6-1194P	-
chr3	308714	309322	RPS8P6	-
chr3	363370	385795	CHL1-AS1	-
chr3	536231	846015	LINC01266	+
chr3	617789	618314	RPSAP32	-
chr3	857124	858091	AC090044.2	+
chr3	1008135	1012934	AC087430.1	+
chr3	1065580	1065875	RN7SL120P	-
chr3	1092576	1404217	CNTN6	+
chr3	1394173	1394448	CRB3P1	-
chr3	1595777	1596245	AC090043.1	-
chr3	1730070	1730474	RPL23AP39	+
chr3	1905651	1906125	RPL21P17	+
chr3	1962381	1987470	RP11-204C23.1	-
chr3	2088933	2089211	RN7SKP144	-
chr3	2098813	3057956	CNTN4	+
chr3	2110409	2144241	CNTN4-AS2	-
chr3	2362258	2362738	HINT2P1	+
chr3	2985231	2985575	DNAJC19P4	-
chr3	3039033	3069242	CNTN4-AS1	-
chr3	3066326	3126613	IL5RA	-
chr3	3102913	3103015	SNORA43	+
chr3	3126916	3150879	TRNT1	+
chr3	3145453	3145614	AC024060.1	-
chr3	3148992	3179710	CRBN	-
