chrom	lend	rend	strand	virus	virus_brkpt	virus_strand	read_support	sample_name	insertion_name
chr5	1126717	1126718	+	NC_003977_3182nt_Hepatitis_B_virus	420	+	28	LIHC-DD-AADF-TP	NC_003977_3182nt_Hepatitis_B_virus~420~+~chr5~1126717~+
chr5	1272281	1272282	+	NC_003977_3182nt_Hepatitis_B_virus	2447	-	49	LIHC-CC-A3MB-TP	chr5~1272281~+~NC_003977_3182nt_Hepatitis_B_virus~2447~-
chr5	1294669	1294670	+	NC_003977_3182nt_Hepatitis_B_virus	1368	+	12	LIHC-G3-A25U-TP	chr5~1294669~+~NC_003977_3182nt_Hepatitis_B_virus~1368~+
chr5	1295048	1295049	+	NC_003977_3182nt_Hepatitis_B_virus	1826	-	14	LIHC-DD-AAC9-TP	chr5~1295048~+~NC_003977_3182nt_Hepatitis_B_virus~1826~-
chr5	1295116	1295117	+	NC_003977_3182nt_Hepatitis_B_virus	1810	-	10	LIHC-DD-AAD0-TP	chr5~1295116~+~NC_003977_3182nt_Hepatitis_B_virus~1810~-
chr5	1295163	1295164	+	NC_003977_3182nt_Hepatitis_B_virus	1826	-	19	LIHC-DD-AAE3-TP	chr5~1295163~+~NC_003977_3182nt_Hepatitis_B_virus~1826~-
chr5	1295345	1295346	+	NC_003977_3182nt_Hepatitis_B_virus	1820	+	2072	LIHC-DD-AACK-TP	NC_003977_3182nt_Hepatitis_B_virus~1820~+~chr5~1295345~+
chr5	1295347	1295348	+	NC_003977_3182nt_Hepatitis_B_virus	1817	-	30	LIHC-DD-AAE6-TP	chr5~1295347~+~NC_003977_3182nt_Hepatitis_B_virus~1817~-
chr5	1295467	1295468	+	NC_003977_3182nt_Hepatitis_B_virus	1799	+	1924	LIHC-RC-A7SB-TP	NC_003977_3182nt_Hepatitis_B_virus~1799~+~chr5~1295467~+
chr5	1295536	1295537	+	NC_003977_3182nt_Hepatitis_B_virus	1596	+	133	LIHC-2Y-A9H4-TP	NC_003977_3182nt_Hepatitis_B_virus~1596~+~chr5~1295536~+
chr5	1295712	1295713	+	NC_003977_3182nt_Hepatitis_B_virus	2551	+	71	LIHC-DD-AAD6-TP	NC_003977_3182nt_Hepatitis_B_virus~2551~+~chr5~1295712~+
chr5	1295726	1295727	+	NC_003977_3182nt_Hepatitis_B_virus	461	+	22	LIHC-DD-AADV-TP	NC_003977_3182nt_Hepatitis_B_virus~461~+~chr5~1295726~+
chr5	1295726	1295727	+	NC_003977_3182nt_Hepatitis_B_virus	2450	+	71	LIHC-DD-AADL-TP	NC_003977_3182nt_Hepatitis_B_virus~2450~+~chr5~1295726~+
chr5	1306847	1306848	+	NC_003977_3182nt_Hepatitis_B_virus	1793	+	18	UCEC-DI-A1BU-TP	NC_003977_3182nt_Hepatitis_B_virus~1793~+~chr5~1306847~+
chr5	1306848	1306849	+	NC_003977_3182nt_Hepatitis_B_virus	1793	+	3859	LIHC-DD-AADU-TP	NC_003977_3182nt_Hepatitis_B_virus~1793~+~chr5~1306848~+
chr5	1306848	1306849	+	NC_003977_3182nt_Hepatitis_B_virus	1793	+	25	LGG-QH-A6CS-TP	NC_003977_3182nt_Hepatitis_B_virus~1793~+~chr5~1306848~+
