chrom	lend	rend	gene	strand
chr14	80476983	80959517	CEP128	-
chr14	80954989	81146302	TSHR	+
chr14	80981988	80983638	BHLHB9P1	+
chr14	81001166	81001786	RPL17P3	-
chr14	81003325	81003645	RP11-114N19.5	-
chr14	81032529	81033404	NMNAT1P1	+
chr14	81107033	81170414	RP11-114N19.3	-
chr14	81175452	81221377	GTF2A1	-
chr14	81195040	81195148	AL136040.1	+
chr14	81202695	81202834	SNORA79	-
chr14	81221218	81222460	CTD-2506P8.6	+
chr14	81246295	81246563	DYNLL1P1	-
chr14	81259565	81260239	UNGP3	-
chr14	81260656	81436465	STON2	-
chr14	81332961	81333361	RP11-299L17.1	-
chr14	81412970	81413239	DYNLL1P2	+
chr14	81441987	81450157	RP11-299L17.3	-
chr14	81471549	81533861	SEL1L	-
chr14	81605347	81623061	LINC01467	-
chr14	81661428	81662874	EEF1A1P2	+
chr14	81727780	81743138	RP11-226P1.2	-
chr14	81741002	82030349	RP11-666E17.1	+
chr14	81777016	81777613	RP11-226P1.1	-
chr14	81916231	81917888	EIF3LP1	+
chr14	82427420	82427508	AL357095.1	-
chr14	82429872	82430156	Metazoa_SRP	+
chr14	82642620	82706825	RP11-406A9.2	+
chr14	82692704	82693055	ENSAP2	-
chr14	82788478	82796221	RP11-11K13.1	-
chr14	83017106	83018144	RP11-452D21.2	-
chr14	83018201	83039602	RP11-452D21.1	-
chr14	83048579	83048640	RNU7-51P	+
chr14	83750384	83750501	RNU6ATAC28P	+
chr14	83805496	83805640	RP11-22K10.1	-
chr14	83906872	83915050	RP11-353P15.1	-
chr14	84172841	84173606	CTD-2320B12.3	+
chr14	84173791	84175510	CTD-2320B12.1	+
chr14	84176419	84177088	CTD-2320B12.2	+
chr14	84739942	84740052	RNU6-976P	+
chr14	84951274	84951373	RP11-688D15.1	+
chr14	84998278	84999296	RP11-688D15.2	-
chr14	85202849	85239474	RP11-789A21.1	-
chr14	85362457	85516934	CTD-2128A3.2	-
chr14	85387275	85388765	CTD-2128A3.3	+
chr14	85393879	85420074	LINC00911	+
chr14	85524432	85529988	RP11-497E19.1	-
chr14	85528599	85529386	RP11-497E19.2	+
chr14	85530144	85654426	FLRT2	+
