chrom	lend	rend	gene	strand
chr4	73073376	73258798	ANKRD17	-
chr4	73259209	73317953	RP11-692D12.1	+
chr4	73263960	73264084	SNORA3	+
chr4	73337233	73337771	RP11-580P21.1	-
chr4	73397114	73421412	ALB	+
chr4	73431138	73456174	AFP	+
chr4	73481683	73504001	AFM	+
chr4	73508803	73534128	RP11-622A1.2	+
chr4	73543822	73544013	RP11-622A1.1	+
chr4	73571550	73620631	RASSF6	-
chr4	73710302	73714527	AC112518.3	+
chr4	73740506	73743716	CXCL8	+
chr4	73777636	73778060	RP11-447E20.1	-
chr4	73836497	73849064	CXCL6	+
chr4	73853189	73854155	PF4V1	+
chr4	73869393	73871242	CXCL1	+
chr4	73938604	73939558	HNRNPA1P55	-
chr4	73944011	73944324	CXCL1P	-
chr4	73981077	73982124	PF4	-
chr4	73987038	73988197	PPBP	-
chr4	73995642	73998779	CXCL5	-
chr4	74011578	74011876	RN7SL218P	+
chr4	74036589	74038807	CXCL3	-
chr4	74054038	74055399	PPBPP2	-
chr4	74085995	74086672	RP11-629B11.4	-
chr4	74097035	74099293	CXCL2	-
chr4	74114174	74303099	MTHFD2L	+
chr4	74156511	74158373	RP11-629B11.5	-
chr4	74308473	74315307	EPGN	+
chr4	74326886	74326963	AC097470.1	+
chr4	74365143	74388751	EREG	+
