chrom	lend	rend	strand	virus	virus_brkpt	virus_strand	read_support	sample_name	insertion_name
chr9	5335598	5335599	+	HPV16	881	-	138	CESC-VS-A9U7-TP	chr9~5335598~+~HPV16~881~-
chr9	5340897	5340898	+	HPV16	881	-	297	CESC-VS-A9U7-TP	chr9~5340897~+~HPV16~881~-
chr9	5340897	5340898	+	HPV16	227	-	17	CESC-VS-A9U7-TP	chr9~5340897~+~HPV16~227~-
chr9	5450363	5450364	+	HPV16	881	+	57	HNSC-T2-A6X0-TP	HPV16~881~+~chr9~5450363~+
chr9	5450597	5450598	+	HPV16	408	+	15	CESC-VS-A9U7-TP	chr9~5450597~+~HPV16~408~+
chr9	5451263	5451264	+	HPV16	1152	+	19	CESC-VS-A9U7-TP	HPV16~1152~+~chr9~5451263~+
chr9	5464508	5464509	+	HPV16	6761	-	23	HNSC-CV-5443-TP	HPV16~6761~-~chr9~5464508~+
chr9	5467319	5467320	+	HPV16	3727	+	662	CESC-VS-A9U7-TP	chr9~5467319~+~HPV16~3727~+
chr9	5557617	5557618	+	HPV16	227	+	416	HNSC-HL-7533-TP	HPV16~227~+~chr9~5557617~+
chr9	5563161	5563162	+	HPV16	227	+	12	HNSC-HL-7533-TP	HPV16~227~+~chr9~5563161~+
chr9	5569951	5569952	+	HPV16	229	+	47	HNSC-HL-7533-TP	HPV16~229~+~chr9~5569951~+
chr9	5578120	5578121	+	HPV16	3951	+	250	HNSC-HL-7533-TP	chr9~5578120~+~HPV16~3951~+
chr9	5578450	5578451	+	HPV16	2609	+	39	HNSC-HL-7533-TP	HPV16~2609~+~chr9~5578450~+
chr9	5579830	5579831	+	HPV16	881	+	698	HNSC-HL-7533-TP	HPV16~881~+~chr9~5579830~+
chr9	5629454	5629455	+	HPV16	3357	+	20	CESC-EA-A1QT-TP	chr9~5629454~+~HPV16~3357~+
chr9	5690039	5690040	+	HPV16	3357	+	17	CESC-EA-A1QT-TP	chr9~5690039~+~HPV16~3357~+
chr9	5716204	5716205	+	HPV16	7035	-	42	CESC-EA-A1QT-TP	chr9~5716204~+~HPV16~7035~-
chr9	5727227	5727228	+	HPV16	2573	-	19	CESC-EA-A1QT-TP	HPV16~2573~-~chr9~5727227~+
chr9	5737879	5737880	+	HPV16	408	-	11	CESC-EA-A1QT-TP	HPV16~408~-~chr9~5737879~+
chr9	5738539	5738540	+	HPV16	408	+	13	CESC-EA-A1QT-TP	chr9~5738539~+~HPV16~408~+
chr9	5885181	5885182	+	NC_003977_3182nt_Hepatitis_B_virus	1808	+	11	LIHC-DD-A116-NT	NC_003977_3182nt_Hepatitis_B_virus~1808~+~chr9~5885181~+
chr9	5968018	5968019	+	HPV16	3357	-	21	CESC-DS-A0VM-TP	HPV16~3357~-~chr9~5968018~+
