chrom	lend	rend	strand	virus	virus_brkpt	virus_strand	read_support	sample_name	insertion_name
chr20	14580313	14580314	+	HPV16	882	+	13	CESC-Q1-A6DW-TP	HPV16~882~+~chr20~14580313~+
chr20	14580439	14580440	+	HPV16	227	-	33	CESC-Q1-A6DW-TP	chr20~14580439~+~HPV16~227~-
chr20	14580439	14580440	+	HPV16	881	-	5810	CESC-Q1-A6DW-TP	chr20~14580439~+~HPV16~881~-
chr20	14580623	14580624	+	HPV16	2092	-	93	CESC-Q1-A6DW-TP	chr20~14580623~+~HPV16~2092~-
chr20	14715683	14715684	+	HPV18	930	-	23	CESC-Q1-A73S-TP	chr20~14715683~+~HPV18~930~-
chr20	14727528	14727529	+	HPV18	930	-	42	CESC-Q1-A73S-TP	chr20~14727528~+~HPV18~930~-
chr20	14970782	14970783	+	HPV45	930	-	17	CESC-VS-A9V1-TP	chr20~14970782~+~HPV45~930~-
chr20	14988351	14988352	+	HPV45	930	-	55	CESC-VS-A9V1-TP	chr20~14988351~+~HPV45~930~-
chr20	14997511	14997512	+	HPV45	930	-	66	CESC-VS-A9V1-TP	chr20~14997511~+~HPV45~930~-
chr20	14997514	14997515	+	HPV45	231	-	15	CESC-VS-A9V1-TP	chr20~14997514~+~HPV45~231~-
chr20	15007981	15007982	+	HPV45	930	-	18	CESC-VS-A9V1-TP	chr20~15007981~+~HPV45~930~-
chr20	15008727	15008728	+	HPV45	1043	-	446	CESC-VS-A9V1-TP	chr20~15008727~+~HPV45~1043~-
chr20	15208196	15208197	+	HPV16	5837	+	28	CESC-MA-AA3X-TP	HPV16~5837~+~chr20~15208196~+
