chrom	lend	rend	strand	virus	virus_brkpt	virus_strand	read_support	sample_name	insertion_name
chr3	189849535	189849536	+	HPV16	884	-	11	CESC-C5-A2LY-TP	chr3~189849535~+~HPV16~884~-
chr3	189897447	189897448	+	HPV16	233	-	1767	CESC-C5-A2LY-TP	chr3~189897447~+~HPV16~233~-
chr3	189897447	189897448	+	HPV16	227	-	410	CESC-VS-A9UY-TP	chr3~189897447~+~HPV16~227~-
chr3	189899624	189899625	+	HPV16	881	-	726	CESC-VS-A9UY-TP	chr3~189899624~+~HPV16~881~-
chr3	189899624	189899625	+	HPV16	227	-	97	CESC-VS-A9UY-TP	chr3~189899624~+~HPV16~227~-
chr3	189899624	189899625	+	HPV16	881	-	1212	CESC-C5-A2LY-TP	chr3~189899624~+~HPV16~881~-
chr3	189899624	189899625	+	HPV16	227	-	667	CESC-C5-A2LY-TP	chr3~189899624~+~HPV16~227~-
chr3	189899756	189899757	+	HPV16	1859	+	54	CESC-HG-A2PA-TP	HPV16~1859~+~chr3~189899756~+
chr3	189902108	189902109	+	HPV16	2665	-	31	CESC-VS-A9UY-TP	chr3~189902108~+~HPV16~2665~-
chr3	189916656	189916657	+	HPV59	2363	+	78	CESC-JW-A5VG-TP	HPV59~2363~+~chr3~189916656~+
chr3	189935001	189935002	+	HPV16	881	+	937	CESC-HG-A2PA-TP	HPV16~881~+~chr3~189935001~+
chr3	189935001	189935002	+	HPV59	888	+	1374	CESC-JW-A5VG-TP	HPV59~888~+~chr3~189935001~+
chr3	189935001	189935002	+	HPV59	184	+	11	CESC-JW-A5VG-TP	HPV59~184~+~chr3~189935001~+
chr3	189935007	189935008	+	HPV16	227	+	82	CESC-HG-A2PA-TP	HPV16~227~+~chr3~189935007~+
chr3	189945418	189945419	+	HPV59	5317	+	33	CESC-JW-A5VG-TP	chr3~189945418~+~HPV59~5317~+
chr3	190093719	190093720	+	HPV16	6532	-	10	CESC-DS-A0VL-TP	HPV16~6532~-~chr3~190093719~+
chr3	190137294	190137295	+	HPV16	881	-	3939	CESC-DS-A0VL-TP	chr3~190137294~+~HPV16~881~-
chr3	190333947	190333948	+	HPV45	2524	+	32	CESC-MY-A913-TP	HPV45~2524~+~chr3~190333947~+
chr3	190340349	190340350	+	HPV45	3383	-	17	CESC-MY-A913-TP	HPV45~3383~-~chr3~190340349~+
chr3	190370453	190370454	+	HPV45	3383	+	72	CESC-MY-A913-TP	chr3~190370453~+~HPV45~3383~+
chr3	190370892	190370893	+	HPV45	930	+	559	CESC-MY-A913-TP	HPV45~930~+~chr3~190370892~+
chr3	190370892	190370893	+	HPV45	231	+	62	CESC-MY-A913-TP	HPV45~231~+~chr3~190370892~+
chr3	190371002	190371003	+	HPV45	3391	+	1743	CESC-MY-A913-TP	chr3~190371002~+~HPV45~3391~+
chr3	190374524	190374525	+	HPV45	231	+	46	CESC-MY-A913-TP	HPV45~231~+~chr3~190374524~+
chr3	190374604	190374605	+	HPV45	3391	+	1825	CESC-MY-A913-TP	chr3~190374604~+~HPV45~3391~+
chr3	190380143	190380144	+	HPV45	2965	+	258	CESC-MY-A913-TP	chr3~190380143~+~HPV45~2965~+
