chrom	lend	rend	gene	strand
chr17	19203825	19214045	RP11-160E2.16	+
chr17	19208584	19211359	KYNUP3	+
chr17	19215615	19336715	EPN2	+
chr17	19219143	19222527	RP11-744A16.4	+
chr17	19296596	19306261	EPN2-AS1	-
chr17	19334308	19336127	RP11-135L13.4	-
chr17	19337554	19378182	B9D1	-
chr17	19344506	19344574	MIR1180	-
chr17	19377721	19383544	MAPK7	+
chr17	19383442	19387240	MFAP4	-
chr17	19411125	19417276	RNF112	+
chr17	19411786	19413118	CTB-187M2.2	-
chr17	19417804	19492991	AC004448.5	-
chr17	19419035	19424357	AC004448.2	+
chr17	19445970	19446852	RPS2P46	-
chr17	19457080	19458399	CTB-187M2.1	+
chr17	19495385	19579034	SLC47A1	+
chr17	19496943	19497528	RPL17P43	+
chr17	19557211	19557911	SNORA59B	+
chr17	19557560	19557711	SNORA59A	+
chr17	19560111	19597922	RP11-1113L8.1	-
chr17	19579943	19596058	AC025627.7	+
chr17	19582116	19582275	RP11-1113L8.2	-
chr17	19600860	19601345	RP11-1113L8.6	+
chr17	19601840	19602256	RP11-1113L8.7	+
chr17	19602259	19603208	MTND1P14	+
chr17	19603274	19603345	NMTRQ-TTG12-1	-
chr17	19603797	19605048	MTND2P12	+
chr17	19605264	19605328	AC025627.1	+
chr17	19605454	19605933	AC025627.4	+
chr17	19615789	19633825	CTD-2104P17.1	+
chr17	19648136	19677598	ALDH3A2	+
chr17	19649373	19649935	CTD-2104P17.2	-
chr17	19649494	19649587	Y_RNA	-
chr17	19662000	19662090	SNORA31	+
chr17	19678288	19718979	SLC47A2	-
chr17	19719059	19722428	RP11-311F12.1	+
chr17	19737682	19738542	RP11-311F12.2	+
chr17	19737984	19748943	ALDH3A1	-
chr17	19755244	19756207	AC005722.4	+
chr17	19770829	19867936	ULK2	-
chr17	19840126	19840515	AC015726.1	+
chr17	19855747	19856164	RP11-78O7.1	+
chr17	19868568	19868689	RP11-78O7.3	+
chr17	19896590	19897287	RP11-78O7.2	-
chr17	19904302	19978343	AKAP10	-
chr17	19929372	19929737	RP11-209D14.4	-
chr17	20008051	20009234	RP11-209D14.2	-
chr17	20009344	20319026	SPECC1	+
chr17	20056287	20056630	AC005730.2	+
chr17	20111824	20112990	KCTD9P1	+
chr17	20126388	20126488	RNU6-258P	-
chr17	20185082	20322973	AC004702.2	+
chr17	20290257	20290358	RNU6-1057P	+
chr17	20321164	20403557	CCDC144CP	+
chr17	20323001	20323110	U6	+
chr17	20323058	20323337	RP11-121A13.3	+
chr17	20340743	20341045	Metazoa_SRP	+
chr17	20375369	20376840	UPF3AP2	-
chr17	20415547	20431008	USP32P3	+
chr17	20415792	20416697	SRP68P3	-
chr17	20433206	20434285	RP11-434D2.2	+
chr17	20436337	20447249	NOS2P3	+
chr17	20449395	20467539	LGALS9B	-
chr17	20481330	20483991	TNPO1P3	-
chr17	20491323	20491443	YWHAEP3	-
chr17	20493634	20494155	KRT16P5	-
chr17	20501513	20512357	KRT16P3	-
chr17	20507413	20508931	RP11-434D2.7	-
chr17	20512560	20517479	KRT17P6	-
chr17	20519312	20528687	KRT17P7	-
chr17	20526102	20526210	AC015818.6	+
chr17	20530042	20530881	AC008088.4	-
chr17	20532248	20532881	RP11-434D2.9	-
chr17	20542974	20544123	RP11-434D2.10	-
chr17	20543481	20550963	TBC1D3P3	-
chr17	20545371	20549952	RP11-434D2.3	+
chr17	20554137	20554380	RP11-434D2.8	+
chr17	20554971	20559410	RP11-434D2.11	-
