chrom	lend	rend	gene	strand
chr14	96943579	96945394	LINC00618	+
chr14	96992864	96996601	RP11-907D1.3	+
chr14	97110416	97119247	RP11-907D1.1	-
chr14	97116355	97121501	RP11-907D1.2	+
chr14	97154857	97158736	RP11-359N5.1	+
chr14	97458816	97581601	CTD-2506J14.1	+
chr14	97523095	97523230	AL355098.1	+
chr14	97632647	97686658	RP11-76E12.1	-
chr14	97749264	97763989	RP11-204N11.1	-
chr14	97786565	97789256	RP11-204N11.2	-
chr14	97925610	97978124	LINC01550	-
chr14	98068240	98205143	RP11-61O1.1	-
chr14	98136074	98139242	RP11-61O1.2	+
chr14	98331632	98331750	AL163760.1	-
chr14	98351367	98351664	RN7SL714P	-
chr14	98497132	98514798	RP11-1082A3.1	+
chr14	98711613	98717761	C14orf177	+
chr14	98844896	98845597	AL132796.1	+
chr14	98916902	98917801	RP11-1127D7.2	-
chr14	98925137	98927805	RP11-1127D7.1	-
chr14	98972879	98973301	RPL3P4	-
chr14	98973314	98973471	AL162151.3	+
chr14	99158416	99159669	AL162151.4	+
chr14	99169287	99271524	BCL11B	-
chr14	99262948	99264735	AL109767.1	+
chr14	99324799	99332015	CTD-2200A16.1	-
chr14	99397746	99480889	SETD3	-
chr14	99444306	99444412	U6	+
chr14	99481169	99535044	CCNK	+
chr14	99500180	99604026	CCDC85C	-
chr14	99512501	99513576	RP11-688G15.3	+
chr14	99583017	99583118	Y_RNA	+
chr14	99604556	99625740	RP11-543C4.1	+
chr14	99645110	99680569	HHIPL1	+
chr14	99684304	99727301	CYP46A1	+
chr14	99691445	99693648	RP11-543C4.3	-
chr14	99737693	99942060	EML1	+
chr14	99945315	99945477	RNU1-47P	+
chr14	99964529	99965378	VDAC3P1	+
chr14	99971449	100144236	EVL	+
chr14	99974336	99975149	RP11-436M15.1	-
chr14	99977115	99978098	RP11-436M15.3	-
chr14	100052803	100074878	CTD-2376I20.1	-
chr14	100109419	100109514	MIR151B	-
chr14	100109655	100109753	MIR342	+
chr14	100143957	100160163	DEGS2	-
