chrom	lend	rend	strand	virus	virus_brkpt	virus_strand	read_support	sample_name	insertion_name
chr8	127229296	127229297	+	HPV18	2498	-	11	KIRC-B0-4811-TP	chr8~127229296~+~HPV18~2498~-
chr8	127229300	127229301	+	HPV18	2498	-	18	KIRC-DV-5573-TP	chr8~127229300~+~HPV18~2498~-
chr8	127229304	127229305	+	HPV18	2496	-	18	KIRC-CJ-5683-TP	chr8~127229304~+~HPV18~2496~-
chr8	127229304	127229305	+	HPV18	2496	-	37	KIRC-CJ-5681-NT	chr8~127229304~+~HPV18~2496~-
chr8	127290061	127290062	+	HPV18	930	-	2262	CESC-FU-A23K-TP	chr8~127290061~+~HPV18~930~-
chr8	127290061	127290062	+	HPV16	881	-	1703	CESC-FU-A40J-TP	chr8~127290061~+~HPV16~881~-
chr8	127290061	127290062	+	HPV45	930	-	3504	CESC-FU-A23L-TP	chr8~127290061~+~HPV45~930~-
chr8	127290061	127290062	+	HPV45	930	-	157	CESC-EK-A2IP-TP	chr8~127290061~+~HPV45~930~-
chr8	127392503	127392504	+	HPV16	881	+	327	CESC-EK-A2H1-TP	HPV16~881~+~chr8~127392503~+
chr8	127458096	127458097	+	HPV16	3605	-	530	CESC-UC-A7PF-TP	chr8~127458096~+~HPV16~3605~-
chr8	127592517	127592518	+	HPV16	2164	+	174	CESC-EA-A3QD-TP	HPV16~2164~+~chr8~127592517~+
chr8	127712343	127712344	+	HPV18	930	+	200	CESC-C5-A3HF-TP	HPV18~930~+~chr8~127712343~+
chr8	127742375	127742376	+	HPV16	6411	+	47	CESC-LP-A5U2-TP	chr8~127742375~+~HPV16~6411~+
chr8	127759613	127759614	+	HPV18	3440	+	2880	CESC-DG-A2KH-TP	chr8~127759613~+~HPV18~3440~+
chr8	127794674	127794675	+	HPV16	3741	+	586	CESC-C5-A2M1-TP	HPV16~3741~+~chr8~127794674~+
chr8	127797040	127797041	+	HPV16	594	-	47	CESC-LP-A7HU-TP	chr8~127797040~+~HPV16~594~-
chr8	127856754	127856755	+	HPV16	3820	+	2394	HNSC-BB-7866-TP	chr8~127856754~+~HPV16~3820~+
chr8	127880312	127880313	+	HPV16	7907	-	35	CESC-EA-A3HQ-TP	chr8~127880312~+~HPV16~7907~-
chr8	127966195	127966196	+	HPV18	2118	-	210	CESC-C5-A1MJ-TP	chr8~127966195~+~HPV18~2118~-
chr8	127982359	127982360	+	HPV16	881	+	1246	CESC-C5-A1M9-TP	HPV16~881~+~chr8~127982359~+
chr8	128126039	128126040	+	HPV18	930	-	918	CESC-C5-A3HE-TP	chr8~128126039~+~HPV18~930~-
