chrom	lend	rend	gene	strand
chr13	71437966	71867192	DACH1	-
chr13	71675067	71675469	H3F3BP1	+
chr13	71704181	71704655	RPL21P109	+
chr13	71845981	71846317	RPL35AP31	+
chr13	71913704	71914178	RPS10P21	-
chr13	71978088	71978206	RNA5SP32	+
chr13	72453902	72453967	SNORD37	-
chr13	72460132	72460329	RPL18AP17	-
chr13	72460519	72460601	SNORA68	-
chr13	72567213	72567380	uc_338	+
chr13	72586680	72586810	SNORA9	+
chr13	72703693	72704138	RPL21P110	+
chr13	72706017	72706123	RNU6-80P	-
chr13	72708357	72727687	MZT1	-
chr13	72727749	72756198	BORA	+
chr13	72752169	72782096	DIS3	-
chr13	72782059	73016461	PIBF1	+
chr13	72851088	72851169	AL391384.1	+
chr13	72881108	72881214	RNU6-79P	-
chr13	73036401	73036848	PSMD10P3	+
chr13	73054976	73077542	KLF5	+
chr13	73100575	73100985	FABP5P1	-
chr13	73112915	73113018	RNU6-66P	-
chr13	73124712	73124810	AL354720.1	-
chr13	73191528	73191667	RNU4-10P	+
chr13	73227147	73227260	RNY1P8	+
chr13	73399031	73399205	RP11-309J13.1	+
chr13	73407768	73408352	MARK2P12	-
chr13	73413473	73648253	LINC00393	-
chr13	73564244	73588070	LINC00392	+
chr13	73686089	74133905	KLF12	-
chr13	73800074	73802203	RP11-552M6.1	+
chr13	73844683	73845130	RP11-157H4.1	-
chr13	74231457	74259976	LINC00402	+
chr13	74289100	74289214	RNY1P5	-
chr13	74377163	74377951	RPL21P108	-
chr13	74412957	74419115	RP11-512C24.3	-
chr13	74419173	74435159	LINC00381	+
chr13	74552503	74565445	LINC00347	+
chr13	74828553	74830080	RIOK3P1	+
chr13	75109587	75109693	RNU6-38P	+
chr13	75136154	75136940	SSR1P2	+
chr13	75237944	75240296	CTAGE11P	-
chr13	75250480	75252012	LINC01078	+
chr13	75284665	75482114	TBC1D4	-
chr13	75375511	75377294	RP11-182M20.2	-
chr13	75525219	75549439	COMMD6	-
chr13	75549480	75606020	UCHL3	+
chr13	75604700	75635994	LMO7-AS1	-
chr13	75620434	75859870	LMO7	+
chr13	75631271	75632135	RP11-173B14.4	+
chr13	75688556	75689197	FAM204CP	-
chr13	75871038	75883811	LMO7DN	+
chr13	75876886	75881127	LMO7DN-IT1	+
