chrom	lend	rend	gene	strand
chr22	49933198	49934074	CITF22-49E9.3	-
chr22	49960513	49964080	PIM3	+
chr22	49962866	49962939	MIR6821	+
chr22	49994513	50012659	IL17REL	-
chr22	50015123	50056935	TTLL8	-
chr22	50059391	50085902	MLC1	-
chr22	50089879	50161690	MOV10L1	+
chr22	50092745	50096437	RP5-898I4.1	+
chr22	50170731	50180294	PANX2	+
chr22	50185915	50199598	TRABD	+
chr22	50191724	50192402	RP3-402G11.25	-
chr22	50199090	50200837	RP3-402G11.26	-
chr22	50200979	50217616	SELO	+
chr22	50205585	50206062	RP3-402G11.27	-
chr22	50208461	50209542	RP3-402G11.28	-
chr22	50217689	50244992	TUBGCP6	-
chr22	50245183	50251405	HDAC10	-
chr22	50245450	50261825	MAPK12	-
chr22	50263713	50270767	MAPK11	-
chr22	50274979	50307627	PLXNB2	-
chr22	50275674	50275921	AL022328.1	+
chr22	50309030	50327060	DENND6B	-
chr22	50314631	50316008	XX-C283C717.1	+
chr22	50316035	50317025	XX-C00717C00720L.1	+
chr22	50343304	50445090	PPP6R2	+
chr22	50371210	50371496	RN7SL500P	+
chr22	50398820	50398920	Y_RNA	+
chr22	50445000	50475024	SBF1	-
chr22	50481556	50486440	ADM2	+
chr22	50486784	50490648	MIOX	+
chr22	50502949	50507691	LMF2	-
chr22	50508216	50523472	NCAPH2	+
chr22	50523568	50526439	SCO2	-
chr22	50523926	50524780	CTA-384D8.36	+
chr22	50525752	50530085	TYMP	-
chr22	50529710	50532580	ODF3B	-
chr22	50542305	50542906	CTA-384D8.35	-
chr22	50542650	50543011	CTA-384D8.34	+
chr22	50546415	50547652	CTA-384D8.31	+
chr22	50548033	50551023	KLHDC7B	+
chr22	50551112	50562905	SYCE3	-
chr22	50568861	50578465	CPT1B	-
chr22	50578949	50601455	CHKB	-
chr22	50583026	50583877	CHKB-AS1	+
chr22	50597152	50597599	CTA-384D8.33	+
chr22	50600685	50613981	MAPK8IP2	+
chr22	50622754	50628173	ARSA	-
chr22	50674415	50733298	SHANK3	+
chr22	50691260	50691363	RNU6-409P	-
chr22	50735825	50738139	AC000036.4	-
chr22	50738196	50745334	ACR	+
chr22	50740593	50743520	AC002056.5	-
chr22	50754675	50755434	AC002056.3	-
chr22	50756948	50801309	RPL23AP82	+
chr22	50767501	50783663	RABL2B	-
