chrom	lend	rend	gene	strand
chr5	71719163	71721048	CARTPT	+
chr5	71754378	71756301	RP11-1315F8.2	-
chr5	71831315	71831410	AC138942.1	-
chr5	72107234	72209570	MAP1B	+
chr5	72169467	72169540	MIR4803	+
chr5	72219409	72320646	MRPS27	-
chr5	72314397	72314688	RN7SL153P	-
chr5	72320367	72368395	PTCD2	+
chr5	72381794	72382393	RP11-389C8.1	+
chr5	72417489	72418335	YBX1P5	+
chr5	72439903	72442387	RP11-389C8.2	-
chr5	72442652	72507727	ZNF366	-
chr5	72574120	72660669	CTC-347C20.2	-
chr5	72687112	72762727	CTC-347C20.1	-
chr5	72725419	72726151	RPL7P22	+
chr5	72733833	72734209	AC063979.1	+
chr5	72768702	72768811	Y_RNA	+
chr5	72794405	72816565	CTD-2631K10.1	-
chr5	72816312	72916733	TNPO1	+
chr5	72878591	72878663	MIR4804	+
chr5	72878868	72879185	CTD-2339M3.1	-
