sample	contig	human_chrom	human_coord	virus_genome	virus_coord	total	hotspot	hotspot_sample_counts	left_genes	right_genes
CESC-DS-A0VM-TP	HPV16~3357~-~chr9~5968018~+	chr9	5968018	HPV16	3357	21	chr9:5968018	7	TCF3P1;IGHEP2;INSL6;RP11-140C18.2;INSL4;RLN2;HMGN2P31;RLN1;RP11-12D24.10;RP11-12D24.6;PLGRKT;RNF152P1;CD274;PDCD1LG2;RP11-574F11.3;RIC1;RP11-207C16.4;ERMP1;AK4P4;MLANA;KIAA2026	MIR4665;RANBP6;RP11-218I7.2;GTF3AP1;IL33;RP11-279E1.1;RP11-307L3.2;TPD52L3;RP11-307L3.4;UHRF2;RN7SL25P;RP11-472F14.4;GLDC;RP11-106A1.2;RP11-390F4.6;RN7SL123P;RPS3AP54;RNF2P1;RP11-390F4.2;RP11-390F4.10
CESC-VS-A9U7-TP	chr9~5335598~+~HPV16~881~-	chr9	5335598	HPV16	881	138	chr9:5968018	7	HNRNPA1P41;AL158147.1;CSNK1G2P1;JAK2;PDSS1P1;MTND6P5;MTND1P11;RP11-39K24.4;RP11-39K24.14;RP11-39K24.12;RP11-39K24.13;MTND4P14;MTND5P14;TCF3P1;IGHEP2;INSL6;RP11-140C18.2;INSL4;RLN2;HMGN2P31;RLN1	RP11-12D24.10;RP11-12D24.6;PLGRKT;RNF152P1;CD274;PDCD1LG2;RP11-574F11.3;RIC1;RP11-207C16.4;ERMP1;AK4P4;MLANA;KIAA2026;MIR4665;RANBP6;RP11-218I7.2;GTF3AP1;IL33;RP11-279E1.1;RP11-307L3.2
CESC-VS-A9U7-TP	chr9~5340897~+~HPV16~881~-	chr9	5340897	HPV16	881	297	chr9:5968018	7	AL158147.1;CSNK1G2P1;JAK2;PDSS1P1;MTND6P5;MTND1P11;RP11-39K24.4;RP11-39K24.14;RP11-39K24.12;RP11-39K24.13;MTND4P14;MTND5P14;TCF3P1;IGHEP2;INSL6;RP11-140C18.2;INSL4;RLN2;HMGN2P31;RLN1	RP11-12D24.10;RP11-12D24.6;PLGRKT;RNF152P1;CD274;PDCD1LG2;RP11-574F11.3;RIC1;RP11-207C16.4;ERMP1;AK4P4;MLANA;KIAA2026;MIR4665;RANBP6;RP11-218I7.2;GTF3AP1;IL33;RP11-279E1.1;RP11-307L3.2
CESC-VS-A9U7-TP	chr9~5340897~+~HPV16~227~-	chr9	5340897	HPV16	227	17	chr9:5968018	7	AL158147.1;CSNK1G2P1;JAK2;PDSS1P1;MTND6P5;MTND1P11;RP11-39K24.4;RP11-39K24.14;RP11-39K24.12;RP11-39K24.13;MTND4P14;MTND5P14;TCF3P1;IGHEP2;INSL6;RP11-140C18.2;INSL4;RLN2;HMGN2P31;RLN1	RP11-12D24.10;RP11-12D24.6;PLGRKT;RNF152P1;CD274;PDCD1LG2;RP11-574F11.3;RIC1;RP11-207C16.4;ERMP1;AK4P4;MLANA;KIAA2026;MIR4665;RANBP6;RP11-218I7.2;GTF3AP1;IL33;RP11-279E1.1;RP11-307L3.2
HNSC-T2-A6X0-TP	HPV16~881~+~chr9~5450363~+	chr9	5450363	HPV16	881	57	chr9:5968018	7	MTND6P5;MTND1P11;RP11-39K24.4;RP11-39K24.14;RP11-39K24.12;RP11-39K24.13;MTND4P14;MTND5P14;TCF3P1;IGHEP2;INSL6;RP11-140C18.2;INSL4;RLN2;HMGN2P31;RLN1;RP11-12D24.10;RP11-12D24.6;PLGRKT;RNF152P1	CD274;PDCD1LG2;RP11-574F11.3;RIC1;RP11-207C16.4;ERMP1;AK4P4;MLANA;KIAA2026;MIR4665;RANBP6;RP11-218I7.2;GTF3AP1;IL33;RP11-279E1.1;RP11-307L3.2;TPD52L3;RP11-307L3.4;UHRF2;RN7SL25P
CESC-VS-A9U7-TP	chr9~5450597~+~HPV16~408~+	chr9	5450597	HPV16	408	15	chr9:5968018	7	MTND6P5;MTND1P11;RP11-39K24.4;RP11-39K24.14;RP11-39K24.12;RP11-39K24.13;MTND4P14;MTND5P14;TCF3P1;IGHEP2;INSL6;RP11-140C18.2;INSL4;RLN2;HMGN2P31;RLN1;RP11-12D24.10;RP11-12D24.6;PLGRKT;RNF152P1;CD274	PDCD1LG2;RP11-574F11.3;RIC1;RP11-207C16.4;ERMP1;AK4P4;MLANA;KIAA2026;MIR4665;RANBP6;RP11-218I7.2;GTF3AP1;IL33;RP11-279E1.1;RP11-307L3.2;TPD52L3;RP11-307L3.4;UHRF2;RN7SL25P;RP11-472F14.4
CESC-VS-A9U7-TP	HPV16~1152~+~chr9~5451263~+	chr9	5451263	HPV16	1152	19	chr9:5968018	7	MTND6P5;MTND1P11;RP11-39K24.4;RP11-39K24.14;RP11-39K24.12;RP11-39K24.13;MTND4P14;MTND5P14;TCF3P1;IGHEP2;INSL6;RP11-140C18.2;INSL4;RLN2;HMGN2P31;RLN1;RP11-12D24.10;RP11-12D24.6;PLGRKT;RNF152P1;CD274	PDCD1LG2;RP11-574F11.3;RIC1;RP11-207C16.4;ERMP1;AK4P4;MLANA;KIAA2026;MIR4665;RANBP6;RP11-218I7.2;GTF3AP1;IL33;RP11-279E1.1;RP11-307L3.2;TPD52L3;RP11-307L3.4;UHRF2;RN7SL25P;RP11-472F14.4
HNSC-CV-5443-TP	HPV16~6761~-~chr9~5464508~+	chr9	5464508	HPV16	6761	23	chr9:5968018	7	MTND6P5;MTND1P11;RP11-39K24.4;RP11-39K24.14;RP11-39K24.12;RP11-39K24.13;MTND4P14;MTND5P14;TCF3P1;IGHEP2;INSL6;RP11-140C18.2;INSL4;RLN2;HMGN2P31;RLN1;RP11-12D24.10;RP11-12D24.6;PLGRKT;RNF152P1;CD274	PDCD1LG2;RP11-574F11.3;RIC1;RP11-207C16.4;ERMP1;AK4P4;MLANA;KIAA2026;MIR4665;RANBP6;RP11-218I7.2;GTF3AP1;IL33;RP11-279E1.1;RP11-307L3.2;TPD52L3;RP11-307L3.4;UHRF2;RN7SL25P;RP11-472F14.4
CESC-VS-A9U7-TP	chr9~5467319~+~HPV16~3727~+	chr9	5467319	HPV16	3727	662	chr9:5968018	7	MTND6P5;MTND1P11;RP11-39K24.4;RP11-39K24.14;RP11-39K24.12;RP11-39K24.13;MTND4P14;MTND5P14;TCF3P1;IGHEP2;INSL6;RP11-140C18.2;INSL4;RLN2;HMGN2P31;RLN1;RP11-12D24.10;RP11-12D24.6;PLGRKT;RNF152P1;CD274	PDCD1LG2;RP11-574F11.3;RIC1;RP11-207C16.4;ERMP1;AK4P4;MLANA;KIAA2026;MIR4665;RANBP6;RP11-218I7.2;GTF3AP1;IL33;RP11-279E1.1;RP11-307L3.2;TPD52L3;RP11-307L3.4;UHRF2;RN7SL25P;RP11-472F14.4
HNSC-HL-7533-TP	HPV16~227~+~chr9~5563161~+	chr9	5563161	HPV16	227	12	chr9:5968018	7	MTND1P11;RP11-39K24.4;RP11-39K24.14;RP11-39K24.12;RP11-39K24.13;MTND4P14;MTND5P14;TCF3P1;IGHEP2;INSL6;RP11-140C18.2;INSL4;RLN2;HMGN2P31;RLN1;RP11-12D24.10;RP11-12D24.6;PLGRKT;RNF152P1;CD274;PDCD1LG2	RP11-574F11.3;RIC1;RP11-207C16.4;ERMP1;AK4P4;MLANA;KIAA2026;MIR4665;RANBP6;RP11-218I7.2;GTF3AP1;IL33;RP11-279E1.1;RP11-307L3.2;TPD52L3;RP11-307L3.4;UHRF2;RN7SL25P;RP11-472F14.4;GLDC
