chrom	lend	rend	strand	virus	virus_brkpt	virus_strand	read_support	sample_name	insertion_name
chr1	171196940	171196941	+	HPV16	210	-	79	CESC-MU-A8JM-TP	chr1~171196940~+~HPV16~210~-
chr1	171203989	171203990	+	HPV16	881	-	3604	CESC-MU-A8JM-TP	chr1~171203989~+~HPV16~881~-
chr1	171203989	171203990	+	HPV16	227	-	21	CESC-MU-A8JM-TP	chr1~171203989~+~HPV16~227~-
chr1	171204912	171204913	+	HPV16	1249	-	53	CESC-MU-A8JM-TP	chr1~171204912~+~HPV16~1249~-
chr1	171636710	171636711	+	HPV45	930	-	348	CESC-EK-A3GM-TP	chr1~171636710~+~HPV45~930~-
chr1	171638723	171638724	+	HPV45	231	-	364	CESC-EK-A3GM-TP	chr1~171638723~+~HPV45~231~-
chr1	171638723	171638724	+	HPV45	930	-	1193	CESC-EK-A3GM-TP	chr1~171638723~+~HPV45~930~-
chr1	171640078	171640079	+	HPV45	930	-	471	CESC-EK-A3GM-TP	chr1~171640078~+~HPV45~930~-
chr1	171640078	171640079	+	HPV45	231	-	105	CESC-EK-A3GM-TP	chr1~171640078~+~HPV45~231~-
chr1	171643627	171643628	+	HPV45	2360	-	24	CESC-EK-A3GM-TP	chr1~171643627~+~HPV45~2360~-
