chrom	lend	rend	gene	strand
chr16	55389700	55506691	MMP2	+
chr16	55486618	55488777	RP11-212I21.3	+
chr16	55508998	55586670	LPCAT2	+
chr16	55538200	55542027	RP11-212I21.4	+
chr16	55566672	55567687	CAPNS2	+
chr16	55655604	55706192	SLC6A2	+
chr16	55704119	55706422	RP11-481F24.3	+
chr16	55728115	55750111	CES1P2	+
chr16	55760548	55794158	CES1P1	+
chr16	55802851	55833337	CES1	-
chr16	55846154	55956031	CES5A	-
chr16	56092987	56191094	RP11-461O7.1	-
chr16	56108980	56109970	RP11-461O7.2	+
chr16	56109537	56137000	RP11-355E10.1	+
chr16	56183726	56186306	CTD-2050B12.1	-
chr16	56191390	56357444	GNAO1	+
chr16	56192614	56194518	DKFZP434H168	-
chr16	56245520	56245623	MIR3935	+
chr16	56300616	56302904	RP11-441F2.2	+
chr16	56306845	56308335	RP11-441F2.4	+
chr16	56351886	56353524	RP11-441F2.5	-
chr16	56361452	56425538	AMFR	-
chr16	56409320	56411683	RP11-413H22.2	+
chr16	56429133	56452199	NUDT21	-
chr16	56451490	56479100	OGFOD1	+
chr16	56465642	56466162	RP11-413H22.3	-
chr16	56466836	56520283	BBS2	-
chr16	56565049	56568957	MT4	+
chr16	56574401	56574462	U7	+
chr16	56589074	56591088	MT3	+
chr16	56608199	56609497	MT2A	+
chr16	56609501	56611375	RP11-249C24.10	-
chr16	56617476	56618818	MT1L	+
chr16	56625475	56627112	MT1E	+
chr16	56632233	56633986	MT1M	+
chr16	56635739	56637086	MT1JP	+
chr16	56638666	56750276	MT1A	+
chr16	56643705	56644786	MT1DP	+
chr16	56648248	56649514	MT1CP	+
chr16	56651899	56653204	MT1B	+
chr16	56657694	56660698	MT1F	+
chr16	56666731	56668065	MT1G	-
chr16	56669814	56671129	MT1H	+
chr16	56676132	56677763	RP11-249C24.12	+
chr16	56682424	56684196	MT1X	+
chr16	56686851	56688052	DPPA2P4	+
chr16	56708772	56729968	RP11-343H19.1	-
chr16	56730105	56850286	NUP93	+
chr16	56858507	56858616	MIR138-2	+
chr16	56864952	56865012	AC012181.2	+
chr16	56865207	56915850	SLC12A3	+
chr16	56906534	56906956	RPS24P17	+
chr16	56932048	56944863	HERPUD1	+
chr16	56940278	56941342	RP11-325K4.3	+
chr16	56941028	56941726	RP11-325K4.2	+
chr16	56957265	56957361	AC012181.1	+
chr16	56961850	56983845	CETP	+
chr16	56989485	57083531	NLRC5	+
chr16	57013071	57014100	RP11-322D14.1	-
chr16	57052505	57058497	RP11-322D14.2	-
chr16	57091213	57092303	RP11-407G23.1	-
chr16	57092537	57148367	CPNE2	+
chr16	57140896	57144586	RP11-407G23.2	-
chr16	57142652	57144936	RP11-407G23.5	+
chr16	57152466	57186116	FAM192A	-
chr16	57186137	57240475	RSPRY1	+
