chrom	lend	rend	gene	strand
chr9	107283137	107332194	RAD23B	+
chr9	107292369	107292456	AL137852.1	-
chr9	107420284	107430802	LINC01509	-
chr9	107458038	107458306	HMGN2P32	-
chr9	107475036	107475139	RNU6-492P	-
chr9	107484852	107490482	KLF4	-
chr9	107534390	107535162	RP11-438P9.1	+
chr9	107543151	107543616	RP11-438P9.2	-
chr9	107663140	107663246	RNU6-996P	-
chr9	107712364	107712461	AL389915.1	+
chr9	107797744	107797847	RNU6-1064P	-
chr9	107811616	107811914	RN7SL659P	-
chr9	107834509	107834829	RPL36AP6	-
chr9	107853783	107854258	RP11-380I20.2	-
chr9	107918866	107918978	RNA5SP293	-
chr9	107963703	107964045	RPS15AP27	-
chr9	108040213	108040592	RP11-240E2.2	+
chr9	108097432	108097851	CHCHD4P2	-
chr9	108252154	108254820	RP11-505C13.1	-
chr9	108358852	108358929	AL137019.1	-
chr9	108626833	108627150	RP11-220D10.1	+
chr9	108701370	108703092	RP11-339N8.1	-
chr9	108821697	108822004	RPL36AP35	+
chr9	108836333	108836597	RP11-3J11.1	+
chr9	108854589	108856967	ACTL7B	-
chr9	108862266	108863759	ACTL7A	+
chr9	108867517	108934116	IKBKAP	-
chr9	108934181	108950744	FAM206A	+
chr9	108942569	109013529	CTNNAL1	-
chr9	108992409	108992569	RNA5-8SP3	-
