chrom	lend	rend	gene	strand
chr2	189879609	190203484	C2orf88	+
chr2	189917254	189917758	AC019178.3	-
chr2	189923336	189924216	HNRNPCP2	+
chr2	189930277	189931010	AC019178.2	-
chr2	190055697	190062729	MSTN	-
chr2	190189735	190344193	HIBCH	-
chr2	190343470	190371665	INPP1	+
chr2	190408355	190509205	MFSD6	+
chr2	190454092	190454521	RP11-647K16.1	-
chr2	190504342	190534722	TMEM194B	-
chr2	190534855	190568102	AC093388.3	+
chr2	190553264	190553480	RN7SKP179	-
chr2	190646746	190692766	NAB1	+
chr2	190676944	190708716	AC006460.2	-
chr2	190880797	190882059	AC005540.3	-
chr2	190880827	190965552	GLS	+
chr2	190880854	190880942	AC005540.1	+
chr2	190964358	191020960	STAT1	-
chr2	190992639	190993567	AC067945.3	-
chr2	191017954	191019079	AC067945.2	+
chr2	191021526	191032314	AC067945.4	+
chr2	191029576	191151596	STAT4	-
chr2	191121950	191122056	RNU6-959P	+
chr2	191154118	191156070	RP11-317J9.1	-
chr2	191174233	191174835	HMGB1P27	+
chr2	191229165	191246172	AC092614.2	-
chr2	191245185	191425389	MYO1B	+
chr2	191288794	191288878	AC092614.1	-
chr2	191370938	191371044	RNU6-1045P	+
chr2	191450983	191451092	AC068056.1	-
chr2	191678068	191696659	NABP1	+
chr2	191682452	191682633	uc_338	+
chr2	191699476	191699631	Clostridiales-1	-
chr2	191793425	191820250	AC098872.3	+
chr2	191834302	191847255	SDPR	-
chr2	191846539	192044525	AC098617.1	+
chr2	191881182	191882205	DNAJB1P1	-
chr2	191949043	192195709	TMEFF2	-
chr2	192629919	192645706	AC013401.1	+
chr2	192644102	192645387	AC013401.2	-
chr2	192749845	192776899	PCGEM1	+
chr2	192774082	192774416	RPS17P8	+
chr2	193256483	193257757	AC092638.1	+
chr2	193276668	193277614	AC092638.2	-
chr2	193730555	193730689	AC074290.1	-
chr2	193898367	193899394	RP11-764E7.1	+
chr2	194027919	194028164	AC068135.1	+
chr2	194129354	194130266	GLULP6	-
chr2	194187379	194188309	HNRNPA1P47	+
