chrom	lend	rend	strand	virus	virus_brkpt	virus_strand	read_support	sample_name	insertion_name
chr13	73045601	73045602	+	HPV16	2961	-	336	HNSC-CN-4741-TP	HPV16~2961~-~chr13~73045601~+
chr13	73045739	73045740	+	HPV16	881	-	1451	HNSC-CN-4741-TP	chr13~73045739~+~HPV16~881~-
chr13	73045739	73045740	+	HPV16	227	-	35	HNSC-CN-4741-TP	chr13~73045739~+~HPV16~227~-
chr13	73045759	73045760	+	HPV16	2365	-	16	HNSC-CN-4741-TP	chr13~73045759~+~HPV16~2365~-
chr13	73046160	73046161	+	HPV16	446	-	259	HNSC-CN-4741-TP	HPV16~446~-~chr13~73046160~+
chr13	73260846	73260847	+	HPV16	227	-	255	CESC-EK-A2IR-TP	chr13~73260846~+~HPV16~227~-
chr13	73260846	73260847	+	HPV16	881	-	1964	CESC-EK-A2IR-TP	chr13~73260846~+~HPV16~881~-
chr13	73263925	73263926	+	HPV16	881	-	1741	CESC-EK-A2IR-TP	chr13~73263925~+~HPV16~881~-
chr13	73264901	73264902	+	HPV16	881	-	459	CESC-EK-A2IR-TP	chr13~73264901~+~HPV16~881~-
chr13	73265637	73265638	+	HPV16	2170	-	433	CESC-EK-A2IR-TP	chr13~73265637~+~HPV16~2170~-
chr13	73271617	73271618	+	HPV16	881	-	13	CESC-FU-A770-TP	chr13~73271617~+~HPV16~881~-
chr13	73295176	73295177	+	HPV59	3494	-	102	CESC-EK-A2RJ-TP	chr13~73295176~+~HPV59~3494~-
chr13	73297078	73297079	+	HPV16	2096	+	44	HNSC-CR-7369-TP	HPV16~2096~+~chr13~73297078~+
chr13	73319184	73319185	+	HPV16	881	-	25	CESC-FU-A770-TP	chr13~73319184~+~HPV16~881~-
chr13	73329459	73329460	+	HPV16	215	+	12	HNSC-CR-7369-TP	HPV16~215~+~chr13~73329459~+
chr13	73336694	73336695	+	HPV16	881	+	1118	HNSC-CR-7369-TP	HPV16~881~+~chr13~73336694~+
chr13	73336694	73336695	+	HPV16	227	+	432	HNSC-CR-7369-TP	HPV16~227~+~chr13~73336694~+
chr13	73340354	73340355	+	HPV16	881	-	86	CESC-FU-A770-TP	chr13~73340354~+~HPV16~881~-
chr13	73343611	73343612	+	HPV16	3503	-	1071	CESC-FU-A770-TP	chr13~73343611~+~HPV16~3503~-
chr13	73343611	73343612	+	HPV16	227	-	173	CESC-FU-A770-TP	chr13~73343611~+~HPV16~227~-
chr13	73355293	73355294	+	HPV16	209	+	12	HNSC-CR-7369-TP	HPV16~209~+~chr13~73355293~+
chr13	73378253	73378254	+	HPV16	881	-	4054	CESC-FU-A3HY-TP	chr13~73378253~+~HPV16~881~-
chr13	73378253	73378254	+	HPV16	227	-	90	CESC-FU-A3HY-TP	chr13~73378253~+~HPV16~227~-
chr13	73378771	73378772	+	HPV16	881	+	1881	CESC-C5-A1MP-TP	HPV16~881~+~chr13~73378771~+
chr13	73378771	73378772	+	HPV16	227	+	53	CESC-C5-A1MP-TP	HPV16~227~+~chr13~73378771~+
chr13	73378790	73378791	+	HPV16	231	+	126	HNSC-CR-7369-TP	HPV16~231~+~chr13~73378790~+
chr13	73380482	73380483	+	HPV16	227	-	17	CESC-FU-A3HY-TP	chr13~73380482~+~HPV16~227~-
chr13	73380482	73380483	+	HPV16	881	-	2686	CESC-FU-A3HY-TP	chr13~73380482~+~HPV16~881~-
chr13	73381471	73381472	+	HPV16	3062	-	57	CESC-FU-A3HY-TP	chr13~73381471~+~HPV16~3062~-
chr13	73381471	73381472	+	HPV16	1402	-	160	CESC-FU-A3HY-TP	chr13~73381471~+~HPV16~1402~-
chr13	73386390	73386391	+	HPV16	227	+	12	CESC-C5-A1MP-TP	HPV16~227~+~chr13~73386390~+
chr13	73395228	73395229	+	HPV45	677	-	107	CESC-C5-A8YR-TP	chr13~73395228~+~HPV45~677~-
chr13	73396902	73396903	+	HPV16	881	+	268	CESC-C5-A1MP-TP	HPV16~881~+~chr13~73396902~+
chr13	73396902	73396903	+	HPV16	227	+	76	CESC-C5-A1MP-TP	HPV16~227~+~chr13~73396902~+
chr13	73396902	73396903	+	HPV16	227	+	52	HNSC-CR-7369-TP	HPV16~227~+~chr13~73396902~+
chr13	73397041	73397042	+	HPV16	5638	+	41	CESC-C5-A1MP-TP	chr13~73397041~+~HPV16~5638~+
chr13	73397789	73397790	+	HPV16	3522	+	304	CESC-C5-A1MP-TP	chr13~73397789~+~HPV16~3522~+
chr13	73399024	73399025	+	HPV16	227	+	121	CESC-C5-A1MP-TP	HPV16~227~+~chr13~73399024~+
chr13	73399024	73399025	+	HPV16	230	+	86	HNSC-CR-7369-TP	HPV16~230~+~chr13~73399024~+
chr13	73406817	73406818	+	HPV45	231	-	49	CESC-C5-A8YR-TP	chr13~73406817~+~HPV45~231~-
chr13	73413478	73413479	+	HPV45	231	+	81	CESC-JX-A3PZ-TP	HPV45~231~+~chr13~73413478~+
chr13	73413479	73413480	+	HPV45	3578	+	1255	CESC-JX-A3PZ-TP	HPV45~3578~+~chr13~73413479~+
chr13	73413637	73413638	+	HPV16	881	-	96	CESC-EA-A44S-TP	chr13~73413637~+~HPV16~881~-
chr13	73413637	73413638	+	HPV45	930	-	3519	CESC-C5-A8YR-TP	chr13~73413637~+~HPV45~930~-
chr13	73413637	73413638	+	HPV45	231	-	983	CESC-C5-A8YR-TP	chr13~73413637~+~HPV45~231~-
chr13	73413637	73413638	+	HPV18	930	-	402	CESC-Q1-A5R3-TP	chr13~73413637~+~HPV18~930~-
chr13	73415962	73415963	+	HPV45	931	+	32	CESC-JX-A3PZ-TP	HPV45~931~+~chr13~73415962~+
chr13	73415962	73415963	+	HPV45	3578	+	433	CESC-JX-A3PZ-TP	HPV45~3578~+~chr13~73415962~+
chr13	73420390	73420391	+	HPV45	2255	-	36	CESC-C5-A8YR-TP	chr13~73420390~+~HPV45~2255~-
chr13	73456963	73456964	+	HPV16	881	-	35	CESC-EA-A44S-TP	chr13~73456963~+~HPV16~881~-
chr13	73474430	73474431	+	HPV16	227	+	58	CESC-ZJ-AAXF-TP	HPV16~227~+~chr13~73474430~+
chr13	73474430	73474431	+	HPV16	881	+	607	CESC-ZJ-AAXF-TP	HPV16~881~+~chr13~73474430~+
chr13	73477207	73477208	+	HPV16	881	-	38	CESC-EA-A44S-TP	chr13~73477207~+~HPV16~881~-
chr13	73497733	73497734	+	HPV16	2442	-	24	CESC-EA-A44S-TP	chr13~73497733~+~HPV16~2442~-
chr13	73604234	73604235	+	HPV16	201	+	30	CESC-C5-A1BL-TP	HPV16~201~+~chr13~73604234~+
chr13	73604345	73604346	+	HPV16	3357	+	72	CESC-C5-A1BL-TP	chr13~73604345~+~HPV16~3357~+
chr13	73608231	73608232	+	HPV16	2692	+	10	CESC-C5-A1BL-TP	chr13~73608231~+~HPV16~2692~+
chr13	73614196	73614197	+	HPV16	912	+	27	CESC-C5-A1BL-TP	HPV16~912~+~chr13~73614196~+
chr13	73616051	73616052	+	HPV16	881	+	485	CESC-C5-A1BL-TP	HPV16~881~+~chr13~73616051~+
chr13	73616051	73616052	+	HPV16	227	+	127	CESC-C5-A1BL-TP	HPV16~227~+~chr13~73616051~+
chr13	73616708	73616709	+	HPV16	228	+	32	CESC-C5-A1BL-TP	HPV16~228~+~chr13~73616708~+
chr13	73622317	73622318	+	HPV16	697	+	35	CESC-C5-A1BL-TP	HPV16~697~+~chr13~73622317~+
chr13	73625456	73625457	+	HPV16	201	+	18	CESC-C5-A1BL-TP	HPV16~201~+~chr13~73625456~+
chr13	73626767	73626768	+	HPV16	3635	+	132	CESC-C5-A1BL-TP	HPV16~3635~+~chr13~73626767~+
chr13	73630771	73630772	+	HPV16	4319	+	23	CESC-C5-A1BL-TP	HPV16~4319~+~chr13~73630771~+
chr13	73631526	73631527	+	HPV16	227	+	117	CESC-C5-A1BL-TP	HPV16~227~+~chr13~73631526~+
chr13	73631526	73631527	+	HPV16	881	+	128	CESC-C5-A1BL-TP	HPV16~881~+~chr13~73631526~+
chr13	73631526	73631527	+	HPV16	3633	+	135	CESC-C5-A1BL-TP	HPV16~3633~+~chr13~73631526~+
chr13	73636847	73636848	+	HPV16	4291	+	28	CESC-C5-A1BL-TP	chr13~73636847~+~HPV16~4291~+
chr13	73639152	73639153	+	HPV16	3838	+	448	CESC-C5-A1BL-TP	chr13~73639152~+~HPV16~3838~+
chr13	73695672	73695673	+	HPV16	227	-	156	CESC-MA-AA3Z-TP	chr13~73695672~+~HPV16~227~-
chr13	73695672	73695673	+	HPV16	881	-	507	CESC-MA-AA3Z-TP	chr13~73695672~+~HPV16~881~-
chr13	73704203	73704204	+	HPV16	881	-	94	CESC-MA-AA3Z-TP	chr13~73704203~+~HPV16~881~-
chr13	73705985	73705986	+	HPV16	881	-	122	CESC-MA-AA3Z-TP	chr13~73705985~+~HPV16~881~-
chr13	73706476	73706477	+	HPV16	1393	-	25	CESC-MA-AA3Z-TP	chr13~73706476~+~HPV16~1393~-
chr13	74032201	74032202	+	NC_003977_3182nt_Hepatitis_B_virus	1829	-	97	LIHC-DD-AACP-TP	chr13~74032201~+~NC_003977_3182nt_Hepatitis_B_virus~1829~-
