#sample	entry	chrA	coordA	orientA	chrB	coordB	orientB	#Support reads (pair+softclip)	Confidence	total
subset.insertion_seqs.fa	HPV18~1047~+~chr18~1875684~+	chr18	1875684	+	HPV18	1047	+	191+32	high	223
subset.insertion_seqs.fa	HPV18~3275~+~chr18~4607424~+	chr18	4607424	+	HPV18	3275	+	190+32	high	222
subset.insertion_seqs.fa	HPV18~5947~+~chr18~13542447~+	chr18	13542447	+	HPV18	5947	+	189+34	high	223
subset.insertion_seqs.fa	HPV18~3270~-~chr18~73407385~+	chr18	73407385	+	HPV18	3270	-	0+42	high	42
subset.insertion_seqs.fa	HPV18~3456~+~chr18~73440279~+	chr18	73440279	+	HPV18	3456	+	0+24	high	24
subset.insertion_seqs.fa	HPV18~3111~-~chr22~36753132~+	chr22	36753132	+	HPV18	3111	-	0+21	high	21
subset.insertion_seqs.fa	chr7~12456198~+~HPV18~3869~-	chr7	12456198	+	HPV18	3869	-	192+12	high	204
subset.insertion_seqs.fa	chr7~24416116~+~HPV18~5396~-	chr7	24416116	+	HPV18	5396	-	0+23	high	23
subset.insertion_seqs.fa	HPV18~5407~+~chr7~81153257~+	chr7	81153257	+	HPV18	5407	+	0+25	high	25
subset.insertion_seqs.fa	HPV18~2510~+~chr7~99076733~+	chr7	99076733	+	HPV18	2510	+	172+23	high	195
subset.insertion_seqs.fa	HPV18~6884~+~chr11~8621074~+	chr11	8621074	+	HPV18	6884	+	193+34	high	227
subset.insertion_seqs.fa	chr11~5010494~+~HPV18~4709~+	chr11	5010494	+	HPV18	4709	+	172+25	high	197
subset.insertion_seqs.fa	HPV18~2745~-~chr11~106090459~+	chr11	106090459	+	HPV18	2745	-	0+10	high	10
subset.insertion_seqs.fa	chr16~64211222~+~HPV18~1470~-	chr16	64211222	+	HPV18	1470	-	176+4	high	180
subset.insertion_seqs.fa	chr16~64211226~+~HPV18~1470~-	chr16	64211226	+	HPV18	1470	-	176+22	high	198
subset.insertion_seqs.fa	HPV18~3852~-~chr16~66297724~+	chr16	66297724	+	HPV18	3852	-	164+41	high	205
subset.insertion_seqs.fa	chr20~46238873~+~HPV18~4051~+	chr20	46238873	+	HPV18	4051	+	193+34	high	227
subset.insertion_seqs.fa	chr20~52026064~+~HPV18~2410~+	chr20	52026064	+	HPV18	2410	+	0+25	high	25
subset.insertion_seqs.fa	chr3~55193904~+~HPV18~1151~+	chr3	55193904	+	HPV18	1151	+	0+42	high	42
subset.insertion_seqs.fa	HPV18~5659~+~chr5~21697513~+	chr5	21697513	+	HPV18	5659	+	0+25	high	25
subset.insertion_seqs.fa	chr5~91404293~+~HPV18~6324~+	chr5	91404293	+	HPV18	6324	+	190+34	high	224
subset.insertion_seqs.fa	chrX~46686588~+~HPV18~4343~-	chrX	46686588	+	HPV18	4343	-	167+20	high	187
subset.insertion_seqs.fa	chrX~65806348~+~HPV18~6575~-	chrX	65806348	+	HPV18	6575	-	0+24	high	24
subset.insertion_seqs.fa	chr13~34248748~+~HPV18~6546~-	chr13	34248748	+	HPV18	6546	-	0+25	high	25
subset.insertion_seqs.fa	HPV18~3957~+~chr13~113182968~+	chr13	113182968	+	HPV18	3957	+	0+20	high	20
subset.insertion_seqs.fa	HPV18~6869~+~chr4~16110009~+	chr4	16110009	+	HPV18	6869	+	191+31	high	222
subset.insertion_seqs.fa	HPV18~4614~-~chr4~76161277~+	chr4	76161277	+	HPV18	4614	-	0+23	high	23
subset.insertion_seqs.fa	HPV18~1738~+~chr4~92530409~+	chr4	92530409	+	HPV18	1738	+	188+34	high	222
subset.insertion_seqs.fa	chr12~60497738~+~HPV18~7690~-	chr12	60497738	+	HPV18	7690	-	175+25	high	200
subset.insertion_seqs.fa	chr12~98548123~+~HPV18~2354~-	chr12	98548123	+	HPV18	2354	-	188+12	high	200
subset.insertion_seqs.fa	HPV18~5639~+~chr6~50410595~+	chr6	50410595	+	HPV18	5639	+	0+42	high	42
subset.insertion_seqs.fa	chr14~32692411~+~HPV18~1096~-	chr14	32692411	+	HPV18	1096	-	165+17	high	182
