multiqc_index,sample,genotype,feature,score,position,chr,chr_position,end,strand,match,counts
reads_R-HPV33|0,reads_R-HPV33,HPV33,left,10,2175,chrX,76794499,76794466,+,42,14
reads_R-HPV33|1,reads_R-HPV33,HPV33,right,10,3643,chr20,40901289,40901254,-,41,14
reads_R-HPV33|2,reads_R-HPV33,HPV33,right,10,3869,chr10,98737033,98737068,+,41,14
reads_R-HPV33|3,reads_R-HPV33,HPV33,right,10,4661,chr6,78379637,78379601,-,42,14
reads_R-HPV33|4,reads_R-HPV33,HPV33,left,10,5330,chr19,19199615,19199651,-,42,14
reads_R-HPV33|5,reads_R-HPV33,HPV33,left,10,5478,chr1,164188267,164188234,+,42,14
reads_R-HPV33|6,reads_R-HPV33,HPV33,left,10,5998,chrX,107249909,107249945,-,42,14
reads_R-HPV33|7,reads_R-HPV33,HPV33,right,10,7898,chr9,116883526,116883493,-,39,14
reads_R-HPV33|8,reads_R-HPV33,HPV33,left,10,699,chr2,208567264,208567298,-,40,13
reads_R-HPV33|9,reads_R-HPV33,HPV33,right,10,1338,chr1,247214493,247214457,-,42,13
reads_R-HPV33|10,reads_R-HPV33,HPV33,left,10,2286,chr16,84711438,84711402,+,42,13
reads_R-HPV33|11,reads_R-HPV33,HPV33,left,10,145,chr14,20049224,20049188,+,42,12
reads_R-HPV33|12,reads_R-HPV33,HPV33,right,10,3903,chr13,21146683,21146718,+,42,12
reads_R-HPV33|13,reads_R-HPV33,HPV33,right,10,4242,chr12,91364489,91364522,+,43,12
reads_R-HPV33|14,reads_R-HPV33,HPV33,left,10,5408,chr11,86241324,86241290,+,42,12
reads_R-HPV33|15,reads_R-HPV33,HPV33,right,10,6438,chr4,125279464,125279432,-,32,12
reads_R-HPV33|16,reads_R-HPV33,HPV33,right,10,6438,chr8,77803829,77803862,+,39,12
reads_R-HPV33|17,reads_R-HPV33,HPV33,left,10,6861,chr14,97094719,97094752,-,42,12
reads_R-HPV33|18,reads_R-HPV33,HPV33,left,10,5120,chr9,103989802,103989766,+,42,11
reads_R-HPV33|19,reads_R-HPV33,HPV33,right,10,7256,chr12,33406157,33406122,-,41,11
reads_R-HPV33|20,reads_R-HPV33,HPV33,right,10,2683,chr7,45528015,45527980,-,43,10
reads_R-HPV33|21,reads_R-HPV33,HPV33,left,10,755,chrX,68864225,68864197,+,37,9
reads_R-HPV33|22,reads_R-HPV33,HPV33,right,10,1701,chr7,24144769,24144741,-,37,9
reads_R-HPV33|23,reads_R-HPV33,HPV33,right,10,1943,chr3,41820269,41820234,-,43,9
reads_R-HPV33|24,reads_R-HPV33,HPV33,right,10,3493,chr7,128439957,128439918,-,42,9
reads_R-HPV33|25,reads_R-HPV33,HPV33,left,10,3688,chr16,89567808,89567776,+,43,9
reads_R-HPV33|26,reads_R-HPV33,HPV33,left,10,3753,chr18,62772316,62772288,+,37,9
reads_R-HPV33|27,reads_R-HPV33,HPV33,right,10,4110,chr21,28781973,28781945,-,37,9
reads_R-HPV33|28,reads_R-HPV33,HPV33,right,10,4981,chr5,74485139,74485178,+,42,9
reads_R-HPV33|29,reads_R-HPV33,HPV33,right,10,6264,chr6,138045578,138045606,+,37,9
reads_R-HPV33|30,reads_R-HPV33,HPV33,right,10,6508,chr21,17625875,17625847,-,37,9
reads_R-HPV33|31,reads_R-HPV33,HPV33,right,10,6582,chr12,94731009,94731037,+,37,9
reads_R-HPV33|32,reads_R-HPV33,HPV33,left,10,2227,chr3,175141467,175141436,+,37,8
reads_R-HPV33|33,reads_R-HPV33,HPV33,right,10,4373,chr14,82108832,82108868,+,43,8
reads_R-HPV33|34,reads_R-HPV33,HPV33,right,10,7614,chr5,130277865,130277902,+,42,8
reads_R-HPV33|35,reads_R-HPV33,HPV33,right,10,1178,chr6,123733335,123733371,+,36,7
reads_R-HPV33|36,reads_R-HPV33,HPV33,left,10,313,chr13,31827098,31827066,+,40,5
reads_R-HPV33|37,reads_R-HPV33,HPV33,left,10,2631,chr16,6127834,6127873,-,41,5
reads_R-HPV33|38,reads_R-HPV33,HPV33,left,10,5627,chr15,70697901,70697866,+,43,5
reads_R-HPV33|39,reads_R-HPV33,HPV33,right,10,6665,chr15,30003295,30003328,+,40,4
reads_R-HPV33|40,reads_R-HPV33,HPV33,left,10,6069,chr2,60878572,60878610,-,38,3
reads_R-HPV33|41,reads_R-HPV33,HPV33,left,10,6069,chr5,138215268,138215309,-,43,3
reads_R-HPV33|42,reads_R-HPV33,HPV33,right,10,1178,chr10,85348767,85348800,+,30,2
reads_R-HPV33|43,reads_R-HPV33,HPV33,right,4,1572,chr6,6115921,6115957,+,41,14
reads_R-HPV33|44,reads_R-HPV33,HPV33,right,4,1572,chr4,71506422,71506458,+,41,14
reads_R-HPV33|45,reads_R-HPV33,HPV33,right,4,1572,chr2,129789130,129789166,+,40,14
reads_R-HPV33|46,reads_R-HPV33,HPV33,right,4,1572,chr1,176420913,176420949,+,40,14
reads_R-HPV33|47,reads_R-HPV33,HPV33,right,4,1572,chr8,97535000,97534965,-,40,14
reads_R-HPV33|48,reads_R-HPV33,HPV33,right,4,1572,chr7,29222140,29222104,-,41,14
reads_R-HPV33|49,reads_R-HPV33,HPV33,right,4,1572,chr6,127771195,127771159,-,41,14
reads_R-HPV33|50,reads_R-HPV33,HPV33,right,4,1572,chr2,71274656,71274620,-,41,14
reads_R-HPV33|51,reads_R-HPV33,HPV33,right,4,1572,chr4,462184,462148,-,42,13
reads_R-HPV33|52,reads_R-HPV33,HPV33,right,4,1572,chr14,81043366,81043330,-,41,13
reads_R-HPV33|53,reads_R-HPV33,HPV33,right,4,1572,chr1,209056350,209056314,-,40,13
reads_R-HPV33|54,reads_R-HPV33,HPV33,right,4,2135,chrY,4420314,4420347,+,43,13
reads_R-HPV33|55,reads_R-HPV33,HPV33,right,4,2135,chrY,6331666,6331699,+,43,13
reads_R-HPV33|56,reads_R-HPV33,HPV33,right,4,2135,chrY,7136281,7136314,+,43,13
reads_R-HPV33|57,reads_R-HPV33,HPV33,right,4,2135,chrY,8458326,8458359,+,43,13
reads_R-HPV33|58,reads_R-HPV33,HPV33,right,4,2135,chrY,9592792,9592825,+,43,13
reads_R-HPV33|59,reads_R-HPV33,HPV33,right,4,2135,chrY,9881509,9881542,+,43,13
reads_R-HPV33|60,reads_R-HPV33,HPV33,right,4,2135,chrY,13692886,13692919,+,43,13
reads_R-HPV33|61,reads_R-HPV33,HPV33,right,4,2135,chrX,3060992,3061025,+,43,13
reads_R-HPV33|62,reads_R-HPV33,HPV33,right,4,2135,chrX,5481993,5482026,+,43,13
reads_R-HPV33|63,reads_R-HPV33,HPV33,right,4,2135,chrX,18106439,18106472,+,43,13
reads_R-HPV33|64,reads_R-HPV33,HPV33,right,4,2135,chrX,19144222,19144255,+,43,13
reads_R-HPV33|65,reads_R-HPV33,HPV33,right,4,2135,chrX,19418728,19418761,+,43,13
reads_R-HPV33|66,reads_R-HPV33,HPV33,right,4,2135,chrX,20847153,20847186,+,43,13
reads_R-HPV33|67,reads_R-HPV33,HPV33,right,4,2135,chr9,9932767,9932800,+,43,13
reads_R-HPV33|68,reads_R-HPV33,HPV33,right,4,2135,chr9,14665538,14665571,+,43,13
reads_R-HPV33|69,reads_R-HPV33,HPV33,right,4,2135,chr9,15792513,15792546,+,43,13
reads_R-HPV33|70,reads_R-HPV33,HPV33,right,4,2135,chr9,15904216,15904249,+,43,13
reads_R-HPV33|71,reads_R-HPV33,HPV33,right,4,2135,chr9,18179566,18179599,+,43,13
reads_R-HPV33|72,reads_R-HPV33,HPV33,right,4,2135,chr9,20104389,20104422,+,43,13
reads_R-HPV33|73,reads_R-HPV33,HPV33,right,4,2135,chr8,6192757,6192790,+,43,13
reads_R-HPV33|74,reads_R-HPV33,HPV33,right,4,2135,chr8,16671665,16671698,+,43,13
reads_R-HPV33|75,reads_R-HPV33,HPV33,right,4,2135,chr8,19931834,19931867,+,43,13
reads_R-HPV33|76,reads_R-HPV33,HPV33,right,4,2135,chr8,20744348,20744381,+,43,13
