multiqc_index,sample,genotype,feature,score,position,chr,chr_position,end,strand,match,counts
reads-HPV18|0,reads-HPV18,HPV18,right,10,1048,chr18,1875684,1875718,+,42,11
reads-HPV18|1,reads-HPV18,HPV18,right,10,3276,chr18,4607424,4607458,+,42,11
reads-HPV18|2,reads-HPV18,HPV18,right,10,5948,chr18,13542448,13542485,+,42,9
reads-HPV18|3,reads-HPV18,HPV18,right,10,6885,chr11,8621082,8621118,+,41,9
reads-HPV18|4,reads-HPV18,HPV18,right,10,7691,chr12,60497738,60497701,-,42,9
reads-HPV18|5,reads-HPV18,HPV18,left,10,3113,chr22,36753132,36753163,-,42,8
reads-HPV18|6,reads-HPV18,HPV18,right,10,3458,chr18,73440279,73440310,+,42,8
reads-HPV18|7,reads-HPV18,HPV18,right,10,5398,chr7,24416117,24416086,-,42,8
reads-HPV18|8,reads-HPV18,HPV18,left,10,347,chr9,84934101,84934132,-,42,7
reads-HPV18|9,reads-HPV18,HPV18,right,10,2512,chr7,99076733,99076764,+,42,7
reads-HPV18|10,reads-HPV18,HPV18,right,10,3170,chr8,47118639,47118670,+,38,7
reads-HPV18|11,reads-HPV18,HPV18,right,10,5671,chr2,134345893,134345924,+,42,7
reads-HPV18|12,reads-HPV18,HPV18,right,10,1098,chr14,32692410,32692382,-,37,6
reads-HPV18|13,reads-HPV18,HPV18,right,10,1739,chr4,92530409,92530444,+,42,6
reads-HPV18|14,reads-HPV18,HPV18,right,10,3074,chr22,42188069,42188040,-,37,6
reads-HPV18|15,reads-HPV18,HPV18,left,10,3663,chr2,194531839,194531871,-,42,6
reads-HPV18|16,reads-HPV18,HPV18,right,10,3872,chr7,12456199,12456164,-,42,6
reads-HPV18|17,reads-HPV18,HPV18,left,10,3853,chr16,66297724,66297752,-,38,6
reads-HPV18|18,reads-HPV18,HPV18,left,10,4052,chr20,46238871,46238836,+,42,6
reads-HPV18|19,reads-HPV18,HPV18,right,10,5039,chr1,107166647,107166682,+,42,6
