#sample	entry	chrB	orientA	score	coordB	chrA	coordA	end	orientB	virus_brkend_grp	match	total
subset.insertion_seqs.fa	chr2~33090660~-~HPV33~327~+	HPV33	-	7	327	chr2	33090660	33090628	+	HPV33:327	32	1
subset.insertion_seqs.fa	chr2~33090665~-~HPV33~332~+	HPV33	-	7	332	chr2	33090665	33090639	+	HPV33:332	26	1
subset.insertion_seqs.fa	chr21~43168885~-~HPV33~551~-	HPV33	-	10	551	chr21	43168885	43168924	-	HPV33:551	42	4
subset.insertion_seqs.fa	chr21~6560568~-~HPV33~551~-	HPV33	-	10	551	chr21	6560568	6560604	-	HPV33:551	42	4
subset.insertion_seqs.fa	chr13~22949043~-~HPV33~733~-	HPV33	-	1	733	chr13	22949043	22949081	-	HPV33:733	38	1
subset.insertion_seqs.fa	chr13~24371518~-~HPV33~733~-	HPV33	-	1	733	chr13	24371518	24371555	-	HPV33:733	37	1
subset.insertion_seqs.fa	chr13~22949042~-~HPV33~734~-	HPV33	-	10	734	chr13	22949042	22949076	-	HPV33:734	36	4
subset.insertion_seqs.fa	chr13~24371516~-~HPV33~734~-	HPV33	-	4	734	chr13	24371516	24371550	-	HPV33:734	35	3
subset.insertion_seqs.fa	chr13~22949042~-~HPV33~736~-	HPV33	-	7	736	chr13	22949042	22949079	-	HPV33:736	37	1
subset.insertion_seqs.fa	chr2~11383367~-~HPV33~775~+	HPV33	-	4	775	chr2	11383367	11383336	+	HPV33:775	30	2
subset.insertion_seqs.fa	chr14~93986558~-~HPV33~775~+	HPV33	-	4	775	chr14	93986558	93986526	+	HPV33:775	30	2
subset.insertion_seqs.fa	chrY~22512474~-~HPV33~775~-	HPV33	-	4	775	chrY	22512474	22512510	-	HPV33:775	39	5
subset.insertion_seqs.fa	chr5~69472441~-~HPV33~775~-	HPV33	-	1	775	chr5	69472441	69472469	-	HPV33:775	27	1
subset.insertion_seqs.fa	chr13~39441539~-~HPV33~775~-	HPV33	-	4	775	chr13	39441539	39441568	-	HPV33:775	28	2
subset.insertion_seqs.fa	chrY~23683605~-~HPV33~775~+	HPV33	-	4	775	chrY	23683605	23683568	+	HPV33:775	39	3
subset.insertion_seqs.fa	chrY~22073921~-~HPV33~775~+	HPV33	-	4	775	chrY	22073921	22073884	+	HPV33:775	39	3
subset.insertion_seqs.fa	chrY~17731123~-~HPV33~775~+	HPV33	-	4	775	chrY	17731123	17731087	+	HPV33:775	34	2
subset.insertion_seqs.fa	chr11~47220252~-~HPV33~894~+	HPV33	-	10	894	chr11	47220252	47220219	+	HPV33:894	43	9
subset.insertion_seqs.fa	chr11~47220254~-~HPV33~897~+	HPV33	-	7	897	chr11	47220254	47220212	+	HPV33:897	41	1
subset.insertion_seqs.fa	chr4~83295823~-~HPV33~1258~-	HPV33	-	10	1258	chr4	83295823	83295856	-	HPV33:1258	36	4
subset.insertion_seqs.fa	chr4~83295824~-~HPV33~1258~-	HPV33	-	7	1258	chr4	83295824	83295862	-	HPV33:1258	38	1
subset.insertion_seqs.fa	chr4~83295823~-~HPV33~1260~-	HPV33	-	7	1260	chr4	83295823	83295860	-	HPV33:1260	37	1
subset.insertion_seqs.fa	chrX~123155952~+~HPV33~1455~+	HPV33	+	10	1455	chrX	123155952	123155986	+	HPV33:1455	36	4
subset.insertion_seqs.fa	chrX~123155952~+~HPV33~1453~+	HPV33	+	7	1453	chrX	123155952	123155989	+	HPV33:1453	37	1
subset.insertion_seqs.fa	chrX~123155953~+~HPV33~1456~+	HPV33	+	7	1456	chrX	123155953	123155991	+	HPV33:1456	38	1
subset.insertion_seqs.fa	chr1~20326660~-~HPV33~1431~+	HPV33	-	7	1431	chr1	20326660	20326622	+	HPV33:1431	37	1
subset.insertion_seqs.fa	chr11~100021530~-~HPV33~1565~+	HPV33	-	10	1565	chr11	100021530	100021494	+	HPV33:1565	41	5
subset.insertion_seqs.fa	chrY~26249714~-~HPV33~1592~+	HPV33	-	1	1592	chrY	26249714	26249672	+	HPV33:1592	38	1
subset.insertion_seqs.fa	chr9~122937393~-~HPV33~1592~+	HPV33	-	1	1592	chr9	122937393	122937352	+	HPV33:1592	38	1
subset.insertion_seqs.fa	chr8~37977628~-~HPV33~1592~+	HPV33	-	1	1592	chr8	37977628	37977586	+	HPV33:1592	39	1
subset.insertion_seqs.fa	chr6~70217935~-~HPV33~1592~+	HPV33	-	1	1592	chr6	70217935	70217893	+	HPV33:1592	39	1
subset.insertion_seqs.fa	chr5~134668383~-~HPV33~1592~+	HPV33	-	1	1592	chr5	134668383	134668341	+	HPV33:1592	39	1
subset.insertion_seqs.fa	chr4~34458662~-~HPV33~1592~+	HPV33	-	1	1592	chr4	34458662	34458620	+	HPV33:1592	39	1
subset.insertion_seqs.fa	chr18~63964314~-~HPV33~1592~+	HPV33	-	1	1592	chr18	63964314	63964272	+	HPV33:1592	38	1
subset.insertion_seqs.fa	chr15~98602632~-~HPV33~1592~+	HPV33	-	1	1592	chr15	98602632	98602590	+	HPV33:1592	39	1
subset.insertion_seqs.fa	chr10~80450285~-~HPV33~1592~+	HPV33	-	1	1592	chr10	80450285	80450245	+	HPV33:1592	38	1
subset.insertion_seqs.fa	chr1~238505725~-~HPV33~1592~+	HPV33	-	1	1592	chr1	238505725	238505683	+	HPV33:1592	39	1
subset.insertion_seqs.fa	chr4~109375655~-~HPV33~1592~-	HPV33	-	1	1592	chr4	109375655	109375697	-	HPV33:1592	38	1
subset.insertion_seqs.fa	chr2~17820125~-~HPV33~1592~-	HPV33	-	1	1592	chr2	17820125	17820167	-	HPV33:1592	38	1
subset.insertion_seqs.fa	chr16~4160375~-~HPV33~1592~-	HPV33	-	1	1592	chr16	4160375	4160411	-	HPV33:1592	34	1
subset.insertion_seqs.fa	chr11~94569600~-~HPV33~1592~-	HPV33	-	1	1592	chr11	94569600	94569642	-	HPV33:1592	39	1
subset.insertion_seqs.fa	chr10~32408303~-~HPV33~1592~-	HPV33	-	1	1592	chr10	32408303	32408345	-	HPV33:1592	38	1
subset.insertion_seqs.fa	chr1~14870563~-~HPV33~1592~-	HPV33	-	1	1592	chr1	14870563	14870605	-	HPV33:1592	38	1
subset.insertion_seqs.fa	chr16~3864862~-~HPV33~1593~+	HPV33	-	4	1593	chr16	3864862	3864828	+	HPV33:1593	36	4
subset.insertion_seqs.fa	chr1~165062026~-~HPV33~1593~+	HPV33	-	4	1593	chr1	165062026	165061993	+	HPV33:1593	33	3
subset.insertion_seqs.fa	chr8~103632642~-~HPV33~1593~-	HPV33	-	4	1593	chr8	103632642	103632676	-	HPV33:1593	37	4
subset.insertion_seqs.fa	chr2~159312695~-~HPV33~1593~-	HPV33	-	4	1593	chr2	159312695	159312729	-	HPV33:1593	36	4
subset.insertion_seqs.fa	chr16~73393056~-~HPV33~1593~-	HPV33	-	10	1593	chr16	73393056	73393089	-	HPV33:1593	39	5
subset.insertion_seqs.fa	chr5~154825155~-~HPV33~1593~+	HPV33	-	1	1593	chr5	154825155	154825121	+	HPV33:1593	33	1
subset.insertion_seqs.fa	chr18~65573894~-~HPV33~1593~+	HPV33	-	10	1593	chr18	65573894	65573860	+	HPV33:1593	37	4
subset.insertion_seqs.fa	chr10~80450286~-~HPV33~1593~+	HPV33	-	1	1593	chr10	80450286	80450249	+	HPV33:1593	36	1
subset.insertion_seqs.fa	chr18~65573894~-~HPV33~1594~+	HPV33	-	1	1594	chr18	65573894	65573856	+	HPV33:1594	36	1
subset.insertion_seqs.fa	chr16~3864862~-~HPV33~1594~+	HPV33	-	1	1594	chr16	3864862	3864824	+	HPV33:1594	35	1
subset.insertion_seqs.fa	chr16~73393056~-~HPV33~1594~-	HPV33	-	1	1594	chr16	73393056	73393094	-	HPV33:1594	38	1
subset.insertion_seqs.fa	chr18~65573895~-~HPV33~1596~+	HPV33	-	1	1596	chr18	65573895	65573859	+	HPV33:1596	35	1
subset.insertion_seqs.fa	chr16~3864864~-~HPV33~1596~+	HPV33	-	1	1596	chr16	3864864	3864826	+	HPV33:1596	35	1
subset.insertion_seqs.fa	chr1~165062028~-~HPV33~1596~+	HPV33	-	1	1596	chr1	165062028	165061990	+	HPV33:1596	36	1
subset.insertion_seqs.fa	chr8~103632640~-~HPV33~1596~-	HPV33	-	1	1596	chr8	103632640	103632678	-	HPV33:1596	36	1
subset.insertion_seqs.fa	chr2~159312693~-~HPV33~1596~-	HPV33	-	1	1596	chr2	159312693	159312731	-	HPV33:1596	35	1
subset.insertion_seqs.fa	chr16~73393054~-~HPV33~1596~-	HPV33	-	1	1596	chr16	73393054	73393092	-	HPV33:1596	38	1
subset.insertion_seqs.fa	chr4~122590493~+~HPV33~1740~+	HPV33	+	10	1740	chr4	122590493	122590527	+	HPV33:1740	37	4
subset.insertion_seqs.fa	chr13~28823599~-~HPV33~1716~-	HPV33	-	10	1716	chr13	28823599	28823634	-	HPV33:1716	42	4
subset.insertion_seqs.fa	chr10~110406712~-~HPV33~2075~+	HPV33	-	10	2075	chr10	110406712	110406676	+	HPV33:2075	42	4
subset.insertion_seqs.fa	chr22~31796539~-~HPV33~2153~-	HPV33	-	10	2153	chr22	31796539	31796574	-	HPV33:2153	38	5
subset.insertion_seqs.fa	chr16~35052342~-~HPV33~2289~+	HPV33	-	4	2289	chr16	35052342	35052307	+	HPV33:2289	38	5
subset.insertion_seqs.fa	chr16~34359485~-~HPV33~2289~-	HPV33	-	4	2289	chr16	34359485	34359520	-	HPV33:2289	38	5
subset.insertion_seqs.fa	chr4~78243899~+~HPV33~2426~+	HPV33	+	7	2426	chr4	78243899	78243924	+	HPV33:2426	25	1
subset.insertion_seqs.fa	chr4~78243900~+~HPV33~2428~+	HPV33	+	10	2428	chr4	78243900	78243935	+	HPV33:2428	38	5
subset.insertion_seqs.fa	chr1~8746725~-~HPV33~2667~+	HPV33	-	10	2667	chr1	8746725	8746691	+	HPV33:2667	35	3
subset.insertion_seqs.fa	chr1~8746730~-~HPV33~2674~+	HPV33	-	7	2674	chr1	8746730	8746693	+	HPV33:2674	37	1
subset.insertion_seqs.fa	chr2~162522852~-~HPV33~2732~+	HPV33	-	10	2732	chr2	162522852	162522818	+	HPV33:2732	38	5
subset.insertion_seqs.fa	chr2~162522852~-~HPV33~2733~+	HPV33	-	7	2733	chr2	162522852	162522810	+	HPV33:2733	41	1
subset.insertion_seqs.fa	chr2~162522853~-~HPV33~2734~+	HPV33	-	7	2734	chr2	162522853	162522815	+	HPV33:2734	38	1
subset.insertion_seqs.fa	chr21~17495616~-~HPV33~3030~-	HPV33	-	10	3030	chr21	17495616	17495650	-	HPV33:3030	36	4
subset.insertion_seqs.fa	chr21~17495617~-~HPV33~3030~-	HPV33	-	7	3030	chr21	17495617	17495655	-	HPV33:3030	38	1
subset.insertion_seqs.fa	chr21~17495614~-~HPV33~3032~-	HPV33	-	7	3032	chr21	17495614	17495653	-	HPV33:3032	38	1
subset.insertion_seqs.fa	chr5~103343308~-~HPV33~3201~+	HPV33	-	10	3201	chr5	103343308	103343272	+	HPV33:3201	39	6
subset.insertion_seqs.fa	chr5~103343308~-~HPV33~3202~+	HPV33	-	7	3202	chr5	103343308	103343283	+	HPV33:3202	25	1
