#sample	entry	chrA	coordA	orientA	chrB	coordB	orientB	total	Split Reads	Uniquely Mapped Reads	Multiply Mapped Reads	Rank1 Hits
subset.insertion_seqs.fa	chr19~42238312~HPV45~3599	chr19	42238312	+	HPV45	3599	-	4	4	1	1	4
subset.insertion_seqs.fa	chrX~140501635~HPV45~6833	chrX	140501635	+	HPV45	6833	-	193	193	9	194	1
subset.insertion_seqs.fa	chrX~140700597~HPV45~6333	chrX	140700597	+	HPV45	6333	+	177	177	0	147	30
subset.insertion_seqs.fa	chr10~38097485~HPV45~0	chr10	38097485	+	HPV45	0	?	1	1	0	1	1
subset.insertion_seqs.fa	chr10~87760692~HPV45~1237	chr10	87760692	+	HPV45	1237	+	1	1	0	0	1
subset.insertion_seqs.fa	chr10~105154081~HPV45~0	chr10	105154081	+	HPV45	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr10~114264640~HPV45~5687	chr10	114264640	+	HPV45	5687	+	2	2	2	0	2
subset.insertion_seqs.fa	chr12~108484848~HPV45~2352	chr12	108484848	+	HPV45	2352	+	190	190	2	83	114
subset.insertion_seqs.fa	chr12~123362449~HPV45~5832	chr12	123362449	+	HPV45	5832	+	1	1	0	0	1
subset.insertion_seqs.fa	chr4~8184041~HPV45~297	chr4	8184041	+	HPV45	297	+	1	1	0	0	1
subset.insertion_seqs.fa	chr4~171304502~HPV45~4413	chr4	171304502	+	HPV45	4413	+	1	1	0	0	1
subset.insertion_seqs.fa	chr4~176308199~HPV45~2925	chr4	176308199	+	HPV45	2925	+	203	203	2	148	60
subset.insertion_seqs.fa	chr4~176355207~HPV45~1485	chr4	176355207	+	HPV45	1485	+	190	190	2	136	60
subset.insertion_seqs.fa	chr4~183954999~HPV45~0	chr4	183954999	+	HPV45	0	?	1	1	0	2	0
subset.insertion_seqs.fa	chr1~57512799~HPV45~7365	chr1	57512799	+	HPV45	7365	-	1	1	0	1	0
subset.insertion_seqs.fa	chr1~106597153~HPV45~0	chr1	106597153	+	HPV45	0	?	1	1	0	0	1
subset.insertion_seqs.fa	chr1~172609906~HPV45~3306	chr1	172609906	+	HPV45	3306	+	1	1	0	1	0
subset.insertion_seqs.fa	chr1~195002303~HPV45~0	chr1	195002303	+	HPV45	0	?	1	1	0	1	1
subset.insertion_seqs.fa	chr1~244119702~HPV45~0	chr1	244119702	+	HPV45	0	?	1	1	0	1	1
subset.insertion_seqs.fa	chr2~38078455~HPV45~0	chr2	38078455	+	HPV45	0	?	1	1	0	1	1
subset.insertion_seqs.fa	chr2~44213023~HPV45~6172	chr2	44213023	+	HPV45	6172	-	1	1	0	1	0
subset.insertion_seqs.fa	chr2~73062022~HPV45~6393	chr2	73062022	+	HPV45	6393	+	1	1	0	0	1
subset.insertion_seqs.fa	chr2~185528501~HPV45~1798	chr2	185528501	+	HPV45	1798	-	199	199	1	123	78
subset.insertion_seqs.fa	chr7~29774996~HPV45~6100	chr7	29774996	+	HPV45	6100	+	1	1	0	0	1
subset.insertion_seqs.fa	chr7~100159729~HPV45~6185	chr7	100159729	+	HPV45	6185	-	1	1	0	0	1
subset.insertion_seqs.fa	chr7~125201866~HPV45~6361	chr7	125201866	+	HPV45	6361	+	187	187	1	189	0
subset.insertion_seqs.fa	chr7~155251673~HPV45~4745	chr7	155251673	+	HPV45	4745	+	1	1	0	1	0
subset.insertion_seqs.fa	chr3~7351914~HPV45~2783	chr3	7351914	+	HPV45	2783	-	191	191	1	159	35
