multiqc_index,sample,genotype,feature,score,position,chr,chr_position,end,strand,match,counts
reads_R-HPV45|0,reads_R-HPV45,HPV45,right,10,1224,chr7,106401823,106401793,-,36,14
reads_R-HPV45|1,reads_R-HPV45,HPV45,right,10,6963,chr21,25720534,25720567,+,42,14
reads_R-HPV45|2,reads_R-HPV45,HPV45,left,10,56,chr12,74847077,74847107,-,36,13
reads_R-HPV45|3,reads_R-HPV45,HPV45,left,10,3738,chr16,78983786,78983757,+,35,13
reads_R-HPV45|4,reads_R-HPV45,HPV45,left,10,117,chr8,12936191,12936222,-,36,11
reads_R-HPV45|5,reads_R-HPV45,HPV45,left,10,718,chr14,49458756,49458787,-,36,11
reads_R-HPV45|6,reads_R-HPV45,HPV45,left,10,1528,chr9,113301384,113301413,-,43,11
reads_R-HPV45|7,reads_R-HPV45,HPV45,left,10,2106,chr2,20204305,20204334,-,43,11
reads_R-HPV45|8,reads_R-HPV45,HPV45,left,10,2382,chr17,70919978,70920007,-,43,11
reads_R-HPV45|9,reads_R-HPV45,HPV45,left,10,2749,chr7,46811646,46811617,+,43,11
reads_R-HPV45|10,reads_R-HPV45,HPV45,left,10,4090,chr3,29314840,29314871,-,36,11
reads_R-HPV45|11,reads_R-HPV45,HPV45,left,10,4711,chr22,19618983,19619013,-,42,11
reads_R-HPV45|12,reads_R-HPV45,HPV45,left,10,5162,chr8,88444670,88444701,-,36,11
reads_R-HPV45|13,reads_R-HPV45,HPV45,right,10,5661,chr9,95852399,95852430,+,36,11
reads_R-HPV45|14,reads_R-HPV45,HPV45,left,10,6015,chr19,47023580,47023609,-,43,11
reads_R-HPV45|15,reads_R-HPV45,HPV45,right,10,6193,chr16,18728181,18728210,+,43,11
reads_R-HPV45|16,reads_R-HPV45,HPV45,left,10,6245,chr9,114161858,114161887,-,43,11
reads_R-HPV45|17,reads_R-HPV45,HPV45,right,10,4239,chr21,24236200,24236162,-,42,10
reads_R-HPV45|18,reads_R-HPV45,HPV45,left,10,2283,chr14,30275954,30275985,-,43,9
reads_R-HPV45|19,reads_R-HPV45,HPV45,right,10,7472,chr18,67880072,67880105,+,42,9
reads_R-HPV45|20,reads_R-HPV45,HPV45,left,10,1276,chr12,107024165,107024200,-,42,8
reads_R-HPV45|21,reads_R-HPV45,HPV45,left,10,1903,chr2,82425480,82425446,+,42,8
reads_R-HPV45|22,reads_R-HPV45,HPV45,left,10,4367,chr19,40542750,40542784,-,42,8
reads_R-HPV45|23,reads_R-HPV45,HPV45,left,10,610,chr8,58286908,58286875,+,36,6
reads_R-HPV45|24,reads_R-HPV45,HPV45,left,10,1077,chr2,132831042,132831074,-,35,6
reads_R-HPV45|25,reads_R-HPV45,HPV45,right,10,2434,chr12,94481658,94481624,-,43,6
reads_R-HPV45|26,reads_R-HPV45,HPV45,right,10,2892,chr3,72318618,72318580,-,41,6
reads_R-HPV45|27,reads_R-HPV45,HPV45,left,10,3794,chr7,23306452,23306412,+,42,6
reads_R-HPV45|28,reads_R-HPV45,HPV45,right,10,1733,chr18,36974680,36974713,+,37,5
reads_R-HPV45|29,reads_R-HPV45,HPV45,right,10,3713,chr3,100234036,100234069,+,36,5
reads_R-HPV45|30,reads_R-HPV45,HPV45,right,10,4902,chr17,82240831,82240870,+,42,5
reads_R-HPV45|31,reads_R-HPV45,HPV45,left,10,363,chr3,127570939,127570979,-,43,4
reads_R-HPV45|32,reads_R-HPV45,HPV45,left,10,2177,chr22,43040900,43040936,-,39,4
reads_R-HPV45|33,reads_R-HPV45,HPV45,right,9,4617,chr11,17536467,17536504,+,41,6
reads_R-HPV45|34,reads_R-HPV45,HPV45,right,9,1372,chr11,96676018,96675981,-,41,5
reads_R-HPV45|35,reads_R-HPV45,HPV45,right,4,2496,chrY,13388921,13388888,-,42,14
reads_R-HPV45|36,reads_R-HPV45,HPV45,left,4,3199,chr22,15638810,15638840,-,36,14
reads_R-HPV45|37,reads_R-HPV45,HPV45,left,4,3199,chr14,18916436,18916466,-,36,14
reads_R-HPV45|38,reads_R-HPV45,HPV45,right,4,6299,chr12,37249639,37249668,+,40,11
reads_R-HPV45|39,reads_R-HPV45,HPV45,right,4,6299,chr10,41841711,41841740,+,41,11
reads_R-HPV45|40,reads_R-HPV45,HPV45,right,4,6299,chr10,41839509,41839538,+,41,11
reads_R-HPV45|41,reads_R-HPV45,HPV45,right,4,6299,chr3,93715564,93715592,+,36,10
reads_R-HPV45|42,reads_R-HPV45,HPV45,right,4,6299,chr10,41833415,41833444,+,37,10
reads_R-HPV45|43,reads_R-HPV45,HPV45,right,4,2496,chr17,69652735,69652766,+,33,9
reads_R-HPV45|44,reads_R-HPV45,HPV45,left,4,6113,chr22,18173723,18173692,+,35,9
reads_R-HPV45|45,reads_R-HPV45,HPV45,left,4,6113,chr22,20363743,20363774,-,35,9
reads_R-HPV45|46,reads_R-HPV45,HPV45,right,4,6299,chr16,38277148,38277176,+,32,9
reads_R-HPV45|47,reads_R-HPV45,HPV45,right,4,6299,chr16,38266291,38266319,+,32,9
