#sample	entry	chrB	orientA	score	coordB	chrA	coordA	end	orientB	virus_brkend_grp	match	total
subset.insertion_seqs.fa	chr15~19779545~-~HPV18~152~+	HPV18	-	4	152	chr15	19779545	19779511	+	HPV18:152	40	6
subset.insertion_seqs.fa	chr15~19789412~-~HPV18~152~+	HPV18	-	4	152	chr15	19789412	19789378	+	HPV18:152	38	6
subset.insertion_seqs.fa	chr15~19788058~-~HPV18~152~+	HPV18	-	4	152	chr15	19788058	19788024	+	HPV18:152	38	6
subset.insertion_seqs.fa	chr9~44876072~-~HPV18~152~-	HPV18	-	4	152	chr9	44876072	44876102	-	HPV18:152	39	6
subset.insertion_seqs.fa	chr9~44867910~-~HPV18~152~-	HPV18	-	4	152	chr9	44867910	44867940	-	HPV18:152	39	6
subset.insertion_seqs.fa	chr15~18360440~-~HPV18~152~-	HPV18	-	4	152	chr15	18360440	18360470	-	HPV18:152	40	6
subset.insertion_seqs.fa	chr15~18364872~-~HPV18~152~-	HPV18	-	4	152	chr15	18364872	18364902	-	HPV18:152	40	6
subset.insertion_seqs.fa	chr15~18369305~-~HPV18~152~-	HPV18	-	4	152	chr15	18369305	18369334	-	HPV18:152	40	6
subset.insertion_seqs.fa	chr15~18373737~-~HPV18~152~-	HPV18	-	4	152	chr15	18373737	18373766	-	HPV18:152	40	6
subset.insertion_seqs.fa	chr15~18376971~-~HPV18~152~-	HPV18	-	4	152	chr15	18376971	18377000	-	HPV18:152	40	6
subset.insertion_seqs.fa	chr15~18387193~-~HPV18~152~-	HPV18	-	4	152	chr15	18387193	18387222	-	HPV18:152	40	6
subset.insertion_seqs.fa	chr15~18398607~-~HPV18~152~-	HPV18	-	4	152	chr15	18398607	18398636	-	HPV18:152	40	6
subset.insertion_seqs.fa	chr15~18400487~-~HPV18~152~-	HPV18	-	4	152	chr15	18400487	18400518	-	HPV18:152	40	5
subset.insertion_seqs.fa	chr15~18402367~-~HPV18~152~-	HPV18	-	4	152	chr15	18402367	18402401	-	HPV18:152	40	4
subset.insertion_seqs.fa	chr15~18404924~-~HPV18~152~-	HPV18	-	4	152	chr15	18404924	18404954	-	HPV18:152	40	6
subset.insertion_seqs.fa	chr15~18406800~-~HPV18~152~-	HPV18	-	4	152	chr15	18406800	18406834	-	HPV18:152	40	4
subset.insertion_seqs.fa	chr15~18410037~-~HPV18~152~-	HPV18	-	4	152	chr15	18410037	18410066	-	HPV18:152	40	6
subset.insertion_seqs.fa	chr15~18411743~-~HPV18~152~-	HPV18	-	4	152	chr15	18411743	18411770	-	HPV18:152	28	3
subset.insertion_seqs.fa	chr15~18416859~-~HPV18~152~-	HPV18	-	4	152	chr15	18416859	18416886	-	HPV18:152	28	3
subset.insertion_seqs.fa	chr15~18434765~-~HPV18~152~-	HPV18	-	4	152	chr15	18434765	18434792	-	HPV18:152	28	3
subset.insertion_seqs.fa	chr15~18441244~-~HPV18~152~-	HPV18	-	4	152	chr15	18441244	18441271	-	HPV18:152	28	3
subset.insertion_seqs.fa	chr9~60563727~-~HPV18~152~+	HPV18	-	4	152	chr9	60563727	60563688	+	HPV18:152	38	4
subset.insertion_seqs.fa	chr9~60671560~-~HPV18~152~+	HPV18	-	4	152	chr9	60671560	60671520	+	HPV18:152	38	4
subset.insertion_seqs.fa	chr9~60631420~-~HPV18~152~+	HPV18	-	4	152	chr9	60631420	60631380	+	HPV18:152	38	4
subset.insertion_seqs.fa	chr9~60603536~-~HPV18~152~+	HPV18	-	4	152	chr9	60603536	60603496	+	HPV18:152	38	4
subset.insertion_seqs.fa	chr9~60591799~-~HPV18~152~+	HPV18	-	4	152	chr9	60591799	60591760	+	HPV18:152	38	4
subset.insertion_seqs.fa	chr9~60569337~-~HPV18~152~+	HPV18	-	4	152	chr9	60569337	60569298	+	HPV18:152	38	4
subset.insertion_seqs.fa	chr9~60565597~-~HPV18~152~+	HPV18	-	4	152	chr9	60565597	60565558	+	HPV18:152	38	4
subset.insertion_seqs.fa	chr9~60660340~-~HPV18~152~+	HPV18	-	1	152	chr9	60660340	60660303	+	HPV18:152	34	1
subset.insertion_seqs.fa	chr9~60623424~-~HPV18~152~+	HPV18	-	1	152	chr9	60623424	60623387	+	HPV18:152	34	1
subset.insertion_seqs.fa	chr9~60593669~-~HPV18~152~+	HPV18	-	1	152	chr9	60593669	60593632	+	HPV18:152	34	1
subset.insertion_seqs.fa	chr18~20939701~-~HPV18~152~+	HPV18	-	4	152	chr18	20939701	20939662	+	HPV18:152	39	2
subset.insertion_seqs.fa	chr18~20583853~-~HPV18~152~+	HPV18	-	4	152	chr18	20583853	20583814	+	HPV18:152	38	2
