multiqc_index,sample,genotype,feature,score,position,chr,chr_position,end,strand,match,counts
reads_R-HPV39|0,reads_R-HPV39,HPV39,left,10,1464,chr5,25824174,25824139,+,43,18
reads_R-HPV39|1,reads_R-HPV39,HPV39,left,10,2839,chr2,202528634,202528598,+,43,17
reads_R-HPV39|2,reads_R-HPV39,HPV39,left,10,3934,chr8,79945561,79945525,+,43,17
reads_R-HPV39|3,reads_R-HPV39,HPV39,left,10,5508,chr16,4442344,4442309,+,43,17
reads_R-HPV39|4,reads_R-HPV39,HPV39,left,10,802,chr5,19117186,19117222,-,43,16
reads_R-HPV39|5,reads_R-HPV39,HPV39,right,10,1221,chr17,3895590,3895554,-,43,16
reads_R-HPV39|6,reads_R-HPV39,HPV39,right,10,6918,chr21,24073947,24073912,-,43,16
reads_R-HPV39|7,reads_R-HPV39,HPV39,left,10,2476,chr3,148458171,148458136,+,42,14
reads_R-HPV39|8,reads_R-HPV39,HPV39,right,10,4124,chr6,158519648,158519684,+,43,13
reads_R-HPV39|9,reads_R-HPV39,HPV39,right,10,7459,chr15,55703398,55703435,+,43,13
reads_R-HPV39|10,reads_R-HPV39,HPV39,left,10,874,chr12,66767075,66767036,+,43,12
reads_R-HPV39|11,reads_R-HPV39,HPV39,left,10,2639,chr22,39396622,39396659,-,43,12
reads_R-HPV39|12,reads_R-HPV39,HPV39,right,10,3227,chr19,47618773,47618734,-,43,12
reads_R-HPV39|13,reads_R-HPV39,HPV39,right,10,4020,chr20,54621883,54621922,+,43,12
reads_R-HPV39|14,reads_R-HPV39,HPV39,right,10,5151,chr5,100393171,100393209,+,42,12
reads_R-HPV39|15,reads_R-HPV39,HPV39,right,10,3137,chr19,28415096,28415056,-,43,11
reads_R-HPV39|16,reads_R-HPV39,HPV39,right,10,3187,chr10,62823003,62823041,+,43,11
reads_R-HPV39|17,reads_R-HPV39,HPV39,left,10,3776,chr9,67095585,67095550,+,43,11
reads_R-HPV39|18,reads_R-HPV39,HPV39,right,10,5102,chr7,21188964,21189004,+,43,11
reads_R-HPV39|19,reads_R-HPV39,HPV39,left,10,6452,chr16,52213224,52213260,-,43,11
