sample,genotype,feature,score,position,chr,chr_position,end,strand,match,counts
reads_R-HPV33,HPV33,left,7,284,chrY,7248204,7248163,+,38,1
reads_R-HPV33,HPV33,left,10,586,chr9,80456189,80456158,+,37,7
reads_R-HPV33,HPV33,left,10,590,chr9,80456193,80456160,+,38,2
reads_R-HPV33,HPV33,left,7,712,chr20,5497636,5497670,-,34,1
reads_R-HPV33,HPV33,left,10,717,chr20,5497631,5497666,-,41,7
reads_R-HPV33,HPV33,left,1,717,chr20,5484692,5484662,+,28,1
reads_R-HPV33,HPV33,left,10,793,chr2,60800354,60800317,+,41,5
reads_R-HPV33,HPV33,left,4,950,chrY,23497475,23497438,+,36,3
reads_R-HPV33,HPV33,left,4,950,chr8,17765006,17764965,+,37,3
reads_R-HPV33,HPV33,left,4,950,chr7,39071147,39071106,+,38,3
reads_R-HPV33,HPV33,left,4,950,chr19,30846107,30846070,+,41,8
reads_R-HPV33,HPV33,left,4,950,chr18,11842506,11842465,+,39,3
reads_R-HPV33,HPV33,left,4,950,chr18,14514120,14514079,+,38,3
reads_R-HPV33,HPV33,left,4,950,chr15,62550988,62550947,+,39,3
reads_R-HPV33,HPV33,left,4,950,chr15,21848657,21848616,+,39,3
reads_R-HPV33,HPV33,left,4,950,chr15,20837702,20837661,+,39,3
reads_R-HPV33,HPV33,left,4,950,chr11,50098094,50098057,+,36,3
reads_R-HPV33,HPV33,left,4,950,chr10,1704322,1704285,+,36,3
reads_R-HPV33,HPV33,left,4,950,chr1,30491345,30491307,+,37,3
reads_R-HPV33,HPV33,left,4,950,chr5,78238317,78238358,-,39,3
reads_R-HPV33,HPV33,left,4,950,chr3,111891521,111891562,-,38,3
reads_R-HPV33,HPV33,left,4,950,chr2,131623641,131623682,-,38,3
reads_R-HPV33,HPV33,left,4,950,chr16,56243147,56243188,-,39,3
reads_R-HPV33,HPV33,left,1,950,chrY,23497479,23497440,+,37,1
reads_R-HPV33,HPV33,left,4,950,chr8,56235853,56235888,-,39,6
reads_R-HPV33,HPV33,left,4,950,chr4,106293406,106293444,-,39,4
reads_R-HPV33,HPV33,left,4,950,chr19,33164938,33164897,+,38,3
reads_R-HPV33,HPV33,left,4,950,chrY,26173132,26173169,-,36,2
reads_R-HPV33,HPV33,left,4,950,chr8,25430576,25430617,-,39,2
reads_R-HPV33,HPV33,left,4,950,chr7,25131267,25131308,-,39,2
reads_R-HPV33,HPV33,left,4,950,chr5,124897788,124897829,-,38,2
reads_R-HPV33,HPV33,left,4,950,chr2,236952492,236952533,-,39,2
reads_R-HPV33,HPV33,left,4,950,chr2,205884389,205884430,-,39,2
reads_R-HPV33,HPV33,left,4,950,chr15,56182089,56182126,-,36,2
reads_R-HPV33,HPV33,left,4,950,chr14,59976172,59976213,-,39,2
reads_R-HPV33,HPV33,right,10,1053,chr6,62015021,62014982,-,41,9
reads_R-HPV33,HPV33,right,10,1167,chr14,40857932,40857972,+,41,6
reads_R-HPV33,HPV33,right,10,1270,chr10,31940205,31940169,-,41,7
reads_R-HPV33,HPV33,right,10,1536,chr14,93529570,93529537,-,41,7
reads_R-HPV33,HPV33,left,10,1672,chr17,27279062,27279025,+,41,8
reads_R-HPV33,HPV33,right,4,2052,chr8,20082654,20082680,+,26,2
reads_R-HPV33,HPV33,right,4,2052,chr7,75917323,75917350,+,33,3
reads_R-HPV33,HPV33,right,4,2052,chr5,172246699,172246735,+,39,6
reads_R-HPV33,HPV33,right,3,2052,chr22,33336455,33336482,+,33,3
reads_R-HPV33,HPV33,right,4,2052,chr2,128712362,128712389,+,33,3
reads_R-HPV33,HPV33,right,4,2052,chr2,72541929,72541956,+,33,3
reads_R-HPV33,HPV33,right,4,2052,chr18,44400398,44400425,+,33,3
reads_R-HPV33,HPV33,right,4,2052,chr9,131300446,131300419,-,32,3
reads_R-HPV33,HPV33,right,4,2052,chr8,89498224,89498197,-,32,3
reads_R-HPV33,HPV33,right,4,2052,chr2,134817322,134817292,-,39,4
reads_R-HPV33,HPV33,right,4,2052,chr14,96287017,96286990,-,33,3
reads_R-HPV33,HPV33,right,4,2052,chr11,47701590,47701563,-,33,3
reads_R-HPV33,HPV33,right,4,2052,chr10,124503953,124503917,-,40,6
reads_R-HPV33,HPV33,right,4,2052,chr10,7779169,7779143,-,32,3
reads_R-HPV33,HPV33,right,4,2052,chr1,36457038,36457003,-,39,6
reads_R-HPV33,HPV33,right,4,2052,chr2,241293252,241293222,-,31,2
reads_R-HPV33,HPV33,right,4,2052,chr16,13299475,13299445,-,32,2
reads_R-HPV33,HPV33,right,1,2052,chr6,41847477,41847445,-,32,1
reads_R-HPV33,HPV33,left,7,2018,chr1,62482237,62482273,-,36,1
reads_R-HPV33,HPV33,left,10,2019,chr1,62482236,62482269,-,39,5
reads_R-HPV33,HPV33,right,6,2052,chr22,16970957,16970918,-,36,1
reads_R-HPV33,HPV33,left,10,2236,chrY,6887321,6887354,-,33,2
reads_R-HPV33,HPV33,right,9,2406,chr12,74482992,74482957,-,39,5
reads_R-HPV33,HPV33,right,6,2405,chr12,74482992,74482962,-,30,1
reads_R-HPV33,HPV33,left,10,2495,chr3,98916484,98916520,-,40,4
reads_R-HPV33,HPV33,left,7,2495,chr3,98916485,98916515,-,30,1
reads_R-HPV33,HPV33,right,4,2703,chr7,131351682,131351709,+,28,2
