#sample	entry	chrA	coordA	orientA	chrB	coordB	orientB	#Support reads (pair+softclip)	Confidence	total
subset.insertion_seqs.fa	chr20~34262627~+~HPV45~730~+	chr20	34262627	+	HPV45	730	+	169+39	high	208
subset.insertion_seqs.fa	HPV45~2396~+~chr20~37774799~+	chr20	37774799	+	HPV45	2396	+	0+14	high	14
subset.insertion_seqs.fa	chr2~185528500~+~HPV45~1795~-	chr2	185528500	+	HPV45	1795	-	171+15	high	186
subset.insertion_seqs.fa	HPV45~4660~-~chr12~103989581~+	chr12	103989581	+	HPV45	4660	-	185+19	high	204
subset.insertion_seqs.fa	chr12~108484847~+~HPV45~2351~+	chr12	108484847	+	HPV45	2351	+	185+35	high	220
subset.insertion_seqs.fa	HPV45~3953~-~chr10~41901740~+	chr10	41901740	+	HPV45	3953	-	182+38	high	220
subset.insertion_seqs.fa	HPV45~3527~+~chr3~31619113~+	chr3	31619113	+	HPV45	3527	+	184+38	high	222
subset.insertion_seqs.fa	chr3~7351913~+~HPV45~2780~-	chr3	7351913	+	HPV45	2780	-	169+16	high	185
subset.insertion_seqs.fa	chr3~39150863~+~HPV45~2527~+	chr3	39150863	+	HPV45	2527	+	0+39	high	39
subset.insertion_seqs.fa	HPV45~3598~+~chr3~155403472~+	chr3	155403472	+	HPV45	3598	+	171+39	high	210
subset.insertion_seqs.fa	chr8~144158942~+~HPV45~971~+	chr8	144158942	+	HPV45	971	+	0+38	high	38
subset.insertion_seqs.fa	HPV45~1128~+~chr18~51241704~-	chr18	51241704	-	HPV45	1128	+	173+38	high	211
subset.insertion_seqs.fa	chr4~176355205~+~HPV45~1484~+	chr4	176355205	+	HPV45	1484	+	184+21	high	205
subset.insertion_seqs.fa	chr4~176355206~+~HPV45~1484~+	chr4	176355206	+	HPV45	1484	+	184+37	high	221
subset.insertion_seqs.fa	chr7~149104243~-~HPV45~1609~+	chr7	149104243	-	HPV45	1609	+	0+28	high	28
subset.insertion_seqs.fa	chr7~149104246~-~HPV45~1609~+	chr7	149104246	-	HPV45	1609	+	0+39	high	39
