LIB	Chr	Human Pos	Sign	Viral Sign	Viral Pos	Read Count	Split Reads	Uniquely Mapped Reads	Multiply Mapped Reads	Rank1 Hits
/cromwell_root	10	73153218	+	+	728	1	1	1	0	1	1	1e-40	2e-10
/cromwell_root	10	86937794	+	+	3288	208	208	3	126	89	215	-0	-7.29501e-35
/cromwell_root	10	98247275	+	-	2417	210	210	3	219	0	219	0	7e-29
/cromwell_root	19	6980360	+	?	0	1	1	0	1	1	0	1e-40	1e-26
/cromwell_root	19	35324476	+	-	5443	188	188	4	135	58	193	0	7e-29
/cromwell_root	19	50299040	+	-	7627	181	181	5	16	173	178	-0	-2.23591e+20
/cromwell_root	4	89693434	+	+	6148	203	203	2	204	5	209	-0	-2.12468e-35
/cromwell_root	6	65709152	+	-	3114	2	2	0	1	2	1	2e-45	1e-06
/cromwell_root	6	151678199	+	-	7394	157	157	0	156	1	156	0	7e-29
/cromwell_root	7	38487917	+	+	1346	1	1	0	0	1	1	1e-40	7e-29
/cromwell_root	7	77156555	+	-	5599	170	170	2	1	178	179	0	7e-29
/cromwell_root	22	17168192	+	+	728	10	10	2	5	10	10	7.2e-116	5e-11
/cromwell_root	22	28551107	+	+	2080	190	190	0	76	120	182	0	7e-29
/cromwell_root	22	39970343	+	+	728	202	202	2	90	119	198	0	7e-29
/cromwell_root	22	43247273	+	+	1850	208	208	3	215	0	215	-0	-1.93618e-06
/cromwell_root	8	106623645	+	-	5351	209	209	4	218	0	218	0	7e-29
/cromwell_root	Y	22251736	+	+	2486	209	209	4	120	98	218	0	7e-29
/cromwell_root	14	28640833	+	+	2450	20	20	6	3	21	16	2.88e-231	5e-16
/cromwell_root	14	49328619	+	-	2733	195	195	2	198	0	198	0	7e-29
/cromwell_root	18	36583951	+	+	5009	192	192	3	130	69	190	0	7e-29
/cromwell_root	12	3787913	+	+	1156	181	181	0	15	175	128	0	7e-29
/cromwell_root	2	25099355	+	-	7529	178	178	4	185	0	185	-0	-1.33949e-22
/cromwell_root	16	1857508	+	-	5279	231	231	6	223	14	237	0	7e-29
/cromwell_root	16	30652071	+	-	3037	207	207	4	215	0	215	0	7e-29
/cromwell_root	16	58700753	+	+	6492	144	144	2	129	23	152	0	7e-29
/cromwell_root	X	14218399	+	?	0	1	1	0	1	1	0	1e-40	6e-20
/cromwell_root	X	42257286	+	+	2078	1	1	1	0	1	1	1e-40	6e-10
/cromwell_root	13	21485117	+	-	3573	135	135	3	62	81	122	-0	-4.10672e-20
/cromwell_root	13	41210583	+	?	0	1	1	0	1	1	0	4.92563e-72	4.92563e-32
