#sample	entry	chrB	orientA	score	coordB	chrA	coordA	end	orientB	virus_brkend_grp	match	total
subset.insertion_seqs.fa	chr20~50687127~-~HPV68~764~-	HPV68	-	7	764	chr20	50687127	50687153	-	HPV68:764	26	1
subset.insertion_seqs.fa	chr14~94592465~+~HPV68~1008~-	HPV68	+	6	1008	chr14	94592465	94592439	-	HPV68:1008	26	1
subset.insertion_seqs.fa	chr10~72868099~+~HPV68~1365~-	HPV68	+	6	1365	chr10	72868099	72868068	-	HPV68:1365	30	1
subset.insertion_seqs.fa	chr2~42716666~-~HPV68~1493~+	HPV68	-	6	1493	chr2	42716666	42716640	+	HPV68:1493	26	1
subset.insertion_seqs.fa	chr22~44760855~+~HPV68~2695~+	HPV68	+	9	2695	chr22	44760855	44760884	+	HPV68:2695	39	5
subset.insertion_seqs.fa	chr7~101925180~+~HPV68~2694~+	HPV68	+	0	2694	chr7	101925180	101925211	+	HPV68:2694	31	1
subset.insertion_seqs.fa	chr19~16712550~+~HPV68~2694~+	HPV68	+	0	2694	chr19	16712550	16712581	+	HPV68:2694	30	1
subset.insertion_seqs.fa	chr12~75982838~+~HPV68~2694~+	HPV68	+	0	2694	chr12	75982838	75982869	+	HPV68:2694	30	1
subset.insertion_seqs.fa	chr18~37164691~+~HPV68~2694~-	HPV68	+	0	2694	chr18	37164691	37164660	-	HPV68:2694	30	1
subset.insertion_seqs.fa	chr16~48604493~+~HPV68~2694~-	HPV68	+	0	2694	chr16	48604493	48604462	-	HPV68:2694	29	1
subset.insertion_seqs.fa	chr12~121472068~+~HPV68~2694~-	HPV68	+	0	2694	chr12	121472068	121472037	-	HPV68:2694	30	1
subset.insertion_seqs.fa	chr17~2922950~+~HPV68~2694~+	HPV68	+	0	2694	chr17	2922950	2922987	+	HPV68:2694	36	1
subset.insertion_seqs.fa	chr10~124956540~+~HPV68~2694~+	HPV68	+	0	2694	chr10	124956540	124956580	+	HPV68:2694	39	1
subset.insertion_seqs.fa	chr4~90119400~+~HPV68~3020~+	HPV68	+	6	3020	chr4	90119400	90119426	+	HPV68:3020	26	1
subset.insertion_seqs.fa	chr20~19431522~+~HPV68~3925~-	HPV68	+	7	3925	chr20	19431522	19431496	-	HPV68:3925	26	1
subset.insertion_seqs.fa	chr6~146265560~-~HPV68~4450~-	HPV68	-	9	4450	chr6	146265560	146265600	-	HPV68:4450	42	4
subset.insertion_seqs.fa	chr1~214794924~-~HPV68~4450~-	HPV68	-	0	4450	chr1	214794924	214794966	-	HPV68:4450	38	1
subset.insertion_seqs.fa	chr3~82891373~-~HPV68~6189~+	HPV68	-	3	6189	chr3	82891373	82891334	+	HPV68:6189	38	2
subset.insertion_seqs.fa	chr13~103129196~-~HPV68~6189~-	HPV68	-	9	6189	chr13	103129196	103129232	-	HPV68:6189	42	4
subset.insertion_seqs.fa	chr11~60938971~+~HPV68~7160~-	HPV68	+	6	7160	chr11	60938971	60938936	-	HPV68:7160	34	1
subset.insertion_seqs.fa	chr20~50687128~-~HPV39~868~-	HPV39	-	7	868	chr20	50687128	50687164	-	HPV39:868	36	1
subset.insertion_seqs.fa	chr20~50687127~-~HPV39~869~-	HPV39	-	10	869	chr20	50687127	50687158	-	HPV39:869	42	10
subset.insertion_seqs.fa	chr12~13199047~-~HPV39~961~+	HPV39	-	10	961	chr12	13199047	13199008	+	HPV39:961	42	10
subset.insertion_seqs.fa	chr5~139603200~-~HPV39~986~+	HPV39	-	10	986	chr5	139603200	139603164	+	HPV39:986	42	11
subset.insertion_seqs.fa	chr14~94592465~+~HPV39~1114~-	HPV39	+	10	1114	chr14	94592465	94592430	-	HPV39:1114	41	12
subset.insertion_seqs.fa	chr14~94592465~+~HPV39~1113~-	HPV39	+	7	1113	chr14	94592465	94592439	-	HPV39:1113	26	1
subset.insertion_seqs.fa	chr21~30688736~+~HPV39~1114~+	HPV39	+	10	1114	chr21	30688736	30688771	+	HPV39:1114	41	7
subset.insertion_seqs.fa	chr10~72868098~+~HPV39~1494~-	HPV39	+	10	1494	chr10	72868098	72868064	-	HPV39:1494	43	13
subset.insertion_seqs.fa	chr2~42716666~-~HPV39~1618~+	HPV39	-	10	1618	chr2	42716666	42716631	+	HPV39:1618	41	12
subset.insertion_seqs.fa	chr8~14336251~-~HPV39~1618~+	HPV39	-	4	1618	chr8	14336251	14336217	+	HPV39:1618	37	6
subset.insertion_seqs.fa	chr4~176038593~-~HPV39~1618~+	HPV39	-	4	1618	chr4	176038593	176038558	+	HPV39:1618	39	10
subset.insertion_seqs.fa	chr7~90870169~-~HPV39~1618~-	HPV39	-	1	1618	chr7	90870169	90870197	-	HPV39:1618	27	1
subset.insertion_seqs.fa	chr4~66544780~-~HPV39~1618~-	HPV39	-	1	1618	chr4	66544780	66544808	-	HPV39:1618	27	1
subset.insertion_seqs.fa	chr13~37190279~-~HPV39~1618~-	HPV39	-	4	1618	chr13	37190279	37190314	-	HPV39:1618	39	9
subset.insertion_seqs.fa	chr1~188774700~-~HPV39~1618~-	HPV39	-	1	1618	chr1	188774700	188774729	-	HPV39:1618	28	1
subset.insertion_seqs.fa	chr8~86665572~-~HPV39~1618~-	HPV39	-	4	1618	chr8	86665572	86665606	-	HPV39:1618	39	8
subset.insertion_seqs.fa	chr1~186392463~-~HPV39~1618~-	HPV39	-	4	1618	chr1	186392463	186392498	-	HPV39:1618	40	9
subset.insertion_seqs.fa	chrX~145357043~-~HPV39~1618~+	HPV39	-	4	1618	chrX	145357043	145357002	+	HPV39:1618	39	2
subset.insertion_seqs.fa	chr18~57818955~-~HPV39~1618~+	HPV39	-	4	1618	chr18	57818955	57818914	+	HPV39:1618	39	2
subset.insertion_seqs.fa	chr14~60413679~-~HPV39~1618~+	HPV39	-	4	1618	chr14	60413679	60413639	+	HPV39:1618	38	2
subset.insertion_seqs.fa	chr12~32804636~-~HPV39~1618~+	HPV39	-	4	1618	chr12	32804636	32804596	+	HPV39:1618	39	2
subset.insertion_seqs.fa	chr10~133388460~-~HPV39~1618~+	HPV39	-	4	1618	chr10	133388460	133388420	+	HPV39:1618	39	2
subset.insertion_seqs.fa	chr2~88907185~-~HPV39~1618~-	HPV39	-	4	1618	chr2	88907185	88907226	-	HPV39:1618	38	2
subset.insertion_seqs.fa	chr17~66479681~-~HPV39~1618~-	HPV39	-	4	1618	chr17	66479681	66479722	-	HPV39:1618	38	2
subset.insertion_seqs.fa	chr11~78422788~-~HPV39~1618~-	HPV39	-	4	1618	chr11	78422788	78422828	-	HPV39:1618	39	2
subset.insertion_seqs.fa	chr10~98288227~-~HPV39~1618~-	HPV39	-	4	1618	chr10	98288227	98288268	-	HPV39:1618	38	2
subset.insertion_seqs.fa	chr8~136693600~-~HPV39~1618~+	HPV39	-	4	1618	chr8	136693600	136693564	+	HPV39:1618	36	2
subset.insertion_seqs.fa	chr7~21598922~-~HPV39~1618~+	HPV39	-	4	1618	chr7	21598922	21598884	+	HPV39:1618	39	3
subset.insertion_seqs.fa	chr5~158605517~-~HPV39~1618~+	HPV39	-	4	1618	chr5	158605517	158605477	+	HPV39:1618	39	2
subset.insertion_seqs.fa	chr4~104297006~-~HPV39~1618~+	HPV39	-	4	1618	chr4	104297006	104296971	+	HPV39:1618	37	4
subset.insertion_seqs.fa	chr15~38724855~-~HPV39~1618~+	HPV39	-	4	1618	chr15	38724855	38724815	+	HPV39:1618	39	2
subset.insertion_seqs.fa	chr13~89471054~-~HPV39~1618~+	HPV39	-	4	1618	chr13	89471054	89471016	+	HPV39:1618	37	2
subset.insertion_seqs.fa	chr11~35548199~-~HPV39~1618~+	HPV39	-	4	1618	chr11	35548199	35548159	+	HPV39:1618	38	2
subset.insertion_seqs.fa	chrX~85944957~-~HPV39~1618~-	HPV39	-	4	1618	chrX	85944957	85944994	-	HPV39:1618	39	4
subset.insertion_seqs.fa	chr6~10200580~-~HPV39~1618~-	HPV39	-	4	1618	chr6	10200580	10200620	-	HPV39:1618	39	2
subset.insertion_seqs.fa	chr6~73723568~-~HPV39~1618~-	HPV39	-	4	1618	chr6	73723568	73723607	-	HPV39:1618	39	3
subset.insertion_seqs.fa	chr4~129085690~-~HPV39~1618~-	HPV39	-	4	1618	chr4	129085690	129085730	-	HPV39:1618	39	2
subset.insertion_seqs.fa	chr4~107692823~-~HPV39~1618~-	HPV39	-	4	1618	chr4	107692823	107692863	-	HPV39:1618	38	2
subset.insertion_seqs.fa	chr17~27748916~-~HPV39~1618~-	HPV39	-	4	1618	chr17	27748916	27748956	-	HPV39:1618	40	2
subset.insertion_seqs.fa	chr1~113494190~-~HPV39~1618~-	HPV39	-	4	1618	chr1	113494190	113494228	-	HPV39:1618	39	2
subset.insertion_seqs.fa	chr1~170117189~-~HPV39~1618~-	HPV39	-	4	1618	chr1	170117189	170117224	-	HPV39:1618	38	5
