#sample	entry	chrA	coordA	orientA	chrB	coordB	orientB	#Support reads (pair+softclip)	Confidence	total
subset.insertion_seqs.fa	chr2~42251083~+~HPV31~2108~+	chr2	42251083	+	HPV31	2108	+	183+36	high	219
subset.insertion_seqs.fa	HPV31~4725~+~chr2~108771605~+	chr2	108771605	+	HPV31	4725	+	0+20	high	20
subset.insertion_seqs.fa	HPV31~2771~+~chr2~213539959~+	chr2	213539959	+	HPV31	2771	+	0+42	high	42
subset.insertion_seqs.fa	chr2~233169806~+~HPV31~910~+	chr2	233169806	+	HPV31	910	+	181+34	high	215
subset.insertion_seqs.fa	chr20~20162729~+~HPV31~4868~+	chr20	20162729	+	HPV31	4868	+	183+12	high	195
subset.insertion_seqs.fa	HPV31~128~-~chr20~22208764~+	chr20	22208764	+	HPV31	128	-	161+33	high	194
subset.insertion_seqs.fa	chr20~37068549~+~HPV31~3412~-	chr20	37068549	+	HPV31	3412	-	0+39	high	39
subset.insertion_seqs.fa	chr20~51241750~+~HPV31~3659~+	chr20	51241750	+	HPV31	3659	+	172+33	high	205
subset.insertion_seqs.fa	chrY~14398768~+~HPV31~6870~-	chrY	14398768	+	HPV31	6870	-	0+44	high	44
subset.insertion_seqs.fa	HPV31~1877~-~chr14~57711627~+	chr14	57711627	+	HPV31	1877	-	183+34	high	217
subset.insertion_seqs.fa	chr12~95770800~+~HPV31~3367~+	chr12	95770800	+	HPV31	3367	+	0+38	high	38
subset.insertion_seqs.fa	HPV31~2016~+~chr4~65591088~+	chr4	65591088	+	HPV31	2016	+	0+44	high	44
subset.insertion_seqs.fa	HPV31~1829~-~chr21~18515791~+	chr21	18515791	+	HPV31	1829	-	184+11	high	195
subset.insertion_seqs.fa	HPV31~4394~-~chr21~34910393~+	chr21	34910393	+	HPV31	4394	-	0+21	high	21
subset.insertion_seqs.fa	chr21~24941133~+~HPV31~2800~-	chr21	24941133	+	HPV31	2800	-	171+32	high	203
subset.insertion_seqs.fa	chr21~43983087~+~HPV31~6518~+	chr21	43983087	+	HPV31	6518	+	192+14	high	206
subset.insertion_seqs.fa	HPV31~2317~-~chr5~122143275~+	chr5	122143275	+	HPV31	2317	-	0+36	high	36
subset.insertion_seqs.fa	chr5~158914085~+~HPV31~5136~-	chr5	158914085	+	HPV31	5136	-	0+43	high	43
