sample,genotype,feature,score,position,chr,chr_position,end,strand,match,counts
reads_R-HPV18,HPV18,left,10,419,chr10,85898113,85898079,+,43,11
reads_R-HPV18,HPV18,left,10,731,chr2,76163480,76163515,-,43,21
reads_R-HPV18,HPV18,left,10,866,chr5,68893202,68893166,+,43,20
reads_R-HPV18,HPV18,right,10,1134,chr17,559095,559059,-,43,15
reads_R-HPV18,HPV18,right,10,1340,chr21,32445647,32445683,+,43,17
reads_R-HPV18,HPV18,right,4,1340,chr3,75404898,75404856,-,42,3
reads_R-HPV18,HPV18,right,1,1340,chr3,130071336,130071293,-,41,1
reads_R-HPV18,HPV18,left,10,1455,chr21,22867476,22867513,-,43,11
reads_R-HPV18,HPV18,right,4,1833,chrY,20945727,20945754,+,31,4
reads_R-HPV18,HPV18,right,4,1833,chrY,13132097,13132131,+,42,12
reads_R-HPV18,HPV18,right,4,1833,chrY,9963206,9963240,+,42,12
reads_R-HPV18,HPV18,right,4,1833,chrY,8307288,8307322,+,42,12
reads_R-HPV18,HPV18,right,4,1833,chrY,5607767,5607801,+,42,12
reads_R-HPV18,HPV18,right,4,1833,chrY,4914646,4914680,+,42,10
reads_R-HPV18,HPV18,right,4,1833,chrY,4076215,4076241,+,27,3
reads_R-HPV18,HPV18,right,4,1833,chrX,11573782,11573816,+,42,10
reads_R-HPV18,HPV18,right,4,1833,chrX,16597790,16597824,+,42,12
reads_R-HPV18,HPV18,right,4,1833,chrX,19468713,19468747,+,42,12
reads_R-HPV18,HPV18,right,4,1833,chrX,22230373,22230400,+,28,3
reads_R-HPV18,HPV18,right,4,1833,chrX,26316015,26316049,+,40,11
reads_R-HPV18,HPV18,right,4,1833,chrX,34249479,34249513,+,40,9
reads_R-HPV18,HPV18,right,4,1833,chrX,36171894,36171922,+,34,5
reads_R-HPV18,HPV18,right,4,1833,chrX,37526049,37526076,+,28,3
reads_R-HPV18,HPV18,right,4,1833,chrX,46411486,46411513,+,28,3
reads_R-HPV18,HPV18,right,4,1833,chrX,56583120,56583151,+,34,4
reads_R-HPV18,HPV18,right,4,1833,chrX,64479965,64479996,+,34,4
reads_R-HPV18,HPV18,right,4,1833,chrX,64517013,64517044,+,34,4
reads_R-HPV18,HPV18,right,4,1833,chrX,64691561,64691587,+,27,2
reads_R-HPV18,HPV18,right,4,1833,chrX,67705242,67705273,+,34,4
reads_R-HPV18,HPV18,right,4,1833,chrX,73009816,73009847,+,34,4
reads_R-HPV18,HPV18,right,4,1833,chrX,73033279,73033310,+,34,4
reads_R-HPV18,HPV18,right,4,1833,chr9,8104327,8104354,+,28,3
reads_R-HPV18,HPV18,right,4,1833,chr9,129297696,129297723,+,28,3
reads_R-HPV18,HPV18,right,4,1833,chr9,119901716,119901743,+,28,3
reads_R-HPV18,HPV18,right,4,1833,chr9,113439161,113439189,+,34,5
reads_R-HPV18,HPV18,right,4,1833,chr9,72712365,72712392,+,28,3
reads_R-HPV18,HPV18,right,4,1833,chr9,24226246,24226280,+,40,11
reads_R-HPV18,HPV18,right,4,1833,chr9,18028857,18028891,+,42,12
reads_R-HPV18,HPV18,right,4,1833,chr9,14872264,14872298,+,42,12
reads_R-HPV18,HPV18,right,4,1833,chr9,8325680,8325707,+,28,3
reads_R-HPV18,HPV18,right,4,1833,chr8,23646788,23646822,+,42,12
reads_R-HPV18,HPV18,right,4,1833,chr8,29599735,29599769,+,42,12
reads_R-HPV18,HPV18,right,4,1833,chr8,36409714,36409741,+,28,3
reads_R-HPV18,HPV18,right,4,1833,chr8,36832356,36832390,+,38,10
reads_R-HPV18,HPV18,right,4,1833,chr8,59170254,59170287,+,34,9
reads_R-HPV18,HPV18,right,4,1833,chr8,73253532,73253559,+,28,3
reads_R-HPV18,HPV18,right,4,1833,chr8,75203920,75203946,+,27,2
reads_R-HPV18,HPV18,right,4,1833,chr8,134089648,134089679,+,34,4
reads_R-HPV18,HPV18,right,4,1833,chr8,126982097,126982123,+,27,2
reads_R-HPV18,HPV18,right,4,1833,chr8,109821426,109821452,+,27,2
reads_R-HPV18,HPV18,right,4,1833,chr8,108157621,108157647,+,27,2
reads_R-HPV18,HPV18,right,4,1833,chr8,106489020,106489046,+,27,2
reads_R-HPV18,HPV18,right,4,1833,chr8,98695960,98695986,+,27,2
reads_R-HPV18,HPV18,right,4,1833,chr8,93201295,93201321,+,27,2
reads_R-HPV18,HPV18,right,4,1833,chr8,87323401,87323432,+,34,4
reads_R-HPV18,HPV18,right,4,1833,chr8,84953022,84953048,+,27,2
reads_R-HPV18,HPV18,right,4,1833,chr7,25043458,25043492,+,42,12
reads_R-HPV18,HPV18,right,4,1833,chr7,30096121,30096155,+,42,12
reads_R-HPV18,HPV18,right,4,1833,chr7,54231727,54231761,+,40,11
reads_R-HPV18,HPV18,right,4,1833,chr7,62738379,62738413,+,40,11
reads_R-HPV18,HPV18,right,4,1833,chr7,63535879,63535906,+,28,3
reads_R-HPV18,HPV18,right,4,1833,chr7,78923790,78923818,+,34,5
reads_R-HPV18,HPV18,right,4,1833,chr7,83891819,83891846,+,28,3
reads_R-HPV18,HPV18,right,1,1833,chr7,96681981,96682006,+,25,1
reads_R-HPV18,HPV18,right,4,1833,chr7,147313859,147313885,+,27,2
reads_R-HPV18,HPV18,right,4,1833,chr7,146134010,146134036,+,27,2
reads_R-HPV18,HPV18,right,4,1833,chr7,145560767,145560793,+,27,2
reads_R-HPV18,HPV18,right,4,1833,chr7,140710207,140710233,+,27,2
reads_R-HPV18,HPV18,right,4,1833,chr7,136776354,136776385,+,34,4
reads_R-HPV18,HPV18,right,4,1833,chr7,136764419,136764450,+,34,4
reads_R-HPV18,HPV18,right,4,1833,chr7,115026692,115026723,+,34,4
reads_R-HPV18,HPV18,right,4,1833,chr7,106245139,106245170,+,34,4
reads_R-HPV18,HPV18,right,4,1833,chr6,5887750,5887784,+,42,12
reads_R-HPV18,HPV18,right,4,1833,chr6,16860305,16860339,+,42,12
reads_R-HPV18,HPV18,right,4,1833,chr6,24676322,24676349,+,28,3
reads_R-HPV18,HPV18,right,4,1833,chr6,50224900,50224934,+,40,11
reads_R-HPV18,HPV18,right,4,1833,chr6,51919725,51919752,+,28,3
reads_R-HPV18,HPV18,right,4,1833,chr6,54501249,54501283,+,40,11
reads_R-HPV18,HPV18,right,4,1833,chr6,169031742,169031768,+,27,2
reads_R-HPV18,HPV18,right,4,1833,chr6,156326577,156326603,+,27,2
reads_R-HPV18,HPV18,right,4,1833,chr6,151863239,151863265,+,27,2
reads_R-HPV18,HPV18,right,4,1833,chr6,129223941,129223967,+,27,2
reads_R-HPV18,HPV18,right,4,1833,chr6,92625907,92625933,+,26,2
reads_R-HPV18,HPV18,right,4,1833,chr6,85849489,85849516,+,28,3
reads_R-HPV18,HPV18,right,4,1833,chr6,75033244,75033270,+,26,2
reads_R-HPV18,HPV18,right,4,1833,chr6,66811855,66811887,+,33,7
reads_R-HPV18,HPV18,right,4,1833,chr6,61774240,61774274,+,40,11
reads_R-HPV18,HPV18,right,4,1833,chr5,20645878,20645912,+,42,10
reads_R-HPV18,HPV18,right,4,1833,chr5,28197752,28197779,+,28,3
reads_R-HPV18,HPV18,right,4,1833,chr5,44152361,44152395,+,42,12
reads_R-HPV18,HPV18,right,4,1833,chr5,53661597,53661630,+,42,10
