multiqc_index,sample,genotype,feature,score,position,chr,chr_position,end,strand,match,counts
reads_R-HPV35|0,reads_R-HPV35,HPV35,right,10,3774,chr17,34188337,34188374,+,43,12
reads_R-HPV35|1,reads_R-HPV35,HPV35,right,10,6655,chr5,77375649,77375681,+,43,9
reads_R-HPV35|2,reads_R-HPV35,HPV35,right,10,7124,chr8,118151073,118151105,+,43,7
reads_R-HPV35|3,reads_R-HPV35,HPV35,right,10,1790,chr8,109412994,109413030,+,41,6
reads_R-HPV35|4,reads_R-HPV35,HPV35,right,10,2392,chr20,48204999,48204964,-,41,6
reads_R-HPV35|5,reads_R-HPV35,HPV35,left,10,765,chr14,33773656,33773619,+,41,5
reads_R-HPV35|6,reads_R-HPV35,HPV35,right,10,2222,chr14,87605214,87605246,+,41,5
reads_R-HPV35|7,reads_R-HPV35,HPV35,left,10,2548,chr7,54203009,54202973,+,41,5
reads_R-HPV35|8,reads_R-HPV35,HPV35,left,10,3249,chr9,104879639,104879676,-,41,5
reads_R-HPV35|9,reads_R-HPV35,HPV35,right,10,3367,chr17,81366754,81366791,+,41,5
reads_R-HPV35|10,reads_R-HPV35,HPV35,right,10,4759,chr5,100171453,100171416,-,41,5
reads_R-HPV35|11,reads_R-HPV35,HPV35,left,10,5912,chr17,67985994,67986030,-,41,5
reads_R-HPV35|12,reads_R-HPV35,HPV35,right,10,6221,chr2,18361348,18361309,-,40,5
reads_R-HPV35|13,reads_R-HPV35,HPV35,left,10,244,chr13,60973498,60973532,-,40,4
reads_R-HPV35|14,reads_R-HPV35,HPV35,left,10,889,chr6,82933430,82933394,+,41,4
reads_R-HPV35|15,reads_R-HPV35,HPV35,left,10,2133,chr19,44091242,44091204,+,41,4
reads_R-HPV35|16,reads_R-HPV35,HPV35,right,10,2957,chr20,55192570,55192534,-,41,4
reads_R-HPV35|17,reads_R-HPV35,HPV35,left,10,3210,chr2,192482212,192482243,-,34,4
reads_R-HPV35|18,reads_R-HPV35,HPV35,right,10,4598,chr18,54599990,54599952,-,41,4
reads_R-HPV35|19,reads_R-HPV35,HPV35,right,10,6714,chr21,45276489,45276525,+,41,4
reads_R-HPV35|20,reads_R-HPV35,HPV35,right,10,6804,chr6,30504630,30504668,+,39,4
reads_R-HPV35|21,reads_R-HPV35,HPV35,right,10,7205,chr18,5575560,5575529,-,34,4
reads_R-HPV35|22,reads_R-HPV35,HPV35,right,10,7727,chr3,87234269,87234238,-,34,4
reads_R-HPV35|23,reads_R-HPV35,HPV35,left,10,948,chr21,33563496,33563459,+,40,3
reads_R-HPV35|24,reads_R-HPV35,HPV35,right,10,2650,chr21,23354629,23354667,+,43,3
reads_R-HPV35|25,reads_R-HPV35,HPV35,right,10,4506,chr8,4537313,4537286,-,34,3
reads_R-HPV35|26,reads_R-HPV35,HPV35,right,10,5820,chr1,150921648,150921612,-,38,3
reads_R-HPV35|27,reads_R-HPV35,HPV35,right,10,6160,chr22,46398913,46398886,-,33,3
reads_R-HPV35|28,reads_R-HPV35,HPV35,right,10,6982,chr11,92293463,92293490,+,34,3
reads_R-HPV35|29,reads_R-HPV35,HPV35,right,10,7342,chr6,155025185,155025143,-,43,3
reads_R-HPV35|30,reads_R-HPV35,HPV35,right,10,7427,chr8,33539155,33539122,-,36,3
reads_R-HPV35|31,reads_R-HPV35,HPV35,left,10,1406,chr7,141432002,141432028,-,27,2
reads_R-HPV35|32,reads_R-HPV35,HPV35,right,10,3993,chr11,85163136,85163110,-,27,2
reads_R-HPV35|33,reads_R-HPV35,HPV35,right,10,4598,chr9,99595397,99595431,+,33,2
reads_R-HPV35|34,reads_R-HPV35,HPV35,right,10,5820,chr1,150923651,150923612,-,39,2
reads_R-HPV35|35,reads_R-HPV35,HPV35,right,9,2008,chr15,40319658,40319620,-,41,4
reads_R-HPV35|36,reads_R-HPV35,HPV35,left,4,2702,chr22,13106754,13106722,+,43,9
reads_R-HPV35|37,reads_R-HPV35,HPV35,left,4,2702,chr22,13102837,13102805,+,43,9
reads_R-HPV35|38,reads_R-HPV35,HPV35,left,4,2702,chr22,13060619,13060587,+,43,9
reads_R-HPV35|39,reads_R-HPV35,HPV35,left,4,2702,chr21,10945627,10945595,+,43,9
reads_R-HPV35|40,reads_R-HPV35,HPV35,left,4,2702,chr21,10937972,10937940,+,43,9
reads_R-HPV35|41,reads_R-HPV35,HPV35,left,4,2702,chr21,10910912,10910880,+,43,9
reads_R-HPV35|42,reads_R-HPV35,HPV35,left,4,2702,chr14,16222042,16222010,+,43,9
reads_R-HPV35|43,reads_R-HPV35,HPV35,left,4,2702,chr14,16218125,16218093,+,43,9
reads_R-HPV35|44,reads_R-HPV35,HPV35,left,4,2702,chr14,16179824,16179792,+,43,9
reads_R-HPV35|45,reads_R-HPV35,HPV35,left,4,2702,chr14,16172167,16172135,+,43,9
reads_R-HPV35|46,reads_R-HPV35,HPV35,left,4,2702,chr14,16152587,16152555,+,43,9
reads_R-HPV35|47,reads_R-HPV35,HPV35,left,4,2702,chr14,16144755,16144723,+,43,9
reads_R-HPV35|48,reads_R-HPV35,HPV35,left,4,2702,chr21,8008539,8008571,-,43,9
reads_R-HPV35|49,reads_R-HPV35,HPV35,left,4,2702,chr22,13021626,13021594,+,43,8
reads_R-HPV35|50,reads_R-HPV35,HPV35,left,4,2702,chr21,10960952,10960920,+,43,8
reads_R-HPV35|51,reads_R-HPV35,HPV35,left,4,2702,chr21,10906997,10906966,+,42,8
reads_R-HPV35|52,reads_R-HPV35,HPV35,left,4,2702,chr14,16225959,16225928,+,43,8
reads_R-HPV35|53,reads_R-HPV35,HPV35,left,4,2702,chr14,16140831,16140800,+,43,8
reads_R-HPV35|54,reads_R-HPV35,HPV35,left,4,2702,chr13,16081067,16081036,+,43,8
reads_R-HPV35|55,reads_R-HPV35,HPV35,left,4,2702,chr13,16073412,16073380,+,43,8
reads_R-HPV35|56,reads_R-HPV35,HPV35,left,4,2702,chr13,16046352,16046320,+,43,8
reads_R-HPV35|57,reads_R-HPV35,HPV35,left,4,2702,chr21,8040876,8040908,-,43,8
reads_R-HPV35|58,reads_R-HPV35,HPV35,left,4,2702,chr21,7988461,7988492,-,43,8
reads_R-HPV35|59,reads_R-HPV35,HPV35,left,4,2702,chr22,13037301,13037270,+,43,7
reads_R-HPV35|60,reads_R-HPV35,HPV35,left,4,2702,chr21,10957036,10957005,+,42,7
reads_R-HPV35|61,reads_R-HPV35,HPV35,left,4,2702,chr14,16156506,16156475,+,43,7
reads_R-HPV35|62,reads_R-HPV35,HPV35,left,4,2702,chr21,10964695,10964663,+,43,7
reads_R-HPV35|63,reads_R-HPV35,HPV35,right,4,3774,chr9,99675213,99675254,+,41,7
reads_R-HPV35|64,reads_R-HPV35,HPV35,right,4,3774,chr8,99948939,99948980,+,41,7
reads_R-HPV35|65,reads_R-HPV35,HPV35,right,4,3774,chr8,68978077,68978118,+,41,7
reads_R-HPV35|66,reads_R-HPV35,HPV35,right,4,3774,chr8,97180060,97180101,+,40,7
reads_R-HPV35|67,reads_R-HPV35,HPV35,right,4,3774,chr6,102296658,102296699,+,41,7
reads_R-HPV35|68,reads_R-HPV35,HPV35,right,4,3774,chr6,131906731,131906772,+,39,7
reads_R-HPV35|69,reads_R-HPV35,HPV35,right,4,3774,chr4,91629010,91629051,+,41,7
reads_R-HPV35|70,reads_R-HPV35,HPV35,right,4,3774,chr2,183049040,183049081,+,41,7
reads_R-HPV35|71,reads_R-HPV35,HPV35,right,4,3774,chr13,36321503,36321544,+,40,7
reads_R-HPV35|72,reads_R-HPV35,HPV35,right,4,3774,chr12,72708284,72708325,+,41,7
reads_R-HPV35|73,reads_R-HPV35,HPV35,right,4,3774,chr1,68391326,68391367,+,41,7
reads_R-HPV35|74,reads_R-HPV35,HPV35,right,4,3774,chr6,157701325,157701284,-,40,7
reads_R-HPV35|75,reads_R-HPV35,HPV35,right,4,3774,chr5,100984960,100984919,-,41,7
reads_R-HPV35|76,reads_R-HPV35,HPV35,right,4,3774,chr3,124753233,124753192,-,41,7
reads_R-HPV35|77,reads_R-HPV35,HPV35,right,4,3774,chr2,206807526,206807485,-,41,7
reads_R-HPV35|78,reads_R-HPV35,HPV35,right,4,3774,chr2,16792612,16792571,-,41,7
reads_R-HPV35|79,reads_R-HPV35,HPV35,right,4,3774,chr13,42868692,42868651,-,41,7
reads_R-HPV35|80,reads_R-HPV35,HPV35,left,4,2702,chr22,13095177,13095146,+,43,6
reads_R-HPV35|81,reads_R-HPV35,HPV35,left,4,2702,chr22,13079852,13079820,+,43,6
reads_R-HPV35|82,reads_R-HPV35,HPV35,left,4,2702,chr22,13072197,13072166,+,43,6
reads_R-HPV35|83,reads_R-HPV35,HPV35,left,4,2702,chr22,13045137,13045106,+,43,6
reads_R-HPV35|84,reads_R-HPV35,HPV35,left,4,2702,chr22,13041222,13041190,+,42,6
reads_R-HPV35|85,reads_R-HPV35,HPV35,left,4,2702,chr21,10891325,10891294,+,43,6
reads_R-HPV35|86,reads_R-HPV35,HPV35,left,4,2702,chr21,10899157,10899126,+,43,6
reads_R-HPV35|87,reads_R-HPV35,HPV35,left,4,2702,chr21,10918737,10918706,+,43,6
reads_R-HPV35|88,reads_R-HPV35,HPV35,left,4,2702,chr21,10926394,10926362,+,43,6
reads_R-HPV35|89,reads_R-HPV35,HPV35,left,4,2702,chr21,10972529,10972498,+,43,6
reads_R-HPV35|90,reads_R-HPV35,HPV35,left,4,2702,chr21,10968612,10968580,+,43,6
reads_R-HPV35|91,reads_R-HPV35,HPV35,left,4,2702,chr14,16199057,16199026,+,43,6
reads_R-HPV35|92,reads_R-HPV35,HPV35,left,4,2702,chr14,16191402,16191370,+,43,6
reads_R-HPV35|93,reads_R-HPV35,HPV35,left,4,2702,chr14,16164342,16164310,+,43,6
reads_R-HPV35|94,reads_R-HPV35,HPV35,left,4,2702,chr13,16026765,16026734,+,43,6
reads_R-HPV35|95,reads_R-HPV35,HPV35,left,4,2702,chr13,16034597,16034566,+,43,6
reads_R-HPV35|96,reads_R-HPV35,HPV35,left,4,2702,chr13,16042437,16042406,+,42,6
reads_R-HPV35|97,reads_R-HPV35,HPV35,left,4,2702,chr13,16100135,16100104,+,43,6
reads_R-HPV35|98,reads_R-HPV35,HPV35,left,4,2702,chr13,16096392,16096360,+,43,6
reads_R-HPV35|99,reads_R-HPV35,HPV35,left,4,2702,chr13,16054177,16054146,+,43,6
reads_R-HPV35|100,reads_R-HPV35,HPV35,left,4,2702,chr21,7984377,7984408,-,43,6
reads_R-HPV35|101,reads_R-HPV35,HPV35,left,4,2702,chr21,8033051,8033082,-,43,6
reads_R-HPV35|102,reads_R-HPV35,HPV35,left,4,2702,chr21,8022658,8022690,-,43,6
reads_R-HPV35|103,reads_R-HPV35,HPV35,left,4,2702,chr21,8012450,8012482,-,43,6
reads_R-HPV35|104,reads_R-HPV35,HPV35,right,4,3774,chr7,83464704,83464743,+,41,6
reads_R-HPV35|105,reads_R-HPV35,HPV35,right,4,3774,chr10,86864813,86864855,+,40,6
reads_R-HPV35|106,reads_R-HPV35,HPV35,right,4,3774,chr12,8279656,8279616,-,39,6
reads_R-HPV35|107,reads_R-HPV35,HPV35,right,4,3774,chr6,124897094,124897136,+,40,6
reads_R-HPV35|108,reads_R-HPV35,HPV35,right,4,3774,chr4,24506067,24506109,+,40,6
reads_R-HPV35|109,reads_R-HPV35,HPV35,right,4,3774,chr14,73708550,73708592,+,40,6
reads_R-HPV35|110,reads_R-HPV35,HPV35,right,4,3774,chr10,76823057,76823099,+,40,6
reads_R-HPV35|111,reads_R-HPV35,HPV35,right,4,3774,chr7,32839419,32839377,-,40,6
reads_R-HPV35|112,reads_R-HPV35,HPV35,right,4,3774,chr6,131505014,131504972,-,40,6
reads_R-HPV35|113,reads_R-HPV35,HPV35,right,4,3774,chr5,122617586,122617544,-,41,6
reads_R-HPV35|114,reads_R-HPV35,HPV35,right,4,3774,chr4,61764931,61764889,-,40,6
reads_R-HPV35|115,reads_R-HPV35,HPV35,right,4,3774,chr4,94383572,94383530,-,40,6
reads_R-HPV35|116,reads_R-HPV35,HPV35,left,4,2702,chr9,43594054,43594022,+,39,5
reads_R-HPV35|117,reads_R-HPV35,HPV35,left,4,2702,chr21,10887401,10887369,+,43,5
reads_R-HPV35|118,reads_R-HPV35,HPV35,left,4,2702,chr21,10941885,10941853,+,42,5
reads_R-HPV35|119,reads_R-HPV35,HPV35,left,4,2702,chr14,16160427,16160395,+,42,5
reads_R-HPV35|120,reads_R-HPV35,HPV35,left,4,2702,chr14,16214382,16214350,+,43,5
reads_R-HPV35|121,reads_R-HPV35,HPV35,left,4,2702,chr13,16107969,16107937,+,43,5
reads_R-HPV35|122,reads_R-HPV35,HPV35,left,4,2702,chr13,16104052,16104020,+,43,5
reads_R-HPV35|123,reads_R-HPV35,HPV35,left,4,2702,chr13,16061834,16061802,+,43,5
reads_R-HPV35|124,reads_R-HPV35,HPV35,left,4,2702,chr13,16092476,16092445,+,42,5
reads_R-HPV35|125,reads_R-HPV35,HPV35,left,4,2702,chr21,7980294,7980326,-,43,5
reads_R-HPV35|126,reads_R-HPV35,HPV35,left,4,2702,chr21,7996794,7996826,-,43,5
reads_R-HPV35|127,reads_R-HPV35,HPV35,left,4,2702,chr21,8000709,8000741,-,43,5
reads_R-HPV35|128,reads_R-HPV35,HPV35,left,4,2702,chr21,8036965,8036997,-,43,5
reads_R-HPV35|129,reads_R-HPV35,HPV35,left,4,2702,chr21,8020279,8020311,-,43,5
reads_R-HPV35|130,reads_R-HPV35,HPV35,left,4,2702,chr21,8016363,8016395,-,43,5
reads_R-HPV35|131,reads_R-HPV35,HPV35,right,4,3774,chr9,90417639,90417679,+,40,5
reads_R-HPV35|132,reads_R-HPV35,HPV35,right,4,3774,chr5,18538733,18538773,+,40,5
reads_R-HPV35|133,reads_R-HPV35,HPV35,right,4,3774,chr11,95317094,95317134,+,40,5
reads_R-HPV35|134,reads_R-HPV35,HPV35,right,4,3774,chr4,189480221,189480181,-,40,5
reads_R-HPV35|135,reads_R-HPV35,HPV35,right,4,3774,chr4,92272176,92272136,-,40,5
reads_R-HPV35|136,reads_R-HPV35,HPV35,right,4,3774,chr3,115794169,115794129,-,39,5
reads_R-HPV35|137,reads_R-HPV35,HPV35,right,4,3774,chr2,165708264,165708224,-,40,5
reads_R-HPV35|138,reads_R-HPV35,HPV35,right,4,3774,chr7,20125864,20125903,+,40,5
reads_R-HPV35|139,reads_R-HPV35,HPV35,right,4,3774,chrX,103429688,103429649,-,40,5
reads_R-HPV35|140,reads_R-HPV35,HPV35,right,4,3774,chr2,154583282,154583243,-,40,5
reads_R-HPV35|141,reads_R-HPV35,HPV35,right,4,3774,chr11,4219972,4219933,-,40,5
reads_R-HPV35|142,reads_R-HPV35,HPV35,right,4,3774,chr20,178164,178207,+,41,5
reads_R-HPV35|143,reads_R-HPV35,HPV35,right,4,2460,chr6,58556982,58557018,+,41,4
reads_R-HPV35|144,reads_R-HPV35,HPV35,right,4,2460,chr6,58560039,58560075,+,41,4
reads_R-HPV35|145,reads_R-HPV35,HPV35,right,4,2460,chr6,58578388,58578424,+,41,4
reads_R-HPV35|146,reads_R-HPV35,HPV35,right,4,2460,chr6,58599794,58599830,+,41,4
reads_R-HPV35|147,reads_R-HPV35,HPV35,right,4,2460,chr6,58612003,58612039,+,41,4
reads_R-HPV35|148,reads_R-HPV35,HPV35,right,4,2460,chr6,58615061,58615097,+,41,4
reads_R-HPV35|149,reads_R-HPV35,HPV35,right,4,2460,chr6,58618118,58618154,+,41,4
reads_R-HPV35|150,reads_R-HPV35,HPV35,right,4,2460,chr6,58575334,58575370,+,41,4
reads_R-HPV35|151,reads_R-HPV35,HPV35,left,4,2702,chr9,43371788,43371756,+,40,4
reads_R-HPV35|152,reads_R-HPV35,HPV35,left,4,2702,chr21,10903076,10903044,+,43,4
reads_R-HPV35|153,reads_R-HPV35,HPV35,right,4,3774,chr3,57308889,57308931,+,39,4
reads_R-HPV35|154,reads_R-HPV35,HPV35,right,4,3774,chr1,98801733,98801695,-,40,4
