chrom	lend	rend	gene	strand
chr10	38094336	38125544	ZNF37A	+
chr10	38137337	38144399	RP11-508N22.12	+
chr10	38149968	38150293	RP11-508N22.13	+
chr10	38161570	38161749	RP11-508N22.6	+
chr10	38164648	38212357	RP11-508N22.9	+
chr10	38186670	38186771	RP11-508N22.10	+
chr10	38247922	38333155	RP11-672F9.1	+
chr10	38250442	38250603	RP11-508N22.11	-
chr10	38356380	38378505	HSD17B7P2	+
chr10	38383069	38402916	SEPT7P9	-
chr10	38423625	38423728	RNU6-1118P	+
chr10	38448689	38448949	RP11-291L22.7	+
chr10	38450738	38451069	RP11-291L22.8	-
chr10	38451030	38451785	RP11-291L22.6	+
chr10	38452987	38455365	CICP9	-
chr10	38453181	38466176	RP11-291L22.4	+
chr10	38601418	38605609	ABCD1P2	+
chr10	38617255	38617344	RP11-453N3.7	+
chr10	38635908	38638082	PABPC1P12	+
chr10	38640971	38689068	SLC9B1P3	-
chr10	38696424	38697902	ACTR3BP5	+
chr10	38713195	38719229	CHEK2P5	+
chr10	38762095	38762491	RP11-453N3.1	-
chr10	38783004	38783108	RP11-96F8.1	+
chr10	42149310	42149549	KSR1P1	-
chr10	42185339	42185791	IGKV1OR10-1	+
chr10	42209990	42210383	AL031601.4	+
chr10	42242721	42276842	AL031601.5	+
chr10	42279734	42281819	PABPC1P8	-
chr10	42331866	42367974	RP11-313J2.1	-
chr10	42408168	42475349	CCNYL2	-
chr10	42470082	42470268	RP11-178A10.3	-
chr10	42475543	42495336	LINC00839	+
chr10	42513510	42552822	ZNF37BP	-
chr10	42555440	42555724	FXYD6P1	+
chr10	42566677	42567483	EIF3LP2	+
chr10	42574185	42638568	ZNF33B	-
chr10	42578500	42578727	AL022345.10	+
chr10	42579724	42582772	AL022345.7	+
chr10	42583235	42583387	AL022345.8	+
chr10	42583767	42583793	AL022345.9	+
chr10	42605158	42605263	RNU6-1170P	+
chr10	42660728	42661776	AL022344.2	+
chr10	42674197	42691723	LINC01518	-
