chrom	lend	rend	gene	strand
chr21	6721812	6725209	CH507-254M2.3	+
chr21	6789592	6812297	CH507-210P18.1	+
chr21	6858539	6897263	CH507-210P18.4	+
chr21	6859171	6859256	MIR8069-2	+
chr21	6897291	6899280	CH507-210P18.3	+
chr21	6904884	6906692	CH507-210P18.5	+
chr21	6986450	6997765	CH507-154B10.2	-
chr21	6994374	6997737	CH507-145C22.4	-
chr21	7003248	7007022	CH507-236L23.4	-
chr21	7020599	7025166	CH507-236L23.1	+
chr21	7048891	7087229	CH507-254M2.1	+
chr21	7092616	7092716	Y_RNA	+
chr21	7129103	7130287	CH507-236L23.2	+
chr21	7135334	7137789	CH507-236L23.3	-
chr21	7385058	7388799	CH507-254M2.5	-
chr21	7421442	7425839	CH507-254M2.6	-
chr21	7430659	7469007	CH507-254M2.2	+
chr21	7626344	7627528	CH507-338C24.2	-
chr21	7669397	7681742	CH507-338C24.1	-
chr21	7744962	7777853	SMIM11	+
chr21	7769796	7770546	CH507-396I9.7	-
chr21	7788703	7793954	CH507-396I9.3	-
chr21	7816675	7829926	CH507-396I9.6	-
chr21	7826098	7826225	SNORA11	-
chr21	8101251	8103706	CH507-338C24.3	-
chr21	8197620	8227646	CH507-513H4.1	+
chr21	8201210	8201287	FP671120.3	+
chr21	8205315	8205406	MIR6724-3	+
chr21	8205851	8205940	pRNA	+
chr21	8208012	8208125	FP671120.2	+
chr21	8208473	8208652	MIR3648-2	+
chr21	8208844	8208904	MIR3687-2	+
chr21	8210384	8211306	CH507-513H4.6	-
chr21	8212572	8212724	RNA5-8S5	+
chr21	8217953	8218001	FP671120.7	+
chr21	8218721	8218776	FP671120.4	+
chr21	8249505	8249596	MIR6724-2	+
chr21	8252221	8252334	FP671120.5	+
chr21	8253050	8253109	FP671120.1	+
chr21	8254592	8255514	CH507-513H4.5	-
chr21	8258914	8259005	FP671120.6	+
chr21	8383777	8410645	CH507-528H12.1	+
chr21	8384256	8384333	FP236383.2	+
chr21	8391059	8391172	FP236383.8	+
chr21	8391520	8391697	FP236383.6	+
chr21	8391884	8391943	FP236383.11	+
chr21	8393419	8394341	CH507-513H4.4	-
chr21	8400991	8401039	FP236383.4	+
chr21	8401760	8401816	FP236383.10	+
chr21	8435246	8435359	FP236383.7	+
chr21	8435707	8435886	FP236383.5	+
chr21	8436078	8436138	FP236383.1	+
chr21	8437629	8438551	CH507-513H4.3	-
chr21	8441949	8442040	FP236383.9	+
chr21	8445223	8445271	FP236383.12	+
chr21	8445991	8446046	FP236383.3	+
chr21	8603547	8603984	bP-2168N6.2	+
chr21	8680538	8680934	bP-2168N6.1	-
chr21	8701461	8701562	bP-2168N6.3	+
chr21	8759077	8761335	bP-2189O9.3	+
chr21	8794358	8794439	CR381670.1	+
chr21	8801362	8801880	bP-2189O9.4	-
chr21	8845566	8846646	bP-2189O9.1	+
chr21	8857260	8880976	bP-2189O9.2	+
chr21	8986999	8987178	MIR3648-1	+
chr21	8987370	8987430	MIR3687-1	+
chr21	8996496	9018670	bP-2171C21.3	-
chr21	9026821	9027329	bP-2171C21.4	-
chr21	9053122	9059060	bP-2171C21.2	+
chr21	9068361	9129752	TEKT4P2	-
chr21	9082601	9083101	bP-2171C21.6	-
chr21	9088188	9088391	bP-2171C21.5	+
chr21	9098863	9098944	CR392039.2	-
chr21	9099103	9099185	CR392039.1	-
chr21	9325013	9368775	bP-21264C1.2	+
chr21	9364467	9365225	bP-21264C1.3	-
chr21	9369285	9376645	bP-21264C1.1	-
