chrom	lend	rend	strand	virus	virus_brkpt	virus_strand	read_support	sample_name	insertion_name
chr1	26768000	26768001	+	HPV18	3433	+	34	CESC-VS-A9UP-TP	chr1~26768000~+~HPV18~3433~+
chr1	26771064	26771065	+	HPV18	2543	+	62	CESC-VS-A9UP-TP	HPV18~2543~+~chr1~26771064~+
chr1	26771099	26771100	+	HPV18	6597	+	15	CESC-VS-A9UP-TP	chr1~26771099~+~HPV18~6597~+
chr1	26771119	26771120	+	HPV18	1346	+	321	CESC-VS-A9UP-TP	HPV18~1346~+~chr1~26771119~+
chr1	26772499	26772500	+	HPV18	930	+	315	CESC-VS-A9UP-TP	HPV18~930~+~chr1~26772499~+
chr1	26827140	26827141	+	HPV18	23	+	25	CESC-VS-A9UP-TP	chr1~26827140~+~HPV18~23~+
chr1	26831707	26831708	+	HPV18	4769	+	40	CESC-VS-A9UP-TP	chr1~26831707~+~HPV18~4769~+
chr1	27395513	27395514	+	HPV16	881	+	14	CESC-VS-A9UD-TP	HPV16~881~+~chr1~27395513~+
chr1	27419089	27419090	+	HPV16	883	-	26	CESC-VS-A8EG-TP	chr1~27419089~+~HPV16~883~-
chr1	27420109	27420110	+	HPV16	2157	+	70	CESC-VS-A9UD-TP	HPV16~2157~+~chr1~27420109~+
chr1	27423218	27423219	+	HPV16	881	+	116	CESC-VS-A9UD-TP	HPV16~881~+~chr1~27423218~+
chr1	27425720	27425721	+	HPV16	3550	+	536	CESC-VS-A9UD-TP	chr1~27425720~+~HPV16~3550~+
chr1	27428934	27428935	+	HPV16	881	-	475	CESC-VS-A8EG-TP	chr1~27428934~+~HPV16~881~-
chr1	27428934	27428935	+	HPV16	227	-	31	CESC-VS-A8EG-TP	chr1~27428934~+~HPV16~227~-
chr1	27493101	27493102	+	HPV16	1283	-	14	CESC-VS-A8EG-TP	chr1~27493101~+~HPV16~1283~-
