chrom	lend	rend	strand	virus	virus_brkpt	virus_strand	read_support	sample_name	insertion_name
chr17	81827043	81827044	+	HPV16	7128	-	117	CESC-JX-A5QV-TP	HPV16~7128~-~chr17~81827043~+
chr17	81869541	81869542	+	HPV16	3357	-	259	HNSC-HD-7754-TP	HPV16~3357~-~chr17~81869541~+
chr17	81869541	81869542	+	HPV16	2708	-	39	HNSC-HD-7754-TP	HPV16~2708~-~chr17~81869541~+
chr17	82279733	82279734	+	NC_003977_3182nt_Hepatitis_B_virus	461	-	24	LIHC-G3-AAV0-TP	chr17~82279733~+~NC_003977_3182nt_Hepatitis_B_virus~461~-
chr17	82285862	82285863	+	NC_003977_3182nt_Hepatitis_B_virus	461	-	13	LIHC-G3-AAV0-TP	chr17~82285862~+~NC_003977_3182nt_Hepatitis_B_virus~461~-
chr17	82291564	82291565	+	NC_003977_3182nt_Hepatitis_B_virus	461	-	35	LIHC-G3-AAV0-TP	chr17~82291564~+~NC_003977_3182nt_Hepatitis_B_virus~461~-
chr17	82298821	82298822	+	NC_003977_3182nt_Hepatitis_B_virus	746	+	20	LIHC-G3-AAV0-TP	NC_003977_3182nt_Hepatitis_B_virus~746~+~chr17~82298821~+
chr17	82321333	82321334	+	NC_003977_3182nt_Hepatitis_B_virus	461	+	15	LIHC-G3-AAV0-TP	NC_003977_3182nt_Hepatitis_B_virus~461~+~chr17~82321333~+
chr17	83247314	83247315	+	NC_003977_3182nt_Hepatitis_B_virus	485	-	16	LIHC-DD-A11A-TP	chr17~83247314~+~NC_003977_3182nt_Hepatitis_B_virus~485~-
chr17	83247401	83247402	+	NC_003977_3182nt_Hepatitis_B_virus	1823	-	10	LIHC-CC-A9FS-TP	chr17~83247401~+~NC_003977_3182nt_Hepatitis_B_virus~1823~-
