chrom	lend	rend	strand	virus	virus_brkpt	virus_strand	read_support	sample_name	insertion_name
chr11	102789284	102789285	+	HPV18	3526	-	61	CESC-VS-A9UO-TP	chr11~102789284~+~HPV18~3526~-
chr11	102789321	102789322	+	HPV18	2647	+	12	CESC-VS-A9UO-TP	HPV18~2647~+~chr11~102789321~+
chr11	102838719	102838720	+	HPV18	240	-	12	CESC-VS-A9UO-TP	chr11~102838719~+~HPV18~240~-
chr11	102839244	102839245	+	HPV18	234	-	80	CESC-VS-A9UO-TP	chr11~102839244~+~HPV18~234~-
chr11	102855450	102855451	+	HPV18	930	-	644	CESC-FU-A5XV-TP	chr11~102855450~+~HPV18~930~-
chr11	102867395	102867396	+	HPV18	1359	-	12	CESC-VS-A9UO-TP	chr11~102867395~+~HPV18~1359~-
chr11	102868070	102868071	+	HPV18	930	-	1174	CESC-VS-A9UO-TP	chr11~102868070~+~HPV18~930~-
chr11	102868070	102868071	+	HPV18	234	-	119	CESC-VS-A9UO-TP	chr11~102868070~+~HPV18~234~-
chr11	102868070	102868071	+	HPV18	3285	-	17	CESC-VS-A9UO-TP	chr11~102868070~+~HPV18~3285~-
chr11	102949143	102949144	+	HPV18	235	-	26	CESC-VS-A9UL-TP	chr11~102949143~+~HPV18~235~-
chr11	102949505	102949506	+	HPV18	931	-	154	CESC-VS-A9UL-TP	chr11~102949505~+~HPV18~931~-
chr11	102952174	102952175	+	HPV18	234	-	522	CESC-VS-A9UL-TP	chr11~102952174~+~HPV18~234~-
chr11	102952174	102952175	+	HPV18	930	-	1164	CESC-VS-A9UL-TP	chr11~102952174~+~HPV18~930~-
chr11	102952473	102952474	+	HPV18	3549	-	209	CESC-VS-A9UL-TP	chr11~102952473~+~HPV18~3549~-
