sample	contig	human_chrom	human_coord	virus_genome	virus_coord	total	hotspot	hotspot_sample_counts	left_genes	right_genes
CESC-C5-A1M9-TP	chr17~39718105~+~HPV16~3753~-	chr17	39718105	HPV16	3753	82	chr17:39852967	8	RP5-906A24.2;CACNB1;RPL19;STAC2;RP11-690G19.4;AC005288.1;FBXL20;CTB-131K11.1;MED1;RNU6-981P;CDK12;RNU6-233P;RP11-390P24.1;NEUROD2;AC087491.2;PPP1R1B;STARD3;TCAP;PNMT;PGAP3;ERBB2	MIR4728;MIEN1;GRB7;IKZF3;KRT8P34;AC079199.2;ZPBP2;GSDMB;ORMDL3;RP11-387H17.4;LRRC3C;GSDMA;PSMD3;RP11-387H17.6;CSF3;MIR6884;SNORD124;MED24;THRA;NR1D1
CESC-C5-A1M9-TP	HPV16~5491~-~chr17~39718113~+	chr17	39718113	HPV16	5491	11	chr17:39852967	8	RP5-906A24.2;CACNB1;RPL19;STAC2;RP11-690G19.4;AC005288.1;FBXL20;CTB-131K11.1;MED1;RNU6-981P;CDK12;RNU6-233P;RP11-390P24.1;NEUROD2;AC087491.2;PPP1R1B;STARD3;TCAP;PNMT;PGAP3;ERBB2	MIR4728;MIEN1;GRB7;IKZF3;KRT8P34;AC079199.2;ZPBP2;GSDMB;ORMDL3;RP11-387H17.4;LRRC3C;GSDMA;PSMD3;RP11-387H17.6;CSF3;MIR6884;SNORD124;MED24;THRA;NR1D1
CESC-C5-A1M9-TP	chr17~39717481~+~HPV16~578~-	chr17	39717481	HPV16	578	681	chr17:39852967	8	RP5-906A24.2;CACNB1;RPL19;STAC2;RP11-690G19.4;AC005288.1;FBXL20;CTB-131K11.1;MED1;RNU6-981P;CDK12;RNU6-233P;RP11-390P24.1;NEUROD2;AC087491.2;PPP1R1B;STARD3;TCAP;PNMT;PGAP3;ERBB2	MIR4728;MIEN1;GRB7;IKZF3;KRT8P34;AC079199.2;ZPBP2;GSDMB;ORMDL3;RP11-387H17.4;LRRC3C;GSDMA;PSMD3;RP11-387H17.6;CSF3;MIR6884;SNORD124;MED24;THRA;NR1D1
CESC-VS-A9V5-TP	chr17~39716747~+~HPV16~3652~-	chr17	39716747	HPV16	3652	31	chr17:39852967	8	RP5-906A24.2;CACNB1;RPL19;STAC2;RP11-690G19.4;AC005288.1;FBXL20;CTB-131K11.1;MED1;RNU6-981P;CDK12;RNU6-233P;RP11-390P24.1;NEUROD2;AC087491.2;PPP1R1B;STARD3;TCAP;PNMT;PGAP3;ERBB2	MIR4728;MIEN1;GRB7;IKZF3;KRT8P34;AC079199.2;ZPBP2;GSDMB;ORMDL3;RP11-387H17.4;LRRC3C;GSDMA;PSMD3;RP11-387H17.6;CSF3;MIR6884;SNORD124;MED24;THRA;NR1D1
CESC-C5-A1M9-TP	chr17~39716607~+~HPV16~578~-	chr17	39716607	HPV16	578	18	chr17:39852967	8	RP5-906A24.2;CACNB1;RPL19;STAC2;RP11-690G19.4;AC005288.1;FBXL20;CTB-131K11.1;MED1;RNU6-981P;CDK12;RNU6-233P;RP11-390P24.1;NEUROD2;AC087491.2;PPP1R1B;STARD3;TCAP;PNMT;PGAP3;ERBB2	MIR4728;MIEN1;GRB7;IKZF3;KRT8P34;AC079199.2;ZPBP2;GSDMB;ORMDL3;RP11-387H17.4;LRRC3C;GSDMA;PSMD3;RP11-387H17.6;CSF3;MIR6884;SNORD124;MED24;THRA;NR1D1
CESC-VS-A9V5-TP	chr17~39712449~+~HPV16~578~-	chr17	39712449	HPV16	578	18	chr17:39852967	8	RP5-906A24.2;CACNB1;RPL19;STAC2;RP11-690G19.4;AC005288.1;FBXL20;CTB-131K11.1;MED1;RNU6-981P;CDK12;RNU6-233P;RP11-390P24.1;NEUROD2;AC087491.2;PPP1R1B;STARD3;TCAP;PNMT;PGAP3;ERBB2	MIR4728;MIEN1;GRB7;IKZF3;KRT8P34;AC079199.2;ZPBP2;GSDMB;ORMDL3;RP11-387H17.4;LRRC3C;GSDMA;PSMD3;RP11-387H17.6;CSF3;MIR6884;SNORD124;MED24;THRA;NR1D1
CESC-VS-A9V5-TP	chr17~39720416~+~HPV16~182~-	chr17	39720416	HPV16	182	63	chr17:39852967	8	RP5-906A24.2;CACNB1;RPL19;STAC2;RP11-690G19.4;AC005288.1;FBXL20;CTB-131K11.1;MED1;RNU6-981P;CDK12;RNU6-233P;RP11-390P24.1;NEUROD2;AC087491.2;PPP1R1B;STARD3;TCAP;PNMT;PGAP3;ERBB2	MIR4728;MIEN1;GRB7;IKZF3;KRT8P34;AC079199.2;ZPBP2;GSDMB;ORMDL3;RP11-387H17.4;LRRC3C;GSDMA;PSMD3;RP11-387H17.6;CSF3;MIR6884;SNORD124;MED24;THRA;NR1D1
CESC-LP-A5U3-TP	HPV16~882~+~chr17~39723530~+	chr17	39723530	HPV16	882	282	chr17:39852967	8	RP5-906A24.2;CACNB1;RPL19;STAC2;RP11-690G19.4;AC005288.1;FBXL20;CTB-131K11.1;MED1;RNU6-981P;CDK12;RNU6-233P;RP11-390P24.1;NEUROD2;AC087491.2;PPP1R1B;STARD3;TCAP;PNMT;PGAP3;ERBB2	MIR4728;MIEN1;GRB7;IKZF3;KRT8P34;AC079199.2;ZPBP2;GSDMB;ORMDL3;RP11-387H17.4;LRRC3C;GSDMA;PSMD3;RP11-387H17.6;CSF3;MIR6884;SNORD124;MED24;THRA;NR1D1
CESC-LP-A5U3-TP	HPV16~881~+~chr17~39706989~+	chr17	39706989	HPV16	881	1080	chr17:39852967	8	RP5-906A24.2;CACNB1;RPL19;STAC2;RP11-690G19.4;AC005288.1;FBXL20;CTB-131K11.1;MED1;RNU6-981P;CDK12;RNU6-233P;RP11-390P24.1;NEUROD2;AC087491.2;PPP1R1B;STARD3;TCAP;PNMT;PGAP3;ERBB2	MIR4728;MIEN1;GRB7;IKZF3;KRT8P34;AC079199.2;ZPBP2;GSDMB;ORMDL3;RP11-387H17.4;LRRC3C;GSDMA;PSMD3;RP11-387H17.6;CSF3;MIR6884;SNORD124;MED24;THRA;NR1D1
HNSC-CN-A49C-TP	HPV16~227~+~chr17~39708317~+	chr17	39708317	HPV16	227	126	chr17:39852967	8	RP5-906A24.2;CACNB1;RPL19;STAC2;RP11-690G19.4;AC005288.1;FBXL20;CTB-131K11.1;MED1;RNU6-981P;CDK12;RNU6-233P;RP11-390P24.1;NEUROD2;AC087491.2;PPP1R1B;STARD3;TCAP;PNMT;PGAP3;ERBB2	MIR4728;MIEN1;GRB7;IKZF3;KRT8P34;AC079199.2;ZPBP2;GSDMB;ORMDL3;RP11-387H17.4;LRRC3C;GSDMA;PSMD3;RP11-387H17.6;CSF3;MIR6884;SNORD124;MED24;THRA;NR1D1
