chrom	lend	rend	gene	strand
chr21	25880550	26171128	APP	-
chr21	26158091	26175824	AP001439.2	+
chr21	26170871	26217381	AP000230.1	+
chr21	26190707	26190813	RNU6-926P	+
chr21	26349780	26350634	AP001595.1	-
chr21	26378552	26471698	AP001596.6	+
chr21	26393635	26569252	CYYR1-AS1	+
chr21	26459903	26460214	KB-1466C5.1	-
chr21	26466209	26573284	CYYR1	-
chr21	26835747	26845409	ADAMTS1	-
chr21	26889376	26939742	AP001601.2	+
chr21	26917912	26966513	ADAMTS5	-
chr21	26953961	26954043	MIR4759	+
chr21	27143344	27143949	GPX1P2	-
chr21	27302659	27302710	AP001604.1	+
chr21	27358885	27448579	AP001604.3	-
chr21	27361164	27395787	AP001605.4	+
chr21	27367014	27367947	EIF4A1P1	-
chr21	27420380	27421023	RPL10P1	-
chr21	27492118	27492261	NCSTNP1	+
chr21	27638693	27653491	AP001607.1	+
chr21	27722379	27751233	LINC00113	+
chr21	27954922	27985295	AJ006995.3	+
chr21	28013363	28023233	LINC00314	+
chr21	28048404	28137611	AL035610.1	+
chr21	28116094	28228667	AL035610.2	-
chr21	28150606	28150677	AL035610.3	+
chr21	28439346	28674848	AF131217.1	-
chr21	28539318	28540355	LINC00161	+
chr21	28872191	28885371	N6AMT1	-
chr21	28887280	28889272	HSPD1P7	-
chr21	28901779	28903697	THUMPD1P1	-
chr21	28928144	28992956	LTN1	-
chr21	28997613	28998033	RPL23P2	-
chr21	29004384	29019378	RWDD2B	-
chr21	29024255	29024890	RP1-100J12.1	-
chr21	29024629	29054488	USP16	+
chr21	29055805	29073797	CCT8	-
chr21	29058073	29060095	AF129075.5	-
chr21	29077471	29175889	MAP3K7CL	+
chr21	29127701	29128188	RPL12P9	-
chr21	29139283	29139384	Y_RNA	-
chr21	29180425	29180639	U3	-
chr21	29182027	29187795	AF124730.4	-
chr21	29193480	29288205	LINC00189	+
chr21	29194147	29630751	BACH1	+
chr21	29222321	29223257	GAPDHP14	+
chr21	29351634	29361894	BACH1-IT1	+
chr21	29359002	29359453	AP000240.9	+
