chrom	lend	rend	strand	virus	virus_brkpt	virus_strand	read_support	sample_name	insertion_name
chr6	106866823	106866824	+	HPV16	3114	+	12	CESC-C5-A7XC-TP	HPV16~3114~+~chr6~106866823~+
chr6	106882656	106882657	+	HPV16	881	+	686	CESC-C5-A7XC-TP	HPV16~881~+~chr6~106882656~+
chr6	106882656	106882657	+	HPV16	227	+	26	CESC-C5-A7XC-TP	HPV16~227~+~chr6~106882656~+
chr6	107028272	107028273	+	HPV16	2708	+	17	CESC-Q1-A6DT-TP	chr6~107028272~+~HPV16~2708~+
chr6	107028272	107028273	+	HPV16	3357	+	407	CESC-Q1-A6DT-TP	chr6~107028272~+~HPV16~3357~+
chr6	107028925	107028926	+	HPV16	3357	+	423	CESC-Q1-A6DT-TP	chr6~107028925~+~HPV16~3357~+
chr6	107028925	107028926	+	HPV16	2708	+	45	CESC-Q1-A6DT-TP	chr6~107028925~+~HPV16~2708~+
chr6	107030108	107030109	+	HPV16	2708	+	110	CESC-Q1-A6DT-TP	chr6~107030108~+~HPV16~2708~+
chr6	107030108	107030109	+	HPV16	3357	+	658	CESC-Q1-A6DT-TP	chr6~107030108~+~HPV16~3357~+
chr6	107032494	107032495	+	HPV16	2045	+	278	CESC-Q1-A6DT-TP	chr6~107032494~+~HPV16~2045~+
