chrom	lend	rend	strand	virus	virus_brkpt	virus_strand	read_support	sample_name	insertion_name
chr14	68149849	68149850	+	HPV16	4010	+	391	CESC-MY-A5BD-TP	HPV16~4010~+~chr14~68149849~+
chr14	68178057	68178058	+	HPV45	3971	-	2281	CESC-EK-A2R8-TP	HPV45~3971~-~chr14~68178057~+
chr14	68179314	68179315	+	HPV45	231	-	135	CESC-EK-A2R8-TP	chr14~68179314~+~HPV45~231~-
chr14	68179314	68179315	+	HPV45	930	-	1426	CESC-EK-A2R8-TP	chr14~68179314~+~HPV45~930~-
chr14	68205129	68205130	+	HPV45	2670	-	1521	CESC-EK-A2R8-TP	chr14~68205129~+~HPV45~2670~-
chr14	68232968	68232969	+	HPV16	918	+	513	HNSC-BA-4077-TP	HPV16~918~+~chr14~68232968~+
chr14	68234922	68234923	+	HPV16	881	+	458	HNSC-BA-4077-TP	HPV16~881~+~chr14~68234922~+
chr14	68237177	68237178	+	HPV16	881	+	650	HNSC-BA-4077-TP	HPV16~881~+~chr14~68237177~+
chr14	68237177	68237178	+	HPV16	227	+	40	HNSC-BA-4077-TP	HPV16~227~+~chr14~68237177~+
chr14	68274977	68274978	+	HPV16	3434	+	87	HNSC-BA-4077-TP	chr14~68274977~+~HPV16~3434~+
chr14	68291883	68291884	+	HPV16	227	+	28	HNSC-BA-4077-TP	HPV16~227~+~chr14~68291883~+
chr14	68291883	68291884	+	HPV16	881	+	82	HNSC-BA-4077-TP	HPV16~881~+~chr14~68291883~+
chr14	68334761	68334762	+	HPV16	881	-	1078	CESC-C5-A1BE-TP	chr14~68334761~+~HPV16~881~-
chr14	68334761	68334762	+	HPV16	227	-	13	CESC-C5-A1BE-TP	chr14~68334761~+~HPV16~227~-
chr14	68334761	68334762	+	HPV16	227	-	11	CESC-ZJ-AAXU-TP	chr14~68334761~+~HPV16~227~-
chr14	68334761	68334762	+	HPV16	881	-	278	CESC-ZJ-AAXU-TP	chr14~68334761~+~HPV16~881~-
chr14	68411421	68411422	+	HPV16	229	+	94	HNSC-BA-4077-TP	HPV16~229~+~chr14~68411421~+
chr14	68446729	68446730	+	HPV16	881	+	37	HNSC-CN-A6V7-TP	HPV16~881~+~chr14~68446729~+
chr14	68446729	68446730	+	HPV16	3494	+	204	HNSC-CN-A6V7-TP	HPV16~3494~+~chr14~68446729~+
chr14	68447935	68447936	+	HPV16	881	+	13	HNSC-CN-A6V7-TP	HPV16~881~+~chr14~68447935~+
chr14	68447936	68447937	+	HPV16	3494	+	72	HNSC-CN-A6V7-TP	HPV16~3494~+~chr14~68447936~+
chr14	68487671	68487672	+	HPV31	1661	+	15	CESC-VS-A959-TP	HPV31~1661~+~chr14~68487671~+
chr14	68497120	68497121	+	HPV16	229	+	29	HNSC-BA-4077-TP	HPV16~229~+~chr14~68497120~+
chr14	68497123	68497124	+	HPV31	211	+	180	CESC-VS-A959-TP	HPV31~211~+~chr14~68497123~+
chr14	68497123	68497124	+	HPV31	878	+	374	CESC-VS-A959-TP	HPV31~878~+~chr14~68497123~+
chr14	68514038	68514039	+	HPV52	880	+	70	CESC-EA-A78R-TP	HPV52~880~+~chr14~68514038~+
chr14	68516515	68516516	+	HPV18	883	-	11	CESC-4J-AA1J-TP	chr14~68516515~+~HPV18~883~-
chr14	68516574	68516575	+	HPV18	2703	+	4765	CESC-4J-AA1J-TP	chr14~68516574~+~HPV18~2703~+
chr14	68540199	68540200	+	HPV52	880	+	43	CESC-EA-A78R-TP	HPV52~880~+~chr14~68540199~+
chr14	68594484	68594485	+	HPV52	880	+	15	CESC-EA-A78R-TP	HPV52~880~+~chr14~68594484~+
chr14	68597767	68597768	+	HPV16	1730	+	11	CESC-EA-A50E-TP	HPV16~1730~+~chr14~68597767~+
chr14	68597871	68597872	+	HPV16	881	+	27	CESC-EA-A50E-TP	HPV16~881~+~chr14~68597871~+
chr14	68598853	68598854	+	HPV16	881	+	252	CESC-EA-A50E-TP	HPV16~881~+~chr14~68598853~+
chr14	68681967	68681968	+	HPV68	2994	+	306	CESC-ZJ-A8QQ-TP	HPV68~2994~+~chr14~68681967~+
chr14	68681967	68681968	+	HPV68	2994	+	737	CESC-EK-A2H0-TP	HPV68~2994~+~chr14~68681967~+
chr14	68682116	68682117	+	HPV68	130	+	14	CESC-EK-A2H0-TP	HPV68~130~+~chr14~68682116~+
chr14	68682116	68682117	+	HPV68	839	+	83	CESC-ZJ-A8QQ-TP	HPV68~839~+~chr14~68682116~+
chr14	68682119	68682120	+	HPV68	839	+	162	CESC-EK-A2H0-TP	HPV68~839~+~chr14~68682119~+
chr14	68682936	68682937	+	HPV68	839	+	532	CESC-EK-A2H0-TP	HPV68~839~+~chr14~68682936~+
chr14	68682936	68682937	+	HPV68	839	+	358	CESC-ZJ-A8QQ-TP	HPV68~839~+~chr14~68682936~+
chr14	68682936	68682937	+	HPV68	130	+	29	CESC-EK-A2H0-TP	HPV68~130~+~chr14~68682936~+
