chrom	lend	rend	gene	strand
chr2	41931599	41933723	AC104654.2	-
chr2	41935368	41954266	C2orf91	-
chr2	41947056	41947147	AC013480.1	-
chr2	42015625	42025302	AC013480.2	-
chr2	42048020	42058528	PKDCC	+
chr2	42143238	42170301	AC083949.1	-
chr2	42169350	42332548	EML4	+
chr2	42333546	42425088	COX7A2L	-
chr2	42440377	42440436	SNORD75	+
chr2	42442017	42494097	KCNG3	-
chr2	42463139	42463997	VDAC1P13	-
chr2	42469817	42470266	AC025750.5	+
chr2	42494569	42756947	MTA3	+
chr2	42511570	42511851	Metazoa_SRP	+
chr2	42532766	42533442	AC025750.7	-
chr2	42680088	42680279	AC074375.1	-
chr2	42712740	42712847	RNU6-137P	+
chr2	42762481	42764261	OXER1	-
chr2	42767089	42792593	HAAO	-
chr2	42797225	42798712	FTOP1	-
chr2	42826322	42827617	AC098824.6	-
chr2	43001355	43006060	AC016735.1	-
chr2	43027853	43039547	AC016735.2	-
chr2	43041193	43043782	AC016735.3	-
chr2	43091388	43091494	RNU6-242P	-
chr2	43097746	43102691	AC093609.1	-
chr2	43222402	43226609	ZFP36L2	-
chr2	43227210	43228855	LINC01126	+
chr2	43229573	43233394	AC010883.5	+
chr2	43230836	43596046	THADA	-
chr2	43408307	43408412	RNU6-958P	+
chr2	43492032	43492313	RN7SL531P	+
chr2	43620878	43620984	Y_RNA	-
chr2	43637273	43767987	PLEKHH2	+
chr2	43675380	43676322	AC011242.6	-
chr2	43680465	43681622	AC011242.5	-
chr2	43772120	43772350	RN7SKP66	-
chr2	43774039	43810010	DYNC2LI1	+
chr2	43812472	43838865	ABCG5	-
chr2	43838964	43878466	ABCG8	+
chr2	43886508	43996005	LRPPRC	-
chr2	43892690	43892796	RNU6-1048P	+
chr2	43904412	43904693	RN7SL455P	+
chr2	44065488	44065544	AC019129.2	-
chr2	44065894	44066154	AC019129.1	-
chr2	44154789	44154895	RNU6-566P	-
chr2	44166266	44166943	PDSS1P2	+
chr2	44167625	44168859	RP11-559M23.1	-
chr2	44167969	44244384	PPM1B	+
chr2	44270621	44271106	AC013717.3	+
chr2	44275458	44321494	SLC3A1	+
chr2	44316281	44361862	PREPL	-
chr2	44361950	44772592	CAMKMT	+
chr2	44782046	44782130	AC067957.1	-
chr2	44921077	44939199	RP11-89K21.1	-
chr2	44927914	44928396	RP11-89K21.2	-
chr2	44932320	44932406	Six3os1_1	+
chr2	44934055	44934271	Six3os1_2	+
chr2	44935294	44935368	Six3os1_3	+
chr2	44935585	44935908	Six3os1_4	+
chr2	44937426	44937696	Six3os1_5	+
chr2	44938833	44939028	Six3os1_6	+
chr2	44940045	44940245	Six3os1_7	+
chr2	44940154	44941873	SIX3-AS1	-
