sample	contig	human_chrom	human_coord	virus_genome	virus_coord	total	hotspot	hotspot_sample_counts	left_genes	right_genes
CESC-VS-A9UO-TP	chr11~102867395~+~HPV18~1359~-	chr11	102867395	HPV18	1359	12	chr11:102949143	3	RP11-864G5.8;RNU6-952P;BIRC3;BIRC2;TMEM123;RP11-315O6.1;RP11-315O6.2;MMP7;MMP20;RP11-817J15.2;RP11-817J15.3;MMP27;MMP8;AP000619.5;AP000647.3;MMP10;WTAPP1;MMP1;AP000619.6;MMP3;MMP12	BOLA3P1;RNU7-159P;MMP13;RP11-690D19.4;RP11-690D19.1;RP11-690D19.3;DCUN1D5;DYNC2H1;RP11-37O16.7;RP11-37O16.6;RP11-37O16.4;RP11-37O16.3;MTND2P26;MTND1P36;RP11-37O16.8;RP11-563P16.1;MIR4693;RP11-617B3.2;PDGFD;DDI1
CESC-VS-A9UL-TP	chr11~102952174~+~HPV18~234~-	chr11	102952174	HPV18	234	522	chr11:102949143	3	BIRC2;TMEM123;RP11-315O6.1;RP11-315O6.2;MMP7;MMP20;RP11-817J15.2;RP11-817J15.3;MMP27;MMP8;AP000619.5;AP000647.3;MMP10;WTAPP1;MMP1;AP000619.6;MMP3;MMP12;BOLA3P1;RNU7-159P;MMP13	RP11-690D19.4;RP11-690D19.1;RP11-690D19.3;DCUN1D5;DYNC2H1;RP11-37O16.7;RP11-37O16.6;RP11-37O16.4;RP11-37O16.3;MTND2P26;MTND1P36;RP11-37O16.8;RP11-563P16.1;MIR4693;RP11-617B3.2;PDGFD;DDI1;RP11-886D15.1;RP11-681H10.1;RP11-693N9.1
CESC-FU-A5XV-TP	chr11~102855450~+~HPV18~930~-	chr11	102855450	HPV18	930	644	chr11:102949143	3	RP11-864G5.8;RNU6-952P;BIRC3;BIRC2;TMEM123;RP11-315O6.1;RP11-315O6.2;MMP7;MMP20;RP11-817J15.2;RP11-817J15.3;MMP27;MMP8;AP000619.5;AP000647.3;MMP10;WTAPP1;MMP1;AP000619.6;MMP3	MMP12;BOLA3P1;RNU7-159P;MMP13;RP11-690D19.4;RP11-690D19.1;RP11-690D19.3;DCUN1D5;DYNC2H1;RP11-37O16.7;RP11-37O16.6;RP11-37O16.4;RP11-37O16.3;MTND2P26;MTND1P36;RP11-37O16.8;RP11-563P16.1;MIR4693;RP11-617B3.2;PDGFD
CESC-VS-A9UL-TP	chr11~102949505~+~HPV18~931~-	chr11	102949505	HPV18	931	154	chr11:102949143	3	BIRC2;TMEM123;RP11-315O6.1;RP11-315O6.2;MMP7;MMP20;RP11-817J15.2;RP11-817J15.3;MMP27;MMP8;AP000619.5;AP000647.3;MMP10;WTAPP1;MMP1;AP000619.6;MMP3;MMP12;BOLA3P1;RNU7-159P;MMP13	RP11-690D19.4;RP11-690D19.1;RP11-690D19.3;DCUN1D5;DYNC2H1;RP11-37O16.7;RP11-37O16.6;RP11-37O16.4;RP11-37O16.3;MTND2P26;MTND1P36;RP11-37O16.8;RP11-563P16.1;MIR4693;RP11-617B3.2;PDGFD;DDI1;RP11-886D15.1;RP11-681H10.1;RP11-693N9.1
CESC-VS-A9UO-TP	chr11~102838719~+~HPV18~240~-	chr11	102838719	HPV18	240	12	chr11:102949143	3	RP11-864G5.7;RP11-864G5.8;RNU6-952P;BIRC3;BIRC2;TMEM123;RP11-315O6.1;RP11-315O6.2;MMP7;MMP20;RP11-817J15.2;RP11-817J15.3;MMP27;MMP8;AP000619.5;AP000647.3;MMP10;WTAPP1;MMP1;AP000619.6;MMP3	MMP12;BOLA3P1;RNU7-159P;MMP13;RP11-690D19.4;RP11-690D19.1;RP11-690D19.3;DCUN1D5;DYNC2H1;RP11-37O16.7;RP11-37O16.6;RP11-37O16.4;RP11-37O16.3;MTND2P26;MTND1P36;RP11-37O16.8;RP11-563P16.1;MIR4693;RP11-617B3.2;PDGFD
CESC-VS-A9UO-TP	HPV18~2647~+~chr11~102789321~+	chr11	102789321	HPV18	2647	12	chr11:102949143	3	YAP1;RP11-864G5.3;RP11-864G5.1;RP11-864G5.7;RP11-864G5.8;RNU6-952P;BIRC3;BIRC2;TMEM123;RP11-315O6.1;RP11-315O6.2;MMP7;MMP20;RP11-817J15.2;RP11-817J15.3;MMP27;MMP8;AP000619.5;AP000647.3;MMP10;WTAPP1	MMP1;AP000619.6;MMP3;MMP12;BOLA3P1;RNU7-159P;MMP13;RP11-690D19.4;RP11-690D19.1;RP11-690D19.3;DCUN1D5;DYNC2H1;RP11-37O16.7;RP11-37O16.6;RP11-37O16.4;RP11-37O16.3;MTND2P26;MTND1P36;RP11-37O16.8;RP11-563P16.1
CESC-VS-A9UO-TP	chr11~102789284~+~HPV18~3526~-	chr11	102789284	HPV18	3526	61	chr11:102949143	3	YAP1;RP11-864G5.3;RP11-864G5.1;RP11-864G5.7;RP11-864G5.8;RNU6-952P;BIRC3;BIRC2;TMEM123;RP11-315O6.1;RP11-315O6.2;MMP7;MMP20;RP11-817J15.2;RP11-817J15.3;MMP27;MMP8;AP000619.5;AP000647.3;MMP10;WTAPP1	MMP1;AP000619.6;MMP3;MMP12;BOLA3P1;RNU7-159P;MMP13;RP11-690D19.4;RP11-690D19.1;RP11-690D19.3;DCUN1D5;DYNC2H1;RP11-37O16.7;RP11-37O16.6;RP11-37O16.4;RP11-37O16.3;MTND2P26;MTND1P36;RP11-37O16.8;RP11-563P16.1
CESC-VS-A9UO-TP	chr11~102868070~+~HPV18~3285~-	chr11	102868070	HPV18	3285	17	chr11:102949143	3	RP11-864G5.8;RNU6-952P;BIRC3;BIRC2;TMEM123;RP11-315O6.1;RP11-315O6.2;MMP7;MMP20;RP11-817J15.2;RP11-817J15.3;MMP27;MMP8;AP000619.5;AP000647.3;MMP10;WTAPP1;MMP1;AP000619.6;MMP3;MMP12	BOLA3P1;RNU7-159P;MMP13;RP11-690D19.4;RP11-690D19.1;RP11-690D19.3;DCUN1D5;DYNC2H1;RP11-37O16.7;RP11-37O16.6;RP11-37O16.4;RP11-37O16.3;MTND2P26;MTND1P36;RP11-37O16.8;RP11-563P16.1;MIR4693;RP11-617B3.2;PDGFD;DDI1
CESC-VS-A9UL-TP	chr11~102952174~+~HPV18~930~-	chr11	102952174	HPV18	930	1164	chr11:102949143	3	BIRC2;TMEM123;RP11-315O6.1;RP11-315O6.2;MMP7;MMP20;RP11-817J15.2;RP11-817J15.3;MMP27;MMP8;AP000619.5;AP000647.3;MMP10;WTAPP1;MMP1;AP000619.6;MMP3;MMP12;BOLA3P1;RNU7-159P;MMP13	RP11-690D19.4;RP11-690D19.1;RP11-690D19.3;DCUN1D5;DYNC2H1;RP11-37O16.7;RP11-37O16.6;RP11-37O16.4;RP11-37O16.3;MTND2P26;MTND1P36;RP11-37O16.8;RP11-563P16.1;MIR4693;RP11-617B3.2;PDGFD;DDI1;RP11-886D15.1;RP11-681H10.1;RP11-693N9.1
CESC-VS-A9UO-TP	chr11~102839244~+~HPV18~234~-	chr11	102839244	HPV18	234	80	chr11:102949143	3	RP11-864G5.7;RP11-864G5.8;RNU6-952P;BIRC3;BIRC2;TMEM123;RP11-315O6.1;RP11-315O6.2;MMP7;MMP20;RP11-817J15.2;RP11-817J15.3;MMP27;MMP8;AP000619.5;AP000647.3;MMP10;WTAPP1;MMP1;AP000619.6;MMP3	MMP12;BOLA3P1;RNU7-159P;MMP13;RP11-690D19.4;RP11-690D19.1;RP11-690D19.3;DCUN1D5;DYNC2H1;RP11-37O16.7;RP11-37O16.6;RP11-37O16.4;RP11-37O16.3;MTND2P26;MTND1P36;RP11-37O16.8;RP11-563P16.1;MIR4693;RP11-617B3.2;PDGFD
