chrom	lend	rend	gene	strand
chr10	27193358	27193500	RNU2-24P	-
chr10	27195214	27242130	ACBD5	-
chr10	27232255	27232316	RNU7-12P	-
chr10	27235917	27236000	AL160291.1	-
chr10	27243130	27250804	RP11-85G18.6	+
chr10	27246350	27259455	LRRC37A6P	-
chr10	27258762	27288824	ARMC4P1	+
chr10	27313723	27316587	RP11-748L13.7	+
chr10	27315120	27315226	RNU6-666P	+
chr10	27331357	27341252	RP11-748L13.2	-
chr10	27335501	27335607	RNU6-452P	-
chr10	27343436	27344917	RP11-748L13.6	+
chr10	27349717	27350290	FAM210CP	-
chr10	27378138	27378362	TRIAP1P1	-
chr10	27398187	27414368	PTCHD3	-
chr10	27504174	27542237	RAB18	+
chr10	27672875	27746060	MKX	-
chr10	27744786	27767794	MKX-AS1	+
chr10	27783846	27784053	RN7SKP132	-
chr10	27812164	27999048	ARMC4	-
chr10	27904209	27905162	RPL36AP55	+
chr10	27999788	28049615	RP11-218D6.4	+
chr10	28004702	28004932	RP11-218D6.3	+
chr10	28050993	28334486	MPP7	-
chr10	28289258	28289350	MIR8086	-
chr10	28310853	28310959	AC022021.1	+
chr10	28338554	28340942	ZNF101P1	-
chr10	28408039	28408251	U3	-
chr10	28433008	28495813	RP11-351M16.3	-
chr10	28436201	28437078	RP11-351M16.1	+
chr10	28442575	28442896	RN7SKP39	-
chr10	28522652	28532743	WAC-AS1	-
chr10	28532493	28623112	WAC	+
chr10	28652630	28652755	RNU4ATAC6P	+
chr10	28658987	28659467	TPRKBP1	+
chr10	28667919	28668025	RNU6-1067P	+
chr10	28677342	28682939	BAMBI	+
chr10	28743745	28744663	RP11-478H13.1	+
chr10	28760699	28760803	RNU6-270P	-
chr10	28789188	28796113	LINC00837	-
chr10	28792668	28808219	LINC01517	+
chr10	28806121	28813458	RP11-478H13.4	+
chr10	28846408	28881898	C10orf126	+
chr10	28874393	28874507	RNA5SP308	-
chr10	28898996	28899484	RP11-492M23.2	-
chr10	29289061	29318328	LYZL1	+
chr10	29409402	29487745	SVIL-AS1	+
chr10	29421476	29422012	PTCHD3P1	-
chr10	29457338	29736781	SVIL	-
chr10	29545004	29545097	MIR604	-
chr10	29575306	29575381	SNORD115	+
chr10	29602264	29602346	MIR938	-
chr10	29697935	29698174	RP11-192N10.2	+
chr10	29711915	29712008	RNU6-908P	+
