chrom	lend	rend	gene	strand
chr1	45326905	45328533	HPDL	+
chr1	45329163	45340470	MUTYH	-
chr1	45339670	45343975	TOE1	+
chr1	45343883	45491166	TESK2	-
chr1	45415020	45415344	RP11-291L19.1	+
chr1	45493866	45500079	CCDC163P	-
chr1	45500053	45513382	MMACHC	+
chr1	45511036	45523047	PRDX1	-
chr1	45530927	45532139	HMGB1P48	+
chr1	45550543	45570049	AKR1A1	+
chr1	45580892	45580996	AL355480.3	-
chr1	45581219	45581321	AL355480.1	-
chr1	45583846	45618904	NASP	+
chr1	45592722	45592814	AL355480.2	-
chr1	45605657	45605730	AL355480.4	-
chr1	45620044	45624057	CCDC17	-
chr1	45627304	45688113	GPBP1L1	-
chr1	45645816	45646197	RPS15AP10	-
chr1	45651039	45651826	RP11-767N6.2	-
chr1	45687214	45694443	TMEM69	+
chr1	45694324	45750650	IPP	-
chr1	45694684	45697075	RP11-767N6.7	-
chr1	45781277	45781957	RP11-630I5.1	+
chr1	45786987	46036124	MAST2	+
chr1	45846994	45847594	TMA16P2	-
chr1	46040140	46133036	PIK3R3	-
chr1	46046818	46048368	RP4-533D7.4	+
chr1	46104950	46105175	RP4-533D7.3	+
chr1	46134531	46139081	RP4-533D7.5	+
chr1	46175073	46185958	TSPAN1	+
chr1	46175486	46176478	RP11-322N21.2	-
chr1	46178715	46178821	AL672043.1	-
chr1	46188682	46220305	POMGNT1	-
chr1	46203334	46221261	LURAP1	+
chr1	46247688	46278473	RAD54L	+
chr1	46261196	46303608	LRRC41	-
chr1	46303631	46316776	UQCRH	+
chr1	46340177	46365152	NSUN4	+
chr1	46370586	46370955	RP4-603I14.3	+
chr1	46394265	46413848	FAAH	+
chr1	46432129	46445521	FAAHP1	+
chr1	46435525	46435607	AL137797.1	-
chr1	46446673	46449704	LINC01398	-
chr1	46455823	46482475	LINC00505	+
chr1	46506996	46514226	DMBX1	+
chr1	46538696	46570255	MKNK1-AS1	+
chr1	46545644	46551527	KNCN	-
chr1	46557408	46616843	MKNK1	-
chr1	46607715	46616891	MOB3C	-
chr1	46632737	46673867	ATPAF1	-
chr1	46665910	46666375	NENFP1	-
chr1	46668855	46673594	TEX38	+
chr1	46674036	46692098	EFCAB14-AS1	+
chr1	46675159	46719064	EFCAB14	-
chr1	46742329	46743133	RP11-8J9.5	+
chr1	46757838	46819413	CYP4B1	+
chr1	46843095	46900437	CYP4Z2P	-
chr1	46891639	46892830	RP11-346M5.1	+
chr1	46929177	46941484	CYP4A11	-
chr1	46967679	46967874	CYP4A26P	-
chr1	46994382	46994502	CYP4A43P	-
chr1	47000898	47001087	CYP4A27P	-
chr1	47002995	47003148	CYP4A44P	-
chr1	47023568	47050751	CYP4X1	+
