chrom	lend	rend	gene	strand
chr11	74748868	74842413	RNF169	+
chr11	74807739	74949200	XRRA1	-
chr11	74830574	74832510	AP000560.3	-
chr11	74845910	74846209	RN7SL239P	+
chr11	74876286	74920022	RP11-147I3.1	+
chr11	74945981	74946078	AP001992.1	-
chr11	74949247	74979031	SPCS2	+
chr11	74968189	74968292	RNU6-216P	-
chr11	74988134	75018893	NEU3	+
chr11	75071148	75072052	OR2AT2P	-
chr11	75079265	75080131	NPM1P50	-
chr11	75088713	75089754	OR2AT4	-
chr11	75099172	75140148	CTD-2562J17.2	-
chr11	75100563	75206549	SLCO2B1	+
chr11	75131138	75131880	OR2AT1P	-
chr11	75208054	75241173	CTD-2562J17.4	-
chr11	75228322	75228657	ZDHHC20P3	-
chr11	75240905	75243697	TPBGL	+
chr11	75260127	75261025	CTD-2562J17.7	+
chr11	75260129	75262466	CTD-2562J17.6	-
chr11	75264182	75351705	ARRB1	-
chr11	75264289	75265170	CTD-2562J17.9	+
chr11	75335092	75335186	MIR326	-
chr11	75399486	75422280	RPS3	+
chr11	75400391	75400538	SNORD15A	+
chr11	75404421	75404566	SNORD15B	+
chr11	75422394	75430629	KLHL35	-
chr11	75434640	75525903	GDPD5	-
chr11	75491459	75491563	AP002815.1	+
chr11	75506937	75508391	RP11-939C17.4	-
chr11	75562056	75572783	SERPINH1	+
chr11	75583196	75594665	CTD-2530H12.4	+
chr11	75586918	75669120	MAP6	-
chr11	75596144	75597270	CTD-2530H12.8	-
chr11	75635883	75638587	CTD-2530H12.7	-
chr11	75642600	75642889	CTD-2530H12.5	+
chr11	75717819	75732958	MOGAT2	+
chr11	75742129	75742426	RN7SL786P	+
chr11	75742270	75742331	AP001922.1	+
chr11	75758455	75768647	CTD-2530H12.1	-
chr11	75759512	75801535	DGAT2	+
chr11	75775904	75776929	CTD-2530H12.2	+
chr11	75800877	75803415	RP11-535A19.1	-
chr11	75803431	75815406	RP11-535A19.2	-
chr11	75815167	76143195	UVRAG	+
chr11	75835215	75835323	Y_RNA	-
chr11	75911204	75911628	PPP1R1AP1	-
chr11	75914201	75915213	RP11-263C24.1	+
chr11	75934936	75935039	RNA5SP344	+
chr11	75942129	75942435	RP11-263C24.3	-
chr11	76137315	76137731	CTD-2011F17.2	-
chr11	76186325	76210736	WNT11	-
chr11	76190725	76195071	RP11-619A14.2	+
chr11	76210956	76216025	RP11-619A14.3	-
chr11	76349956	76380971	PRKRIR	-
chr11	76381313	76414619	RP11-111M22.2	+
chr11	76389648	76390128	RP11-111M22.4	+
chr11	76392196	76392905	RP11-111M22.5	+
chr11	76441338	76444656	RP11-111M22.3	-
chr11	76444923	76553025	C11orf30	+
chr11	76591023	76591211	RP11-672A2.7	+
chr11	76625462	76626834	RP11-672A2.6	-
chr11	76628096	76630363	RP11-672A2.5	-
chr11	76654169	76656712	RP11-672A2.4	-
chr11	76657056	76663866	AP001189.4	+
chr11	76657524	76670747	LRRC32	-
chr11	76675079	76703195	RP11-672A2.3	+
chr11	76694043	76707641	GUCY2EP	-
chr11	76712396	76719608	RP11-672A2.1	-
chr11	76759916	76768223	RP11-21L23.4	-
chr11	76782251	76798154	TSKU	+
chr11	76782581	76783062	RP11-21L23.3	-
chr11	76800364	76804555	RP11-21L23.2	+
chr11	76860867	77026797	ACER3	+
chr11	76878232	76878318	AP002498.1	+
chr11	76955417	76978619	CTD-2547H18.1	-
chr11	77034398	77041973	B3GNT6	+
chr11	77066932	77126155	CAPN5	+
chr11	77102840	77103331	OMP	+
chr11	77128264	77215239	MYO7A	+
chr11	77216558	77301687	GDPD4	-
chr11	77313606	77314032	TOMM20P1	+
chr11	77321707	77474635	PAK1	-
chr11	77473371	77477030	RP11-739B23.1	+
chr11	77514936	77637805	CLNS1A	-
chr11	77566934	77566994	RNU7-59P	-
chr11	77589391	77610355	AQP11	+
chr11	77659996	77821017	RSF1	-
chr11	77717712	77718411	RSF1-IT2	-
chr11	77734475	77735026	FTH1P16	-
chr11	77738680	77739568	RSF1-IT1	-
chr11	77813319	77813676	AP000580.1	-
chr11	77821109	77918432	AAMDC	+
chr11	77829654	77872262	RP11-91P24.7	-
chr11	77850604	77851511	RP11-91P24.5	+
chr11	77866412	77870091	RP11-91P24.6	-
chr11	77868722	77869195	RP11-91P24.1	-
chr11	77878720	77994678	INTS4	-
chr11	77914990	77915275	RP11-91P24.3	-
chr11	78015715	78016495	RP11-7I15.3	+
chr11	78015715	78080219	KCTD14	-
