chrom	lend	rend	strand	virus	virus_brkpt	virus_strand	read_support	sample_name	insertion_name
chr21	7675579	7675580	+	NC_003977_3182nt_Hepatitis_B_virus	461	-	39	LIHC-CC-A7IK-TP	chr21~7675579~+~NC_003977_3182nt_Hepatitis_B_virus~461~-
chr21	8222958	8222959	+	NC_003977_3182nt_Hepatitis_B_virus	451	+	10	LIHC-DD-AADM-TP	NC_003977_3182nt_Hepatitis_B_virus~451~+~chr21~8222958~+
chr21	8222960	8222961	+	HPV16	3633	+	22	HNSC-CV-5971-TP	HPV16~3633~+~chr21~8222960~+
chr21	8222960	8222961	+	HPV16	881	+	25	CESC-DR-A0ZL-TP	HPV16~881~+~chr21~8222960~+
chr21	8240638	8240639	+	NC_003977_3182nt_Hepatitis_B_virus	1744	-	510	LIHC-DD-AACT-TP	chr21~8240638~+~NC_003977_3182nt_Hepatitis_B_virus~1744~-
chr21	8405957	8405958	+	NC_003977_3182nt_Hepatitis_B_virus	451	+	10	LIHC-DD-AADM-TP	NC_003977_3182nt_Hepatitis_B_virus~451~+~chr21~8405957~+
chr21	8405959	8405960	+	HPV16	3633	+	22	HNSC-CV-5971-TP	HPV16~3633~+~chr21~8405959~+
chr21	8405959	8405960	+	HPV16	881	+	25	CESC-DR-A0ZL-TP	HPV16~881~+~chr21~8405959~+
chr21	8423662	8423663	+	NC_003977_3182nt_Hepatitis_B_virus	1744	-	510	LIHC-DD-AACT-TP	chr21~8423662~+~NC_003977_3182nt_Hepatitis_B_virus~1744~-
chr21	8450144	8450145	+	NC_003977_3182nt_Hepatitis_B_virus	451	+	10	LIHC-DD-AADM-TP	NC_003977_3182nt_Hepatitis_B_virus~451~+~chr21~8450144~+
chr21	8450146	8450147	+	HPV16	3633	+	22	HNSC-CV-5971-TP	HPV16~3633~+~chr21~8450146~+
chr21	8450146	8450147	+	HPV16	881	+	25	CESC-DR-A0ZL-TP	HPV16~881~+~chr21~8450146~+
chr21	8468222	8468223	+	NC_003977_3182nt_Hepatitis_B_virus	1744	-	510	LIHC-DD-AACT-TP	chr21~8468222~+~NC_003977_3182nt_Hepatitis_B_virus~1744~-
