chrom	lend	rend	gene	strand
chr4	83796436	84293412	RP11-8L2.1	-
chr4	84244003	84245488	RP11-274J2.1	+
chr4	84371393	84380189	RP11-42A4.1	-
chr4	84491987	84498450	NKX6-1	-
chr4	84544304	84544519	RPL3P13	-
chr4	84582979	84651338	CDS1	+
chr4	84669610	84966391	WDFY3	-
chr4	84687725	84688000	RN7SL552P	-
chr4	84803258	84810391	WDFY3-AS1	+
chr4	84886386	84886486	RNU6-469P	-
chr4	84965682	85011277	WDFY3-AS2	+
chr4	85100496	85100823	RN7SKP48	+
chr4	85246157	85246912	RP11-218C23.1	+
chr4	85475114	86002670	ARHGAP24	+
chr4	85722443	85722550	AC097108.1	+
chr4	85910478	85910543	AC098870.1	-
chr4	86000327	86000766	RP13-514E23.2	-
chr4	86012296	86013874	RP13-514E23.1	-
chr4	86015123	86594131	MAPK10	-
chr4	86117912	86219926	RP11-778J15.1	+
chr4	86336318	86336614	RN7SKP96	-
chr4	86542482	86542552	MIR4452	-
chr4	86594315	86815171	PTPN13	+
chr4	86823468	86849263	SLC10A6	-
chr4	86870191	86871404	RP11-397E7.1	+
chr4	86876205	86936202	C4orf36	-
chr4	86876338	86876652	RP11-397E7.2	+
chr4	86913266	86914817	RP11-397E7.4	-
chr4	86935002	87141054	AFF1	+
chr4	86949669	86950113	TECRP1	-
chr4	87160103	87240314	KLHL8	-
chr4	87166844	87167734	RP11-476C8.2	+
chr4	87207092	87208086	GAPDHP60	+
chr4	87261931	87266822	RP11-529H2.1	-
chr4	87300495	87300583	MIR5705	-
chr4	87303789	87322906	HSD17B13	-
chr4	87336610	87391386	HSD17B11	-
chr4	87386883	87387174	RN7SL681P	-
chr4	87410644	87411388	RP11-710E1.1	+
chr4	87412228	87412346	Y_RNA	+
chr4	87422582	87459454	NUDT9	+
chr4	87460807	87462280	RP11-710E1.2	-
chr4	87473335	87531061	SPARCL1	-
