chrom	lend	rend	strand	virus	virus_brkpt	virus_strand	read_support	sample_name	insertion_name
chr3	181563929	181563930	+	HPV16	3357	+	39	CESC-VS-A8EC-TP	chr3~181563929~+~HPV16~3357~+
chr3	181563929	181563930	+	HPV16	408	+	81	CESC-VS-A8EC-TP	chr3~181563929~+~HPV16~408~+
chr3	181644221	181644222	+	HPV16	809	-	17	HNSC-CN-A499-TP	chr3~181644221~+~HPV16~809~-
chr3	181670026	181670027	+	HPV16	1295	-	13	CESC-VS-A8EC-TP	HPV16~1295~-~chr3~181670026~+
chr3	181686270	181686271	+	HPV16	6129	-	42	CESC-VS-A8EC-TP	HPV16~6129~-~chr3~181686270~+
chr3	181699884	181699885	+	HPV16	3360	+	72	CESC-VS-A8EC-TP	chr3~181699884~+~HPV16~3360~+
chr3	181715293	181715294	+	HPV16	3357	+	11	CESC-VS-A8EC-TP	chr3~181715293~+~HPV16~3357~+
chr3	181719426	181719427	+	HPV16	3748	-	13	CESC-VS-A8EC-TP	chr3~181719426~+~HPV16~3748~-
chr3	181733396	181733397	+	HPV16	2689	+	10	CESC-VS-A8EC-TP	HPV16~2689~+~chr3~181733396~+
chr3	181739568	181739569	+	HPV16	227	+	67	CESC-VS-A8EC-TP	HPV16~227~+~chr3~181739568~+
chr3	181739568	181739569	+	HPV16	881	+	338	CESC-VS-A8EC-TP	HPV16~881~+~chr3~181739568~+
chr3	181741199	181741200	+	HPV16	814	+	17	CESC-VS-A8EC-TP	HPV16~814~+~chr3~181741199~+
chr3	181847464	181847465	+	HPV16	4282	+	215	CESC-ZJ-AAXJ-TP	HPV16~4282~+~chr3~181847464~+
chr3	181989968	181989969	+	HPV33	2154	-	56	HNSC-TN-A7HI-TP	HPV33~2154~-~chr3~181989968~+
chr3	181991039	181991040	+	HPV33	895	-	885	HNSC-TN-A7HI-TP	chr3~181991039~+~HPV33~895~-
chr3	183111076	183111077	+	NC_003977_3182nt_Hepatitis_B_virus	2450	+	87	LIHC-DD-AACS-TP	NC_003977_3182nt_Hepatitis_B_virus~2450~+~chr3~183111076~+
chr3	183113977	183113978	+	NC_003977_3182nt_Hepatitis_B_virus	2475	+	80	LIHC-DD-AACS-TP	NC_003977_3182nt_Hepatitis_B_virus~2475~+~chr3~183113977~+
