chrom	lend	rend	gene	strand
chr22	40365031	40390463	RP5-1042K10.14	+
chr22	40370591	40410289	SGSM3	+
chr22	40372664	40388290	RP5-1042K10.10	-
chr22	40410281	40636702	MKL1	-
chr22	40415003	40415445	RP5-1042K10.13	+
chr22	40433136	40433641	RP5-1042K10.12	+
chr22	40521800	40561397	RP4-591N18.2	+
chr22	40528057	40528133	AL031594.1	-
chr22	40569286	40569895	COX6B1P3	+
chr22	40586700	40588003	RPL4P6	-
chr22	40673484	40674451	GAPDHP37	-
chr22	40678750	40682814	MCHR1	+
chr22	40769630	40819399	SLC25A17	-
chr22	40788777	40789267	RP3-408N23.4	-
chr22	40798039	40798285	JTBP1	+
chr22	40813883	40813958	MIR4766	-
chr22	40824535	40857022	ST13	-
chr22	40857077	40932815	XPNPEP3	+
chr22	40859549	40862126	DNAJB7	-
chr22	40917111	40917381	Metazoa_SRP	+
chr22	40917743	40917846	RNU6-379P	+
chr22	40951347	40973309	RBX1	+
chr22	41045497	41045591	Y_RNA	+
chr22	41060632	41060701	AL080243.1	-
chr22	41064052	41064633	RP11-12M9.3	+
chr22	41074180	41075239	RP11-12M9.4	-
chr22	41091786	41180077	EP300	+
chr22	41092513	41092566	MIR1281	+
chr22	41168217	41168316	RNU6-375P	+
chr22	41169190	41183144	RP1-85F18.6	-
chr22	41174591	41197456	EP300-AS1	-
chr22	41189727	41190188	LRRC37A14P	-
chr22	41205205	41231271	L3MBTL2	+
chr22	41209122	41217627	RP4-756G23.5	-
chr22	41229510	41240934	CHADL	-
chr22	41245611	41286251	RANGAP1	-
chr22	41252992	41253050	MIR6889	-
chr22	41301522	41360147	ZC3H7B	+
chr22	41367333	41399326	TEF	+
chr22	41377177	41377283	RNU6-495P	-
chr22	41430934	41431375	CTA-223H9.9	+
chr22	41433492	41447023	TOB2	-
chr22	41459717	41468725	PHF5A	-
chr22	41469125	41528989	ACO2	+
chr22	41525804	41544606	POLR3H	-
chr22	41560763	41577741	CSDC2	+
chr22	41576894	41589890	PMM1	-
chr22	41598028	41621096	DESI1	-
chr22	41621119	41664048	XRCC6	+
chr22	41673930	41690504	NHP2L1	-
chr22	41679711	41679817	RNU6-476P	+
chr22	41688939	41698136	C22orf46	+
chr22	41699499	41799456	MEI1	+
chr22	41709225	41709489	HMGN2P10	-
chr22	41722043	41722131	RNU6ATAC22P	-
