chrom	lend	rend	gene	strand
chr5	71351855	71446342	RP11-136K7.2	-
chr5	71372676	71374898	RP11-136K7.3	-
chr5	71375786	71385993	PMCHL2	+
chr5	71387276	71387363	AC145141.2	-
chr5	71445616	71446569	RP11-136K7.1	+
chr5	71455615	71567820	BDP1	+
chr5	71475761	71476316	RP11-1174L13.2	-
chr5	71537652	71537846	HMGN1P12	-
chr5	71587288	71658704	MCCC2	+
chr5	71614984	71615084	AC143336.1	-
chr5	71719163	71721048	CARTPT	+
chr5	71754378	71756301	RP11-1315F8.2	-
chr5	71831315	71831410	AC138942.1	-
chr5	72107234	72209570	MAP1B	+
chr5	72169467	72169540	MIR4803	+
chr5	72219409	72320646	MRPS27	-
chr5	72314397	72314688	RN7SL153P	-
chr5	72320367	72368395	PTCD2	+
chr5	72381794	72382393	RP11-389C8.1	+
chr5	72417489	72418335	YBX1P5	+
chr5	72439903	72442387	RP11-389C8.2	-
chr5	72442652	72507727	ZNF366	-
chr5	72574120	72660669	CTC-347C20.2	-
chr5	72687112	72762727	CTC-347C20.1	-
chr5	72725419	72726151	RPL7P22	+
chr5	72733833	72734209	AC063979.1	+
chr5	72768702	72768811	Y_RNA	+
chr5	72794405	72816565	CTD-2631K10.1	-
chr5	72816312	72916733	TNPO1	+
chr5	72878591	72878663	MIR4804	+
chr5	72878868	72879185	CTD-2339M3.1	-
chr5	72953635	72954274	CTD-2376I4.1	-
chr5	72955206	72955699	CTD-2376I4.2	-
chr5	72955981	73090522	FCHO2	+
chr5	72996920	72997642	CTC-250P20.2	+
chr5	73020700	73021279	CTC-250P20.1	-
chr5	73120292	73131817	TMEM171	+
chr5	73132008	73150592	RP11-232L2.2	-
chr5	73152416	73152938	RP11-232L2.1	-
