sample	contig	human_chrom	human_coord	virus_genome	virus_coord	total	hotspot	hotspot_sample_counts	left_genes	right_genes
LIHC-DD-AADM-TP	NC_003977_3182nt_Hepatitis_B_virus~451~+~chr21~8405957~+	chr21	8405957	NC_003977_3182nt_Hepatitis_B_virus	451	10	chr21:8240638	5	RNA5-8S5;FP671120.7;FP671120.4;MIR6724-2;pRNA;FP671120.5;FP671120.1;CH507-513H4.5;RNA5-8S5;FP671120.6;FP236383.2;MIR6724-3;pRNA;FP236383.8;FP236383.6;FP236383.11;CH507-513H4.4;RNA5-8S5;FP236383.4;FP236383.10;CH507-528H12.1	MIR6724-3;pRNA;FP236383.7;FP236383.5;FP236383.1;CH507-513H4.3;RNA5-8S5;FP236383.9;FP236383.12;FP236383.3;bP-2168N6.2;bP-2168N6.1;bP-2168N6.3;bP-2189O9.3;CR381670.1;bP-2189O9.4;bP-2189O9.1;bP-2189O9.2;MIR3648-1;MIR3687-1
LIHC-DD-AACT-TP	chr21~8468222~+~NC_003977_3182nt_Hepatitis_B_virus~1744~-	chr21	8468222	NC_003977_3182nt_Hepatitis_B_virus	1744	510	chr21:8240638	5	MIR6724-3;pRNA;FP236383.8;FP236383.6;FP236383.11;CH507-513H4.4;RNA5-8S5;CH507-528H12.1;FP236383.4;FP236383.10;MIR6724-3;pRNA;FP236383.7;FP236383.5;FP236383.1;CH507-513H4.3;RNA5-8S5;FP236383.9;FP236383.12;FP236383.3	bP-2168N6.2;bP-2168N6.1;bP-2168N6.3;bP-2189O9.3;CR381670.1;bP-2189O9.4;bP-2189O9.1;bP-2189O9.2;MIR3648-1;MIR3687-1;bP-2171C21.3;bP-2171C21.4;bP-2171C21.2;bP-2171C21.6;bP-2171C21.5;CR392039.2;TEKT4P2;CR392039.1;bP-21264C1.2;bP-21264C1.3
CESC-DR-A0ZL-TP	HPV16~881~+~chr21~8450146~+	chr21	8450146	HPV16	881	25	chr21:8240638	5	MIR6724-3;pRNA;FP236383.8;FP236383.6;FP236383.11;CH507-513H4.4;RNA5-8S5;CH507-528H12.1;FP236383.4;FP236383.10;MIR6724-3;pRNA;FP236383.7;FP236383.5;FP236383.1;CH507-513H4.3;RNA5-8S5;FP236383.9;FP236383.12;FP236383.3	bP-2168N6.2;bP-2168N6.1;bP-2168N6.3;bP-2189O9.3;CR381670.1;bP-2189O9.4;bP-2189O9.1;bP-2189O9.2;MIR3648-1;MIR3687-1;bP-2171C21.3;bP-2171C21.4;bP-2171C21.2;bP-2171C21.6;bP-2171C21.5;CR392039.2;TEKT4P2;CR392039.1;bP-21264C1.2;bP-21264C1.3
LIHC-DD-AADM-TP	NC_003977_3182nt_Hepatitis_B_virus~451~+~chr21~8450144~+	chr21	8450144	NC_003977_3182nt_Hepatitis_B_virus	451	10	chr21:8240638	5	MIR6724-3;pRNA;FP236383.8;FP236383.6;FP236383.11;CH507-513H4.4;RNA5-8S5;CH507-528H12.1;FP236383.4;FP236383.10;MIR6724-3;pRNA;FP236383.7;FP236383.5;FP236383.1;CH507-513H4.3;RNA5-8S5;FP236383.9;FP236383.12;FP236383.3	bP-2168N6.2;bP-2168N6.1;bP-2168N6.3;bP-2189O9.3;CR381670.1;bP-2189O9.4;bP-2189O9.1;bP-2189O9.2;MIR3648-1;MIR3687-1;bP-2171C21.3;bP-2171C21.4;bP-2171C21.2;bP-2171C21.6;bP-2171C21.5;CR392039.2;TEKT4P2;CR392039.1;bP-21264C1.2;bP-21264C1.3
LIHC-DD-AACT-TP	chr21~8423662~+~NC_003977_3182nt_Hepatitis_B_virus~1744~-	chr21	8423662	NC_003977_3182nt_Hepatitis_B_virus	1744	510	chr21:8240638	5	FP671120.7;FP671120.4;MIR6724-2;pRNA;FP671120.5;FP671120.1;CH507-513H4.5;RNA5-8S5;FP671120.6;FP236383.2;MIR6724-3;pRNA;FP236383.8;FP236383.6;FP236383.11;CH507-513H4.4;RNA5-8S5;CH507-528H12.1;FP236383.4;FP236383.10	MIR6724-3;pRNA;FP236383.7;FP236383.5;FP236383.1;CH507-513H4.3;RNA5-8S5;FP236383.9;FP236383.12;FP236383.3;bP-2168N6.2;bP-2168N6.1;bP-2168N6.3;bP-2189O9.3;CR381670.1;bP-2189O9.4;bP-2189O9.1;bP-2189O9.2;MIR3648-1;MIR3687-1
CESC-DR-A0ZL-TP	HPV16~881~+~chr21~8405959~+	chr21	8405959	HPV16	881	25	chr21:8240638	5	RNA5-8S5;FP671120.7;FP671120.4;MIR6724-2;pRNA;FP671120.5;FP671120.1;CH507-513H4.5;RNA5-8S5;FP671120.6;FP236383.2;MIR6724-3;pRNA;FP236383.8;FP236383.6;FP236383.11;CH507-513H4.4;RNA5-8S5;FP236383.4;FP236383.10;CH507-528H12.1	MIR6724-3;pRNA;FP236383.7;FP236383.5;FP236383.1;CH507-513H4.3;RNA5-8S5;FP236383.9;FP236383.12;FP236383.3;bP-2168N6.2;bP-2168N6.1;bP-2168N6.3;bP-2189O9.3;CR381670.1;bP-2189O9.4;bP-2189O9.1;bP-2189O9.2;MIR3648-1;MIR3687-1
HNSC-CV-5971-TP	HPV16~3633~+~chr21~8405959~+	chr21	8405959	HPV16	3633	22	chr21:8240638	5	RNA5-8S5;FP671120.7;FP671120.4;MIR6724-2;pRNA;FP671120.5;FP671120.1;CH507-513H4.5;RNA5-8S5;FP671120.6;FP236383.2;MIR6724-3;pRNA;FP236383.8;FP236383.6;FP236383.11;CH507-513H4.4;RNA5-8S5;FP236383.4;FP236383.10;CH507-528H12.1	MIR6724-3;pRNA;FP236383.7;FP236383.5;FP236383.1;CH507-513H4.3;RNA5-8S5;FP236383.9;FP236383.12;FP236383.3;bP-2168N6.2;bP-2168N6.1;bP-2168N6.3;bP-2189O9.3;CR381670.1;bP-2189O9.4;bP-2189O9.1;bP-2189O9.2;MIR3648-1;MIR3687-1
HNSC-CV-5971-TP	HPV16~3633~+~chr21~8222960~+	chr21	8222960	HPV16	3633	22	chr21:8240638	5	Y_RNA;CH507-338C24.2;Y_RNA;CH507-338C24.1;SMIM11;CH507-396I9.7;CH507-396I9.3;CH507-396I9.6;SNORA11;CH507-338C24.3;FP671120.3;MIR6724-3;pRNA;FP671120.2;MIR3648-2;MIR3687-2;CH507-513H4.6;RNA5-8S5;FP671120.7;FP671120.4;CH507-513H4.1	MIR6724-2;pRNA;FP671120.5;FP671120.1;CH507-513H4.5;RNA5-8S5;FP671120.6;FP236383.2;MIR6724-3;pRNA;FP236383.8;FP236383.6;FP236383.11;CH507-513H4.4;RNA5-8S5;CH507-528H12.1;FP236383.4;FP236383.10;MIR6724-3;pRNA
HNSC-CV-5971-TP	HPV16~3633~+~chr21~8450146~+	chr21	8450146	HPV16	3633	22	chr21:8240638	5	MIR6724-3;pRNA;FP236383.8;FP236383.6;FP236383.11;CH507-513H4.4;RNA5-8S5;CH507-528H12.1;FP236383.4;FP236383.10;MIR6724-3;pRNA;FP236383.7;FP236383.5;FP236383.1;CH507-513H4.3;RNA5-8S5;FP236383.9;FP236383.12;FP236383.3	bP-2168N6.2;bP-2168N6.1;bP-2168N6.3;bP-2189O9.3;CR381670.1;bP-2189O9.4;bP-2189O9.1;bP-2189O9.2;MIR3648-1;MIR3687-1;bP-2171C21.3;bP-2171C21.4;bP-2171C21.2;bP-2171C21.6;bP-2171C21.5;CR392039.2;TEKT4P2;CR392039.1;bP-21264C1.2;bP-21264C1.3
LIHC-DD-AACT-TP	chr21~8240638~+~NC_003977_3182nt_Hepatitis_B_virus~1744~-	chr21	8240638	NC_003977_3182nt_Hepatitis_B_virus	1744	510	chr21:8240638	5	CH507-338C24.2;Y_RNA;CH507-338C24.1;SMIM11;CH507-396I9.7;CH507-396I9.3;CH507-396I9.6;SNORA11;CH507-338C24.3;FP671120.3;MIR6724-3;pRNA;FP671120.2;MIR3648-2;MIR3687-2;CH507-513H4.6;CH507-513H4.1;RNA5-8S5;FP671120.7;FP671120.4	MIR6724-2;pRNA;FP671120.5;FP671120.1;CH507-513H4.5;RNA5-8S5;FP671120.6;FP236383.2;MIR6724-3;pRNA;FP236383.8;FP236383.6;FP236383.11;CH507-513H4.4;RNA5-8S5;CH507-528H12.1;FP236383.4;FP236383.10;MIR6724-3;pRNA
