chrom	lend	rend	strand	virus	virus_brkpt	virus_strand	read_support	sample_name	insertion_name
chr10	34389264	34389265	+	HPV16	3498	+	58	CESC-BI-A0VS-TP	chr10~34389264~+~HPV16~3498~+
chr10	34389298	34389299	+	HPV16	2915	+	85	CESC-BI-A0VS-TP	HPV16~2915~+~chr10~34389298~+
chr10	34875744	34875745	+	HPV16	3550	+	13	CESC-VS-A9UD-TP	chr10~34875744~+~HPV16~3550~+
chr10	34963501	34963502	+	HPV16	3182	-	18	CESC-VS-A9UM-TP	HPV16~3182~-~chr10~34963501~+
chr10	35010252	35010253	+	HPV16	881	+	156	CESC-EK-A2PI-TP	HPV16~881~+~chr10~35010252~+
chr10	35011969	35011970	+	HPV16	222	-	28	CESC-EK-A2PI-TP	chr10~35011969~+~HPV16~222~-
chr10	35013803	35013804	+	HPV16	229	-	92	CESC-EK-A2PI-TP	chr10~35013803~+~HPV16~229~-
chr10	35016395	35016396	+	HPV16	881	-	1089	CESC-EK-A2PI-TP	chr10~35016395~+~HPV16~881~-
chr10	35016395	35016396	+	HPV16	227	-	253	CESC-EK-A2PI-TP	chr10~35016395~+~HPV16~227~-
chr10	35022888	35022889	+	HPV16	2773	-	44	CESC-EK-A2PI-TP	chr10~35022888~+~HPV16~2773~-
chr10	35054433	35054434	+	HPV16	3383	-	14	CESC-VS-A9UM-TP	HPV16~3383~-~chr10~35054433~+
chr10	35063063	35063064	+	HPV16	227	-	28	CESC-VS-A9UM-TP	chr10~35063063~+~HPV16~227~-
chr10	35071340	35071341	+	HPV16	881	-	269	CESC-VS-A9UM-TP	chr10~35071340~+~HPV16~881~-
chr10	35071340	35071341	+	HPV16	227	-	144	CESC-VS-A9UM-TP	chr10~35071340~+~HPV16~227~-
chr10	35079338	35079339	+	HPV16	3157	-	12	CESC-VS-A9UM-TP	chr10~35079338~+~HPV16~3157~-
