sample,genotype,feature,score,position,chr,chr_position,end,strand,match,counts
reads-HPV18,HPV18,right,9,1129,chr18,51241704,51241668,-,43,6
reads-HPV18,HPV18,right,4,1129,chr11,79452056,79452090,+,41,4
reads-HPV18,HPV18,right,1,1129,chr11,79452058,79452097,+,38,1
reads-HPV18,HPV18,left,6,2687,chr5,61268121,61268092,+,29,1
reads-HPV18,HPV18,right,6,2780,chr6,153459069,153459039,-,30,1
reads-HPV18,HPV18,left,10,2742,chr11,106090463,106090494,-,32,2
reads-HPV18,HPV18,right,9,2781,chr6,153459068,153459030,-,40,2
reads-HPV18,HPV18,right,0,2781,chr21,32567353,32567312,-,40,1
reads-HPV18,HPV18,left,10,2768,chr11,60452993,60452954,+,43,3
reads-HPV18,HPV18,right,9,2825,chr3,7351914,7351883,-,33,3
reads-HPV18,HPV18,left,9,3117,chr1,172609763,172609798,-,40,3
reads-HPV18,HPV18,right,9,7693,chr6,169505287,169505318,+,36,2
