hotspot	Chromosome	hotspot_coord	virus_genome	hotspot_virus_tally	insert_genes	insert_gene_count	hotspot_name
chr10:100382140	chr10	100382140	Eppstein-Barr	5	SCD	4	chr10:100382140^SCD
chr10:100382140	chr10	100382140	HPV33	1	SCD	4	chr10:100382140^SCD
chr10:100382140	chr10	100382140	HPV58	2	SCD	4	chr10:100382140^SCD
chr10:100382140	chr10	100382140	NC_001501_8332nt_Moloney_murine_leukemia_virus	2	SCD	4	chr10:100382140^SCD
chr10:100382140	chr10	100382140	NC_001702_8135nt_Murine_type_C_retrovirus	1	SCD	4	chr10:100382140^SCD
chr10:100382140	chr10	100382140	NC_007815_8197nt_PreXMRV_1	2	SCD	4	chr10:100382140^SCD
chr10:100853716	chr10	100853716	HPV16	7	PAX2	4	chr10:100853716^PAX2
chr10:100853716	chr10	100853716	HPV33	1	PAX2	4	chr10:100853716^PAX2
chr10:101662663	chr10	101662663	Eppstein-Barr	3	DPCD	2	chr10:101662663^DPCD
chr10:101662663	chr10	101662663	HPV16	3	DPCD	2	chr10:101662663^DPCD
chr10:101662663	chr10	101662663	HPV33	1	DPCD	2	chr10:101662663^DPCD
chr10:101662663	chr10	101662663	NC_001501_8332nt_Moloney_murine_leukemia_virus	1	DPCD	2	chr10:101662663^DPCD
chr10:102357440	chr10	102357440	Eppstein-Barr	2	ACTR1A	2	chr10:102357440^ACTR1A
chr10:102357440	chr10	102357440	HPV16	5	ACTR1A	2	chr10:102357440^ACTR1A
chr10:102357440	chr10	102357440	HPV33	1	ACTR1A	2	chr10:102357440^ACTR1A
chr10:102357440	chr10	102357440	HPV58	1	ACTR1A	2	chr10:102357440^ACTR1A
chr10:102357440	chr10	102357440	NC_001702_8135nt_Murine_type_C_retrovirus	1	ACTR1A	2	chr10:102357440^ACTR1A
chr10:102357440	chr10	102357440	NC_009333_137969nt_Human_gammaherpesvirus_8	1	ACTR1A	2	chr10:102357440^ACTR1A
chr10:102932279	chr10	102932279	Eppstein-Barr	1	CNNM2	1	chr10:102932279^CNNM2
chr10:102932279	chr10	102932279	HPV16	2	CNNM2	1	chr10:102932279^CNNM2
chr10:102932279	chr10	102932279	HPV33	1	CNNM2	1	chr10:102932279^CNNM2
chr10:103350850	chr10	103350850	Eppstein-Barr	1	NEURL1-AS1;NEURL1	1	chr10:103350850^NEURL1-AS1;NEURL1
chr10:103350850	chr10	103350850	HPV16	3	NEURL1-AS1;NEURL1	1	chr10:103350850^NEURL1-AS1;NEURL1
chr10:103350850	chr10	103350850	HPV33	1	NEURL1-AS1;NEURL1	1	chr10:103350850^NEURL1-AS1;NEURL1
chr10:104006060	chr10	104006060	HPV16	2	CFAP58~RP11-127O4.3	1	chr10:104006060^CFAP58~RP11-127O4.3
chr10:104006060	chr10	104006060	NC_001501_8332nt_Moloney_murine_leukemia_virus	1	CFAP58~RP11-127O4.3	1	chr10:104006060^CFAP58~RP11-127O4.3
chr10:104006060	chr10	104006060	NC_001702_8135nt_Murine_type_C_retrovirus	1	CFAP58~RP11-127O4.3	1	chr10:104006060^CFAP58~RP11-127O4.3
chr10:10478813	chr10	10478813	HBV	1	RP11-271F18.4~RP1-186E20.1	5	chr10:10478813^RP11-271F18.4~RP1-186E20.1
chr10:10478813	chr10	10478813	HPV16	6	RP11-271F18.4~RP1-186E20.1	5	chr10:10478813^RP11-271F18.4~RP1-186E20.1
chr10:105424307	chr10	105424307	HPV11	1	RNU6-463P~RP11-45P22.2	1	chr10:105424307^RNU6-463P~RP11-45P22.2
chr10:105424307	chr10	105424307	HPV16	1	RNU6-463P~RP11-45P22.2	1	chr10:105424307^RNU6-463P~RP11-45P22.2
chr10:105424307	chr10	105424307	HPV18	1	RNU6-463P~RP11-45P22.2	1	chr10:105424307^RNU6-463P~RP11-45P22.2
chr10:107821656	chr10	107821656	HPV16	3	LINC01435	3	chr10:107821656^LINC01435
chr10:108466966	chr10	108466966	HPV16	3	PTGES3P5~RP11-163F15.1	4	chr10:108466966^PTGES3P5~RP11-163F15.1
chr10:108466966	chr10	108466966	HPV18	1	PTGES3P5~RP11-163F15.1	4	chr10:108466966^PTGES3P5~RP11-163F15.1
chr10:108466966	chr10	108466966	HPV33	1	PTGES3P5~RP11-163F15.1	4	chr10:108466966^PTGES3P5~RP11-163F15.1
chr10:109442173	chr10	109442173	HPV16	2	RNU6-839P~PHB2P1	3	chr10:109442173^RNU6-839P~PHB2P1
chr10:109442173	chr10	109442173	HPV58	1	RNU6-839P~PHB2P1	3	chr10:109442173^RNU6-839P~PHB2P1
chr10:110167869	chr10	110167869	Eppstein-Barr	1	SNRPGP12~RP11-549L6.3	2	chr10:110167869^SNRPGP12~RP11-549L6.3
chr10:110167869	chr10	110167869	HPV11	1	SNRPGP12~RP11-549L6.3	2	chr10:110167869^SNRPGP12~RP11-549L6.3
chr10:110167869	chr10	110167869	HPV16	3	SNRPGP12~RP11-549L6.3	2	chr10:110167869^SNRPGP12~RP11-549L6.3
chr10:110167869	chr10	110167869	HPV33	1	SNRPGP12~RP11-549L6.3	2	chr10:110167869^SNRPGP12~RP11-549L6.3
chr10:110742280	chr10	110742280	Eppstein-Barr	1	BBIP1	1	chr10:110742280^BBIP1
chr10:110742280	chr10	110742280	HPV11	1	BBIP1	1	chr10:110742280^BBIP1
chr10:110742280	chr10	110742280	HPV16	3	BBIP1	1	chr10:110742280^BBIP1
chr10:111471831	chr10	111471831	HPV16	2	RP11-381K7.1~RP11-309P22.1	2	chr10:111471831^RP11-381K7.1~RP11-309P22.1
chr10:111471831	chr10	111471831	HPV33	1	RP11-381K7.1~RP11-309P22.1	2	chr10:111471831^RP11-381K7.1~RP11-309P22.1
chr10:11169640	chr10	11169640	Eppstein-Barr	1	CELF2	3	chr10:11169640^CELF2
chr10:11169640	chr10	11169640	HPV16	3	CELF2	3	chr10:11169640^CELF2
chr10:112410884	chr10	112410884	HPV16	3	ACSL5	1	chr10:112410884^ACSL5
chr10:112410884	chr10	112410884	HPV18	1	ACSL5	1	chr10:112410884^ACSL5
chr10:112410884	chr10	112410884	NC_001436_8507nt_Human_T_cell_leukemia_virus_type_I	1	ACSL5	1	chr10:112410884^ACSL5
chr10:113351645	chr10	113351645	HPV16	3	RNU7-165P~RP11-481H12.1	3	chr10:113351645^RNU7-165P~RP11-481H12.1
chr10:113351645	chr10	113351645	HPV18	1	RNU7-165P~RP11-481H12.1	3	chr10:113351645^RNU7-165P~RP11-481H12.1
chr10:113351645	chr10	113351645	HPV33	1	RNU7-165P~RP11-481H12.1	3	chr10:113351645^RNU7-165P~RP11-481H12.1
