multiqc_index,sample,genotype,feature,score,position,chr,chr_position,end,strand,match,counts
reads_R-HPV39|0,reads_R-HPV39,HPV39,right,10,5905,chr1,83768196,83768230,+,43,14
reads_R-HPV39|1,reads_R-HPV39,HPV39,right,10,2989,chr18,38399302,38399337,+,43,13
reads_R-HPV39|2,reads_R-HPV39,HPV39,right,10,4831,chr13,103616562,103616527,-,43,13
reads_R-HPV39|3,reads_R-HPV39,HPV39,left,10,386,chr10,927322,927292,+,37,12
reads_R-HPV39|4,reads_R-HPV39,HPV39,right,10,1464,chr19,20933892,20933858,-,43,12
reads_R-HPV39|5,reads_R-HPV39,HPV39,right,10,2160,chr12,16971653,16971618,-,43,12
reads_R-HPV39|6,reads_R-HPV39,HPV39,right,10,2195,chr14,90309792,90309762,-,36,12
reads_R-HPV39|7,reads_R-HPV39,HPV39,left,10,285,chr15,97412717,97412682,+,42,11
reads_R-HPV39|8,reads_R-HPV39,HPV39,left,10,1279,chr13,102724012,102723977,+,42,11
reads_R-HPV39|9,reads_R-HPV39,HPV39,right,10,1660,chrX,121574356,121574327,-,34,11
reads_R-HPV39|10,reads_R-HPV39,HPV39,right,10,2415,chr11,93980099,93980064,-,42,11
reads_R-HPV39|11,reads_R-HPV39,HPV39,right,10,2615,chr3,109769378,109769413,+,42,11
reads_R-HPV39|12,reads_R-HPV39,HPV39,left,10,3695,chr7,157658332,157658296,+,43,11
reads_R-HPV39|13,reads_R-HPV39,HPV39,left,10,3982,chr3,10547421,10547456,-,42,11
reads_R-HPV39|14,reads_R-HPV39,HPV39,left,10,5307,chr12,105290730,105290695,+,42,11
reads_R-HPV39|15,reads_R-HPV39,HPV39,right,10,5614,chr10,33621058,33621093,+,42,11
reads_R-HPV39|16,reads_R-HPV39,HPV39,right,10,5643,chr6,69254323,69254358,+,42,11
reads_R-HPV39|17,reads_R-HPV39,HPV39,left,10,227,chr22,20882490,20882455,+,42,10
reads_R-HPV39|18,reads_R-HPV39,HPV39,right,10,3501,chrX,116951157,116951194,+,43,10
reads_R-HPV39|19,reads_R-HPV39,HPV39,right,10,5731,chr4,146311690,146311654,-,42,10
reads_R-HPV39|20,reads_R-HPV39,HPV39,right,10,6853,chr11,109215099,109215132,+,37,10
reads_R-HPV39|21,reads_R-HPV39,HPV39,left,10,4570,chr20,60888058,60888093,-,37,9
reads_R-HPV39|22,reads_R-HPV39,HPV39,left,10,4570,chr19,47998643,47998677,-,40,9
reads_R-HPV39|23,reads_R-HPV39,HPV39,left,10,3582,chrX,15152350,15152319,+,35,8
reads_R-HPV39|24,reads_R-HPV39,HPV39,left,10,2228,chr16,27620880,27620917,-,42,7
reads_R-HPV39|25,reads_R-HPV39,HPV39,right,10,7759,chr5,111900317,111900354,+,42,7
reads_R-HPV39|26,reads_R-HPV39,HPV39,right,10,3093,chr5,137151583,137151550,-,36,6
reads_R-HPV39|27,reads_R-HPV39,HPV39,left,10,3207,chr3,52711255,52711216,+,43,6
reads_R-HPV39|28,reads_R-HPV39,HPV39,left,10,5452,chr17,78122825,78122796,+,36,6
reads_R-HPV39|29,reads_R-HPV39,HPV39,left,10,6425,chr14,76151020,76151048,-,36,6
reads_R-HPV39|30,reads_R-HPV39,HPV39,left,10,2652,chr10,36075523,36075557,-,36,5
reads_R-HPV39|31,reads_R-HPV39,HPV39,right,10,7464,chr18,41556098,41556133,+,37,5
reads_R-HPV39|32,reads_R-HPV39,HPV39,right,10,1084,chr3,100166276,100166244,-,36,4
reads_R-HPV39|33,reads_R-HPV39,HPV39,right,10,1152,chr14,65999701,65999732,+,36,4
reads_R-HPV39|34,reads_R-HPV39,HPV39,right,10,6370,chr10,104609164,104609196,+,36,4
reads_R-HPV39|35,reads_R-HPV39,HPV39,right,10,3123,chrX,6105137,6105169,+,36,3
reads_R-HPV39|36,reads_R-HPV39,HPV39,right,10,5698,chr2,130742705,130742674,-,35,3
reads_R-HPV39|37,reads_R-HPV39,HPV39,right,10,4120,chr15,96042552,96042586,+,36,2
reads_R-HPV39|38,reads_R-HPV39,HPV39,left,4,992,chr20,26612419,26612452,-,41,16
reads_R-HPV39|39,reads_R-HPV39,HPV39,left,4,992,chr20,26636620,26636653,-,41,16
reads_R-HPV39|40,reads_R-HPV39,HPV39,left,4,992,chr20,26652899,26652932,-,41,16
reads_R-HPV39|41,reads_R-HPV39,HPV39,left,4,992,chr20,26663779,26663812,-,41,16
reads_R-HPV39|42,reads_R-HPV39,HPV39,left,4,992,chr20,26679079,26679112,-,41,16
reads_R-HPV39|43,reads_R-HPV39,HPV39,left,4,992,chr20,26700321,26700354,-,41,16
reads_R-HPV39|44,reads_R-HPV39,HPV39,left,4,992,chr20,26718846,26718879,-,41,16
reads_R-HPV39|45,reads_R-HPV39,HPV39,left,4,992,chr2,92122193,92122226,-,43,16
reads_R-HPV39|46,reads_R-HPV39,HPV39,left,4,992,chr2,92125418,92125451,-,43,16
reads_R-HPV39|47,reads_R-HPV39,HPV39,left,4,992,chr2,92126098,92126131,-,43,16
reads_R-HPV39|48,reads_R-HPV39,HPV39,left,4,992,chr2,92135439,92135472,-,43,16
reads_R-HPV39|49,reads_R-HPV39,HPV39,left,4,992,chr2,92136119,92136152,-,43,16
reads_R-HPV39|50,reads_R-HPV39,HPV39,left,4,992,chr2,92188514,92188547,-,43,16
reads_R-HPV39|51,reads_R-HPV39,HPV39,left,4,992,chr2,92189195,92189228,-,43,16
reads_R-HPV39|52,reads_R-HPV39,HPV39,left,4,992,chr20,28497297,28497263,+,42,15
reads_R-HPV39|53,reads_R-HPV39,HPV39,left,4,992,chr20,26650179,26650213,-,41,15
reads_R-HPV39|54,reads_R-HPV39,HPV39,left,4,992,chr20,26661058,26661092,-,41,15
reads_R-HPV39|55,reads_R-HPV39,HPV39,left,4,992,chr20,26681628,26681662,-,41,15
reads_R-HPV39|56,reads_R-HPV39,HPV39,left,4,992,chr20,26695224,26695258,-,41,15
reads_R-HPV39|57,reads_R-HPV39,HPV39,left,4,992,chr20,26697605,26697639,-,41,15
reads_R-HPV39|58,reads_R-HPV39,HPV39,left,4,992,chr20,26713407,26713441,-,41,15
reads_R-HPV39|59,reads_R-HPV39,HPV39,left,4,992,chr2,92120837,92120871,-,43,15
reads_R-HPV39|60,reads_R-HPV39,HPV39,left,4,992,chr2,92120495,92120530,-,43,14
reads_R-HPV39|61,reads_R-HPV39,HPV39,left,4,992,chr2,92132723,92132758,-,43,14
reads_R-HPV39|62,reads_R-HPV39,HPV39,left,4,992,chr2,92134421,92134456,-,43,14
reads_R-HPV39|63,reads_R-HPV39,HPV39,right,4,5246,chrX,1704943,1704974,+,37,12
reads_R-HPV39|64,reads_R-HPV39,HPV39,right,4,5246,chrX,3123065,3123096,+,37,12
reads_R-HPV39|65,reads_R-HPV39,HPV39,right,4,5246,chrX,10967744,10967774,+,37,12
reads_R-HPV39|66,reads_R-HPV39,HPV39,right,4,5246,chr9,231074,231104,+,37,12
reads_R-HPV39|67,reads_R-HPV39,HPV39,right,4,5246,chr9,1570191,1570222,+,37,12
reads_R-HPV39|68,reads_R-HPV39,HPV39,right,4,5246,chr9,5472983,5473014,+,37,12
reads_R-HPV39|69,reads_R-HPV39,HPV39,right,4,5246,chr9,6178381,6178412,+,37,12
reads_R-HPV39|70,reads_R-HPV39,HPV39,right,4,5246,chr9,6388587,6388618,+,37,12
