#sample	entry	chrA	coordA	orientA	chrB	coordB	orientB	#Support reads (pair+softclip)	Confidence	total
subset.insertion_seqs.fa	HPV35~6010~-~chr2~4013583~+	chr2	4013583	+	HPV35	6010	-	159+39	high	198
subset.insertion_seqs.fa	HPV35~2796~-~chr8~56863276~+	chr8	56863276	+	HPV35	2796	-	149+36	high	185
subset.insertion_seqs.fa	HPV35~4106~-~chr8~59404773~+	chr8	59404773	+	HPV35	4106	-	157+37	high	194
subset.insertion_seqs.fa	HPV35~4545~+~chr15~40234958~+	chr15	40234958	+	HPV35	4545	+	151+17	high	168
subset.insertion_seqs.fa	chr15~43408941~+~HPV35~5655~+	chr15	43408941	+	HPV35	5655	+	148+37	high	185
subset.insertion_seqs.fa	chr15~72301964~+~HPV35~4729~-	chr15	72301964	+	HPV35	4729	-	141+20	high	161
subset.insertion_seqs.fa	chr19~50945415~+~HPV35~6246~-	chr19	50945415	+	HPV35	6246	-	150+40	high	190
subset.insertion_seqs.fa	HPV35~1178~+~chr6~22528368~+	chr6	22528368	+	HPV35	1178	+	159+18	high	177
subset.insertion_seqs.fa	HPV35~2895~-~chr6~96980447~+	chr6	96980447	+	HPV35	2895	-	149+32	high	181
subset.insertion_seqs.fa	chr6~153100738~+~HPV35~3085~-	chr6	153100738	+	HPV35	3085	-	150+20	high	170
subset.insertion_seqs.fa	chr20~42501391~+~HPV35~1530~-	chr20	42501391	+	HPV35	1530	-	152+17	high	169
subset.insertion_seqs.fa	chr20~44049952~+~HPV35~3408~+	chr20	44049952	+	HPV35	3408	+	153+22	high	175
subset.insertion_seqs.fa	HPV35~2015~-~chr3~78144256~+	chr3	78144256	+	HPV35	2015	-	130+37	high	167
subset.insertion_seqs.fa	HPV35~4868~-~chr3~167056410~+	chr3	167056410	+	HPV35	4868	-	150+37	high	187
subset.insertion_seqs.fa	HPV35~4512~+~chr7~148919682~+	chr7	148919682	+	HPV35	4512	+	159+20	high	179
subset.insertion_seqs.fa	chr21~43032951~+~HPV35~1750~-	chr21	43032951	+	HPV35	1750	-	160+36	high	196
subset.insertion_seqs.fa	chr10~79625940~+~HPV35~2235~-	chr10	79625940	+	HPV35	2235	-	158+33	high	191
subset.insertion_seqs.fa	chr14~37564203~+~HPV35~3356~-	chr14	37564203	+	HPV35	3356	-	151+38	high	189
subset.insertion_seqs.fa	HPV35~2989~+~chr13~112277643~+	chr13	112277643	+	HPV35	2989	+	130+29	high	159
subset.insertion_seqs.fa	HPV35~3283~-~chrX~6420965~+	chrX	6420965	+	HPV35	3283	-	150+38	high	188
subset.insertion_seqs.fa	HPV35~2541~+~chrX~90606086~+	chrX	90606086	+	HPV35	2541	+	108+23	high	131
subset.insertion_seqs.fa	HPV35~4893~-~chr12~38926997~+	chr12	38926997	+	HPV35	4893	-	151+36	high	187
subset.insertion_seqs.fa	HPV35~5319~-~chr18~56561238~+	chr18	56561238	+	HPV35	5319	-	150+35	high	185
subset.insertion_seqs.fa	chr18~62716178~+~HPV35~6505~-	chr18	62716178	+	HPV35	6505	-	158+19	high	177
subset.insertion_seqs.fa	HPV35~2197~-~chr18~71026197~+	chr18	71026197	+	HPV35	2197	-	151+40	high	191
subset.insertion_seqs.fa	HPV35~3814~-~chr11~38631852~+	chr11	38631852	+	HPV35	3814	-	0+37	high	37
subset.insertion_seqs.fa	HPV35~7418~+~chr11~128452704~+	chr11	128452704	+	HPV35	7418	+	149+18	high	167
subset.insertion_seqs.fa	chr5~54848857~+~HPV35~4458~-	chr5	54848857	+	HPV35	4458	-	149+19	high	168
subset.insertion_seqs.fa	HPV35~855~-~chr5~83185415~+	chr5	83185415	+	HPV35	855	-	160+34	high	194
subset.insertion_seqs.fa	HPV35~1914~-~chr1~209671319~+	chr1	209671319	+	HPV35	1914	-	148+36	high	184
subset.insertion_seqs.fa	chr17~73060663~+~HPV35~4039~-	chr17	73060663	+	HPV35	4039	-	157+23	high	180
subset.insertion_seqs.fa	chr22~20841138~+~HPV35~7374~-	chr22	20841138	+	HPV35	7374	-	149+19	high	168
subset.insertion_seqs.fa	HPV35~3504~+~chr22~25036206~+	chr22	25036206	+	HPV35	3504	+	0+24	high	24
subset.insertion_seqs.fa	HPV35~6157~+~chr22~27505456~+	chr22	27505456	+	HPV35	6157	+	150+19	high	169
subset.insertion_seqs.fa	HPV35~598~-~chr4~5775494~+	chr4	5775494	+	HPV35	598	-	149+37	high	186
subset.insertion_seqs.fa	HPV35~3398~-~chr4~28637956~+	chr4	28637956	+	HPV35	3398	-	149+38	high	187
subset.insertion_seqs.fa	HPV35~617~-~chr4~73870796~+	chr4	73870796	+	HPV35	617	-	153+35	high	188
subset.insertion_seqs.fa	chr4~83545508~+~HPV35~4906~-	chr4	83545508	+	HPV35	4906	-	144+21	high	165
subset.insertion_seqs.fa	HPV35~1997~-~chr4~125920261~+	chr4	125920261	+	HPV35	1997	-	159+32	high	191
subset.insertion_seqs.fa	chr4~73870793~-~HPV35~617~+	chr4	73870793	-	HPV35	617	+	153+18	high	171
subset.insertion_seqs.fa	chr5~83185417~-~HPV35~855~+	chr5	83185417	-	HPV35	855	+	160+19	high	179
subset.insertion_seqs.fa	chr5~83185420~-~HPV35~855~+	chr5	83185420	-	HPV35	855	+	160+19	high	179
subset.insertion_seqs.fa	HPV35~1535~+~chr20~42501389~-	chr20	42501389	-	HPV35	1535	+	152+20	high	172
subset.insertion_seqs.fa	HPV35~1535~+~chr20~42501390~-	chr20	42501390	-	HPV35	1535	+	152+21	high	173
subset.insertion_seqs.fa	HPV35~2235~+~chr10~79625943~-	chr10	79625943	-	HPV35	2235	+	158+17	high	175
subset.insertion_seqs.fa	chr8~56863277~-~HPV35~2796~+	chr8	56863277	-	HPV35	2796	+	149+21	high	170
subset.insertion_seqs.fa	chr8~56863279~-~HPV35~2796~+	chr8	56863279	-	HPV35	2796	+	149+21	high	170
subset.insertion_seqs.fa	chr6~96980445~-~HPV35~2895~+	chr6	96980445	-	HPV35	2895	+	149+22	high	171
subset.insertion_seqs.fa	chr6~96980446~-~HPV35~2895~+	chr6	96980446	-	HPV35	2895	+	149+21	high	170
subset.insertion_seqs.fa	HPV35~3356~+~chr14~37564201~-	chr14	37564201	-	HPV35	3356	+	151+21	high	172
subset.insertion_seqs.fa	chr4~28637955~-~HPV35~3398~+	chr4	28637955	-	HPV35	3398	+	149+22	high	171
subset.insertion_seqs.fa	chr10~79938625~+~HPV35~4332~+	chr10	79938625	+	HPV35	4332	+	153+24	high	177
subset.insertion_seqs.fa	HPV35~4557~+~chr15~40234959~+	chr15	40234959	+	HPV35	4557	+	151+17	high	168
subset.insertion_seqs.fa	HPV35~4557~+~chr15~40234960~+	chr15	40234960	+	HPV35	4557	+	151+16	high	167
subset.insertion_seqs.fa	HPV35~4734~+~chr15~72301963~-	chr15	72301963	-	HPV35	4734	+	141+22	high	163
subset.insertion_seqs.fa	chr12~38926994~-~HPV35~4893~+	chr12	38926994	-	HPV35	4893	+	151+22	high	173
subset.insertion_seqs.fa	chr12~38926999~-~HPV35~4893~+	chr12	38926999	-	HPV35	4893	+	151+22	high	173
subset.insertion_seqs.fa	chr2~4013585~-~HPV35~6010~+	chr2	4013585	-	HPV35	6010	+	159+21	high	180
subset.insertion_seqs.fa	HPV35~6507~+~chr18~62716195~-	chr18	62716195	-	HPV35	6507	+	0+18	high	18
subset.insertion_seqs.fa	HPV35~3355~+~chr2~89107072~+	chr2	89107072	+	HPV35	3355	+	111+16	low	127
subset.insertion_seqs.fa	HPV35~2149~-~chr3~88783087~+	chr3	88783087	+	HPV35	2149	-	150+40	low	190
subset.insertion_seqs.fa	HPV35~6812~+~chr10~49149295~+	chr10	49149295	+	HPV35	6812	+	151+39	low	190
subset.insertion_seqs.fa	HPV35~4018~+~chrX~25005366~+	chrX	25005366	+	HPV35	4018	+	158+22	low	180
subset.insertion_seqs.fa	chrX~115098917~+~HPV35~557~+	chrX	115098917	+	HPV35	557	+	150+38	low	188
subset.insertion_seqs.fa	chr11~38631860~-~HPV35~3814~+	chr11	38631860	-	HPV35	3814	+	151+19	low	170
subset.insertion_seqs.fa	HPV35~4039~+~chr15~28321456~-	chr15	28321456	-	HPV35	4039	+	0+19	low	19
